subfield_id,name,agreement_k25,cka,candidate_size,sensitivity_panels,worst_percentile,best_percentile,shape_pair_alerts,tail
2214,Media Technology,0.5078645833333334,0.7352045714987129,256,27,0.8579234972677595,0.9890710382513661,0,higher
2215,Building and Construction,0.5063819444444445,0.6775834345843381,256,27,0.8579234972677595,0.9781420765027322,23,higher
2105,"Renewable Energy, Sustainability and the Environment",0.5186597222222222,0.7621481033630717,256,27,0.8415300546448088,1.0,15,higher
3005,Toxicology,0.4994861111111112,0.7152120047479154,256,27,0.8142076502732241,0.994535519125683,20,higher
2203,Automotive Engineering,0.5181111111111111,0.6981805380823232,256,27,0.7650273224043715,0.9890710382513661,9,higher
2312,Water Science and Technology,0.4901562500000001,0.6519869071042632,256,27,0.7540983606557377,0.9562841530054644,24,higher
2602,Algebra and Number Theory,0.3621875,0.49060328796459224,256,27,0.00546448087431694,0.01092896174863388,0,lower
1212,Religious studies,0.3668819444444444,0.491903070478551,256,27,0.00546448087431694,0.02185792349726776,0,lower
2612,Numerical Analysis,0.3691701388888889,0.5239281219583911,256,27,0.00546448087431694,0.04371584699453552,3,lower
1202,History,0.3700763888888889,0.5124620531370871,256,27,0.01092896174863388,0.060109289617486336,10,lower
1208,Literature and Literary Theory,0.3917361111111111,0.6348632507815662,256,27,0.01639344262295082,0.09836065573770492,36,lower
2608,Geometry and Topology,0.40178125,0.5369499540773978,256,27,0.01639344262295082,0.1092896174863388,22,lower
