row_index,model_a,model_b,mean,min,max
418941,scincl,scibert,0.8240000000000001,0.76,0.88
418941,scincl,bert,0.776,0.68,0.84
418941,scincl,mpnet,0.836,0.76,0.88
418941,scincl,minilm,0.8,0.76,0.84
418941,scincl,pubmedbert,0.8160000000000001,0.72,0.88
418941,scincl,biobert,0.78,0.72,0.84
418941,scincl,simcse,0.748,0.68,0.84
418941,scibert,bert,0.8320000000000001,0.76,0.92
418941,scibert,mpnet,0.804,0.76,0.88
418941,scibert,minilm,0.732,0.68,0.8
418941,scibert,pubmedbert,0.8960000000000001,0.84,0.92
418941,scibert,biobert,0.8879999999999999,0.84,0.96
418941,scibert,simcse,0.724,0.68,0.8
418941,bert,mpnet,0.732,0.68,0.8
418941,bert,minilm,0.688,0.64,0.72
418941,bert,pubmedbert,0.8560000000000001,0.8,0.88
418941,bert,biobert,0.8640000000000001,0.8,0.92
418941,bert,simcse,0.704,0.64,0.76
418941,mpnet,minilm,0.884,0.8,0.92
418941,mpnet,pubmedbert,0.744,0.68,0.8
418941,mpnet,biobert,0.76,0.72,0.8
418941,mpnet,simcse,0.772,0.68,0.84
418941,minilm,pubmedbert,0.688,0.64,0.76
418941,minilm,biobert,0.724,0.64,0.8
418941,minilm,simcse,0.728,0.6,0.8
418941,pubmedbert,biobert,0.9,0.88,0.96
418941,pubmedbert,simcse,0.6839999999999999,0.64,0.76
418941,biobert,simcse,0.6839999999999999,0.64,0.72
158371,specter,specter2,0.776,0.68,0.88
158371,specter,scincl,0.744,0.64,0.88
158371,specter,scibert,0.724,0.6,0.84
158371,specter,bert,0.688,0.6,0.8
158371,specter,mpnet,0.74,0.68,0.8
158371,specter,minilm,0.748,0.6,0.84
158371,specter,pubmedbert,0.704,0.56,0.8
158371,specter,biobert,0.6799999999999999,0.56,0.76
158371,specter,simcse,0.728,0.64,0.8
158371,specter2,scincl,0.8400000000000001,0.8,0.88
158371,specter2,scibert,0.74,0.64,0.8
158371,specter2,bert,0.74,0.64,0.84
158371,specter2,mpnet,0.812,0.76,0.84
158371,specter2,minilm,0.852,0.72,0.96
158371,specter2,pubmedbert,0.732,0.64,0.8
158371,specter2,biobert,0.732,0.64,0.8
158371,specter2,simcse,0.744,0.68,0.84
158371,scincl,scibert,0.716,0.64,0.8
158371,scincl,bert,0.732,0.64,0.88
158371,scincl,mpnet,0.776,0.72,0.84
158371,scincl,minilm,0.812,0.72,0.88
158371,scincl,pubmedbert,0.7,0.6,0.76
158371,scincl,biobert,0.6839999999999999,0.64,0.8
158371,scincl,simcse,0.748,0.72,0.84
