field_id,period_start,model_a,model_b,median_change_1024_to_2048,central95_width_at2048,median2048_minus_full,passes_operational_screen
11,2000,specter,specter2,0.0012795202777156067,0.002867748118221214,0.00022972565954837432,True
11,2000,specter,scincl,0.00018078383737463177,0.0017159694493678046,0.00015578949425698596,True
11,2000,specter,scibert,0.0010510569467268027,0.005521404172153854,0.0001832453812460333,True
11,2000,specter,bert,0.001034720525980748,0.004571858609041191,0.0003724259683900444,True
11,2000,specter,mpnet,0.0011663398028896044,0.0030944974354455423,0.0004429330140619525,True
11,2000,specter,minilm,3.7522561214031747e-05,0.003487401089455444,0.00011247787539714338,True
11,2000,specter,pubmedbert,0.0034348074171117737,0.00826748325335136,0.0003398121925844988,True
11,2000,specter,biobert,0.005465042948887389,0.007112375713349661,0.0006021200205255095,True
11,2000,specter,simcse,0.0003807860544674524,0.004947972199188244,8.306060237261992e-05,True
11,2000,specter2,scincl,0.0008529922513975663,0.0014016322254487568,8.915341263870946e-05,True
11,2000,specter2,scibert,0.0007776664768266439,0.0039987477517314796,0.000171213607193077,True
11,2000,specter2,bert,0.00024013232895830905,0.005061431188561005,0.0001380057010308966,True
11,2000,specter2,mpnet,0.0004606112291651865,0.0018032244638882533,0.00014621732875363946,True
11,2000,specter2,minilm,0.0004409120217144791,0.0021818481527956513,-0.0001227011365600994,True
11,2000,specter2,pubmedbert,0.0033161516998416185,0.0070702750273782256,-4.992767836675682e-05,True
11,2000,specter2,biobert,0.004256785089313819,0.006292033295923316,0.00012978027025967176,True
11,2000,specter2,simcse,0.00014802827808324537,0.004122326217381012,-7.187144763692865e-05,True
11,2000,scincl,scibert,0.0006823428472177984,0.004639288748230497,0.00019888379629406927,True
11,2000,scincl,bert,0.0006216348792170701,0.00474712281288614,0.00023004139338234086,True
11,2000,scincl,mpnet,0.00017727436274961317,0.0030183876898999262,0.00018060308699030525,True
11,2000,scincl,minilm,0.0013222566681212466,0.002818292683943846,0.00012826863591575144,True
11,2000,scincl,pubmedbert,0.003674869969384542,0.00656875859750683,0.000346446218890184,True
11,2000,scincl,biobert,0.00548033799049763,0.0060904673381557695,0.000286817998384592,True
11,2000,scincl,simcse,0.0002013172205866387,0.004126410571797079,-1.53232805850112e-05,True
11,2000,scibert,bert,0.00203599698229584,0.004627846017534631,0.0003205563604159467,True
11,2000,scibert,mpnet,0.0003845985992504408,0.004652828404651421,5.2251134140202105e-05,True
11,2000,scibert,minilm,0.0006385304976628814,0.004620892637446805,0.00010078122881224116,True
11,2000,scibert,pubmedbert,0.004978778389110428,0.004945209276873808,0.0005579509862004839,True
11,2000,scibert,biobert,0.0014561021295477206,0.003804931010681911,0.00010699007736514332,True
11,2000,scibert,simcse,0.0004785286500653685,0.004807243157742502,0.00020996415616880704,True
11,2000,bert,mpnet,0.0012241522938502003,0.004274258176914847,0.00014088586403915304,True
11,2000,bert,minilm,5.613809931803715e-05,0.004643700645047932,-0.00027604294144467634,True
11,2000,bert,pubmedbert,0.002268103426925294,0.004909501758080248,-5.300607752156683e-05,True
11,2000,bert,biobert,0.0013705563183871172,0.002765263755108438,6.653117002319853e-05,True
11,2000,bert,simcse,7.324667255770301e-05,0.0035047620412688163,-0.0001327959089125752,True
11,2000,mpnet,minilm,0.0004929513008523623,0.002208537668416888,-8.613130280876735e-05,True
11,2000,mpnet,pubmedbert,0.00385941814666807,0.006909085135098081,0.00028761410480410143,True
