field_id,period_start,delta_overlap,extended_overlap,k,native_overlap,other_model
11,2000,-0.001061865189289012,0.3518467220683287,10,0.3529085872576177,specter
11,2000,-0.0033979686057248383,0.3968236380424746,25,0.4002216066481995,specter
11,2000,-0.0019021237303785776,0.4361311172668514,50,0.4380332409972299,specter
11,2000,-0.005632502308402585,0.31140350877192985,10,0.3170360110803324,specter2
11,2000,-0.008513388734995382,0.3373776546629732,25,0.3458910433979686,specter2
11,2000,-0.007349953831948291,0.37024007386888275,50,0.37759002770083105,specter2
11,2000,-0.005493998153277931,0.3882271468144044,10,0.39372114496768235,scincl
11,2000,-0.008070175438596491,0.4265927977839335,25,0.43466297322253,scincl
11,2000,-0.007626962142197599,0.45877192982456144,50,0.466398891966759,scincl
11,2000,0.01948291782086796,0.22816251154201295,10,0.20867959372114497,scibert
11,2000,0.017950138504155125,0.2667405355493998,25,0.24879039704524475,scibert
11,2000,0.01723915050784857,0.3042659279778393,50,0.2870267774699908,scibert
11,2000,0.02830101569713758,0.23457987072945521,10,0.20627885503231766,bert
11,2000,0.030489381348107105,0.28504155124653746,25,0.25455216989843027,bert
11,2000,0.03038781163434903,0.32671283471837487,50,0.2963250230840259,bert
11,2000,-0.010757156048014773,0.49524469067405347,10,0.5060018467220684,mpnet
11,2000,-0.012077562326869806,0.5303970452446908,25,0.5424746075715605,mpnet
11,2000,-0.01313942751615882,0.553758079409049,50,0.5668975069252078,mpnet
11,2000,-0.2360572483841182,0.7639427516158819,10,1.0,minilm
11,2000,-0.2102308402585411,0.7897691597414589,25,1.0,minilm
11,2000,-0.19566020313942753,0.8043397968605726,50,1.0,minilm
11,2000,0.020036934441366575,0.21971375807940904,10,0.19967682363804248,pubmedbert
11,2000,0.020480147737765467,0.2575438596491228,25,0.23706371191135736,pubmedbert
11,2000,0.021588180978762698,0.29364727608494917,50,0.27205909510618653,pubmedbert
11,2000,0.02349953831948292,0.2268236380424746,10,0.2033240997229917,biobert
11,2000,0.022031394275161587,0.26832871652816254,25,0.24629732225300094,biobert
11,2000,0.023093259464450597,0.3064081255771007,50,0.28331486611265005,biobert
11,2000,0.01703601108033241,0.21786703601108032,10,0.20083102493074792,simcse
11,2000,0.016325023084025853,0.2583564173591875,25,0.2420313942751616,simcse
11,2000,0.01912280701754386,0.29921514312096026,50,0.28009233610341644,simcse
11,2005,0.0045490506329113915,0.3452927215189873,10,0.3407436708860759,specter
11,2005,0.0029746835443037974,0.3901898734177215,25,0.38721518987341774,specter
11,2005,0.0017009493670886078,0.4296598101265822,50,0.4279588607594937,specter
11,2005,-0.007080696202531645,0.30003955696202533,10,0.30712025316455693,specter2
11,2005,-0.006250000000000001,0.32950949367088606,25,0.33575949367088603,specter2
11,2005,-0.007444620253164557,0.35904272151898736,50,0.3664873417721519,specter2
11,2005,-0.004825949367088607,0.3727056962025317,10,0.37753164556962027,scincl
11,2005,-0.0017879746835443044,0.41140822784810127,25,0.4131962025316456,scincl
11,2005,-0.002159810126582279,0.44531645569620254,50,0.4474762658227848,scincl
11,2005,0.022072784810126582,0.22195411392405065,10,0.1998813291139241,scibert
11,2005,0.020094936708860762,0.2631803797468354,25,0.24308544303797466,scibert
11,2005,0.019738924050632912,0.2994936708860759,50,0.27975474683544305,scibert
11,2005,0.030696202531645567,0.23797468354430382,10,0.20727848101265822,bert
11,2005,0.02931962025316456,0.27860759493670884,25,0.24928797468354433,bert
11,2005,0.02966772151898734,0.3212737341772152,50,0.29160601265822783,bert
11,2005,-0.006606012658227848,0.484375,10,0.4909810126582278,mpnet
11,2005,-0.007721518987341774,0.5160601265822785,25,0.5237816455696203,mpnet
11,2005,-0.008575949367088607,0.5423180379746836,50,0.5508939873417721,mpnet
11,2005,-0.24806170886075946,0.7519382911392405,10,1.0,minilm
11,2005,-0.2234018987341772,0.7765981012658227,25,1.0,minilm
11,2005,-0.2068433544303798,0.7931566455696202,50,1.0,minilm
11,2005,0.02223101265822785,0.21499208860759494,10,0.19276107594936712,pubmedbert
11,2005,0.02191455696202532,0.24981012658227847,25,0.2278955696202532,pubmedbert
11,2005,0.022753164556962024,0.28847310126582276,50,0.26571993670886074,pubmedbert
11,2005,0.024406645569620255,0.22543512658227852,10,0.20102848101265824,biobert
11,2005,0.022753164556962028,0.26428797468354437,25,0.2415348101265823,biobert
11,2005,0.024066455696202534,0.30401898734177213,50,0.27995253164556966,biobert
11,2005,0.018077531645569623,0.2131329113924051,10,0.19505537974683546,simcse
11,2005,0.02009493670886076,0.2541772151898734,25,0.23408227848101265,simcse
11,2005,0.019691455696202533,0.29250791139240506,50,0.2728164556962025,simcse
11,2010,0.004365482233502537,0.32835025380710653,10,0.32398477157360406,specter
11,2010,0.0012994923857868024,0.37085279187817266,25,0.36955329949238586,specter
11,2010,-0.0006192893401015234,0.4060964467005076,50,0.4067157360406091,specter
11,2010,-0.006370558375634518,0.30527918781725893,10,0.31164974619289343,specter2
11,2010,-0.008071065989847716,0.334263959390863,25,0.3423350253807107,specter2
11,2010,-0.009822335025380711,0.3603857868020305,50,0.3702081218274112,specter2
11,2010,-0.0032487309644670054,0.3616751269035533,10,0.36492385786802034,scincl
11,2010,-0.00534010152284264,0.4003959390862945,25,0.4057360406091371,scincl
11,2010,-0.006527918781725889,0.42964467005076146,50,0.43617258883248733,scincl
11,2010,0.019289340101522844,0.19720812182741118,10,0.17791878172588835,scibert
11,2010,0.020954314720812182,0.2392081218274112,25,0.218253807106599,scibert
11,2010,0.020157360406091368,0.27464467005076143,50,0.2544873096446701,scibert
11,2010,0.028654822335025382,0.20946700507614213,10,0.18081218274111677,bert
11,2010,0.03328934010152284,0.25593908629441625,25,0.22264974619289343,bert
11,2010,0.033558375634517766,0.29602030456852796,50,0.2624619289340102,bert
11,2010,-0.008781725888324871,0.4757360406091371,10,0.4845177664974619,mpnet
11,2010,-0.007309644670050761,0.5060609137055838,25,0.5133705583756345,mpnet
11,2010,-0.008294416243654823,0.532741116751269,50,0.5410355329949238,mpnet
