field_id,period_start,mean_overlap,mean_adjusted,shape_neighbor_spearman
11,2000,0.324938134810711,0.31705189806784545,0.9057971014492752
11,2005,0.31845815752461326,0.3116481870762181,0.9158102766798417
11,2010,0.29947591652566274,0.29500143975334325,0.922266139657444
11,2015,0.2999979318546094,0.29590147780413306,0.9246376811594202
11,2020,0.282045772779404,0.27926946099587496,0.9529644268774704
12,2000,0.2536813378475428,0.24496266188781782,0.916205533596838
12,2005,0.25161177798296913,0.2428689249220225,0.9359683794466402
12,2010,0.2540388329775338,0.24540502317403304,0.9321123889242563
12,2015,0.24498519603058402,0.23800981905377863,0.9375494071146244
12,2020,0.264749506903353,0.25926910668647285,0.9415019762845848
13,2000,0.31348083242059144,0.3071546329405011,0.8683794466403162
13,2005,0.30083026283468445,0.29650906544800126,0.8776021080368906
13,2010,0.29755619035527625,0.294195215189512,0.8822134387351778
13,2015,0.29254848701453423,0.28937321092393514,0.916205533596838
13,2020,0.2906318388564003,0.2880292259963196,0.9126482213438734
14,2000,0.28003775520673024,0.27162698131895846,0.9397891963109354
14,2005,0.2816768236380425,0.27328519774596355,0.951480615819707
14,2010,0.2796222425536241,0.2712845370276243,0.9770750988142292
14,2015,0.27409356725146194,0.26720379473106964,0.9769433465085638
14,2020,0.25793971397139714,0.25331801313664,0.9637681159420288
15,2000,0.3283114804555248,0.32046465195617346,0.9218708827404478
15,2005,0.326657227864984,0.31879107398490214,0.9187088274044793
15,2010,0.3247665948496974,0.31687835413532467,0.9108036890645586
15,2015,0.3274193085051811,0.31956205743631644,0.9010540184453227
15,2020,0.3303387709038679,0.3225156257041466,0.9399209486166008
16,2000,0.28110475017954245,0.2727064411863127,0.8936758893280631
16,2005,0.3034328511336822,0.29529538444131864,0.89433465085639
16,2010,0.3028090694572689,0.29466431559578843,0.8965744400527007
16,2015,0.2928782189391608,0.28461745046882386,0.9204216073781291
16,2020,0.305282035498102,0.2971661714268181,0.9444005270092225
17,2000,0.29461591137965765,0.289246056868236,0.8906455862977601
17,2005,0.27648687085369245,0.27323833848503987,0.8277997364953886
17,2010,0.2730383735864424,0.2704670605331969,0.8542819499341238
17,2015,0.27955516671527175,0.2769188785372684,0.9411067193675888
17,2020,0.2646153229041316,0.2627668796176449,0.9433465085638997
18,2000,0.32609131014671183,0.31821854507833225,0.9114624505928852
18,2005,0.33150959269518826,0.32370012532013204,0.8974967061923582
18,2010,0.326734379809172,0.3188691272368493,0.9101449275362318
18,2015,0.3242166820560173,0.31632201712676505,0.9491436100131752
18,2020,0.3272838822201703,0.31942504906853675,0.9569169960474306
19,2000,0.32828029137170417,0.32043309851389695,0.931752305665349
19,2005,0.33126582538216887,0.32345351025812874,0.9180500658761527
19,2010,0.3369980506822612,0.32925270080705393,0.8959156785243743
19,2015,0.3426182415102083,0.3349385480699069,0.925691699604743
19,2020,0.3429834820970555,0.33530805548603976,0.9194993412384717
20,2000,0.29834000205191347,0.29014303945906195,0.9536231884057971
20,2005,0.2997012414076126,0.29152018114368283,0.9357048748353095
20,2010,0.3022218118395404,0.2940701974918714,0.9666666666666665
20,2015,0.2949834820970555,0.28674730782248836,0.9772068511198945
20,2020,0.2919501659832064,0.285670901758155,0.9778656126482212
21,2000,0.3467499743510824,0.3391185488178007,0.838471673254282
21,2005,0.3484871242433569,0.34087599251722794,0.8657444005270091
21,2010,0.3393113778598543,0.33159305283485263,0.8807641633728589
21,2015,0.3267323278957628,0.318867051352489,0.875098814229249
21,2020,0.320660305735098,0.3127240943534986,0.872521248352399
22,2000,0.2585172468605945,0.2558554046968258,0.8167325428194993
22,2005,0.2516637783672267,0.250005819705332,0.7741765480895916
22,2010,0.24720126875543574,0.2459612365829962,0.7723320158102764
22,2015,0.2558046470951886,0.2545400410713563,0.8476943346508563
22,2020,0.2509855138896235,0.24999375698306345,0.8279314888010539
23,2000,0.33113901713347693,0.3233252206046624,0.8766798418972331
23,2005,0.3238303198887344,0.3178990069053022,0.8449553678947284
23,2010,0.3087871272021085,0.30444424662408703,0.8636363636363635
23,2015,0.3099240086278414,0.3056023904454005,0.9090549759534817
23,2020,0.3003651517711325,0.29739707588351644,0.9242424242424241
24,2000,0.3056591771827229,0.29754771897224064,0.9389986824769432
24,2005,0.2994550117985021,0.2912710750204472,0.9342555994729906
24,2010,0.3045925925925926,0.29646867428175844,0.9366271409749669
24,2015,0.31269354673232785,0.30466426573621025,0.9163372859025031
24,2020,0.31857597209397764,0.31061541102030915,0.9191040843214756
25,2000,0.29079798912485894,0.2825129189043549,0.9552042160737813
25,2005,0.29628357443315895,0.2880625881531724,0.9548089591567852
25,2010,0.28871273163778227,0.28265613023824027,0.9749670619235836
25,2015,0.28756175972927245,0.28186407706555894,0.978919631093544
