centroid_edge_spearman,model_a,model_b,period_start,stage
0.9499173264817438,scibert,simcse,2010,mean
0.8357593553912573,bert,mpnet,2010,mean
0.8630650376662646,bert,minilm,2010,mean
0.9165025431283101,bert,pubmedbert,2010,mean
0.9232716340691802,bert,biobert,2010,mean
0.9081236781850279,bert,simcse,2010,mean
0.9605935713911176,mpnet,minilm,2010,mean
0.818283606872564,mpnet,pubmedbert,2010,mean
0.8039050565430934,mpnet,biobert,2010,mean
0.8295583171656793,mpnet,simcse,2010,mean
0.8625875238145178,minilm,pubmedbert,2010,mean
0.8573041092059498,minilm,biobert,2010,mean
0.8767619247373849,minilm,simcse,2010,mean
0.985781902714418,pubmedbert,biobert,2010,mean
0.9337587611207245,pubmedbert,simcse,2010,mean
0.928434796287557,biobert,simcse,2010,mean
0.8941293062765455,specter,specter2,2015,mean
0.9241385699054412,specter,scincl,2015,mean
0.7978840473319002,specter,scibert,2015,mean
0.6343893870274239,specter,bert,2015,mean
0.7200307622393514,specter,mpnet,2015,mean
0.7110642686102809,specter,minilm,2015,mean
0.6989313617534477,specter,pubmedbert,2015,mean
0.6749350672050058,specter,biobert,2015,mean
0.7662622131333789,specter,simcse,2015,mean
0.9513631517312501,specter2,scincl,2015,mean
0.8705161414363869,specter2,scibert,2015,mean
0.7706678552077326,specter2,bert,2015,mean
0.8412014751892054,specter2,mpnet,2015,mean
0.847177389754077,specter2,minilm,2015,mean
0.8086578225228532,specter2,pubmedbert,2015,mean
0.7981091709926067,specter2,biobert,2015,mean
0.863482774893818,specter2,simcse,2015,mean
0.8530690577316346,scincl,scibert,2015,mean
0.7142107562966459,scincl,bert,2015,mean
0.7932560781640537,scincl,mpnet,2015,mean
0.796692360127943,scincl,minilm,2015,mean
0.789735899183752,scincl,pubmedbert,2015,mean
0.7747232272385648,scincl,biobert,2015,mean
0.8318595424116898,scincl,simcse,2015,mean
0.9181318931012183,scibert,bert,2015,mean
0.8148036285459599,scibert,mpnet,2015,mean
0.8596553230909061,scibert,minilm,2015,mean
0.9593679758096936,scibert,pubmedbert,2015,mean
0.9577987520318809,scibert,biobert,2015,mean
0.9521276632933076,scibert,simcse,2015,mean
0.835990421757293,bert,mpnet,2015,mean
0.8656924125635783,bert,minilm,2015,mean
0.9128219111041197,bert,pubmedbert,2015,mean
0.9147036512680685,bert,biobert,2015,mean
0.9095729991435515,bert,simcse,2015,mean
0.9683040567703147,mpnet,minilm,2015,mean
0.800678517120235,mpnet,pubmedbert,2015,mean
0.7807648611329593,mpnet,biobert,2015,mean
0.8198231171237308,mpnet,simcse,2015,mean
0.8528372922237953,minilm,pubmedbert,2015,mean
0.84185552234632,minilm,biobert,2015,mean
0.8708146749864543,minilm,simcse,2015,mean
0.986562144967053,pubmedbert,biobert,2015,mean
0.935229056333351,pubmedbert,simcse,2015,mean
0.9279618268575325,biobert,simcse,2015,mean
0.899571076503592,specter,specter2,2020,mean
0.9365207208151995,specter,scincl,2020,mean
0.8099868910911857,specter,scibert,2020,mean
0.6541764983482775,specter,bert,2020,mean
0.7496076066628214,specter,mpnet,2020,mean
0.7602953874119519,specter,minilm,2020,mean
0.7066991767605265,specter,pubmedbert,2020,mean
0.6817558946393304,specter,biobert,2020,mean
0.7973656336846522,specter,simcse,2020,mean
0.9470802090433995,specter2,scincl,2020,mean
0.8696984950972683,specter2,scibert,2020,mean
0.7775942530543759,specter2,bert,2020,mean
0.8655693636061734,specter2,mpnet,2020,mean
0.8731134532361527,specter2,minilm,2020,mean
0.7971419083075525,specter2,pubmedbert,2020,mean
0.780646356597277,specter2,biobert,2020,mean
0.8777683393634316,specter2,simcse,2020,mean
0.8530526278992537,scincl,scibert,2020,mean
0.7166144058168599,scincl,bert,2020,mean
0.8110688130320033,scincl,mpnet,2020,mean
0.8219834652963487,scincl,minilm,2020,mean
0.7858920175484594,scincl,pubmedbert,2020,mean
0.7647499694125461,scincl,biobert,2020,mean
0.8473668571828084,scincl,simcse,2020,mean
0.9097114292206318,scibert,bert,2020,mean
0.8306269554122315,scibert,mpnet,2020,mean
0.8758911436212051,scibert,minilm,2020,mean
0.9528019855627219,scibert,pubmedbert,2020,mean
0.9478580042997222,scibert,biobert,2020,mean
0.9590816772411865,scibert,simcse,2020,mean
0.8472906507262337,bert,mpnet,2020,mean
0.8682061769178334,bert,minilm,2020,mean
0.9066131823187039,bert,pubmedbert,2020,mean
0.9015496478073166,bert,biobert,2020,mean
0.9043685875587717,bert,simcse,2020,mean
0.9759816824847501,mpnet,minilm,2020,mean
0.805242514813067,mpnet,pubmedbert,2020,mean
0.7805268033488894,mpnet,biobert,2020,mean
0.8398007445860207,mpnet,simcse,2020,mean
0.8519196686067853,minilm,pubmedbert,2020,mean
0.8349976403964136,minilm,biobert,2020,mean
0.877411777043679,minilm,simcse,2020,mean
0.9887099085872093,pubmedbert,biobert,2020,mean
0.9317309003198575,pubmedbert,simcse,2020,mean
0.918670581860766,biobert,simcse,2020,mean
0.8841805184136473,specter,specter2,2000,cls
0.9180979847237517,specter,scincl,2000,cls
0.7270113435757608,specter,scibert,2000,cls
0.6932281124919163,specter,bert,2000,cls
0.7043850173911523,specter,mpnet,2000,cls
0.6756901403527171,specter,minilm,2000,cls
0.6745134846975339,specter,pubmedbert,2000,cls
0.7392372362924512,specter,biobert,2000,cls
0.7298750284026359,specter,simcse,2000,cls
0.9497558247251501,specter2,scincl,2000,cls
0.8493569643262896,specter2,scibert,2000,cls
0.8380812053204691,specter2,bert,2000,cls
0.847429080803314,specter2,mpnet,2000,cls
0.837158687710835,specter2,minilm,2000,cls
0.8216167654204466,specter2,pubmedbert,2000,cls
0.873192456259941,specter2,biobert,2000,cls
0.851712722632968,specter2,simcse,2000,cls
0.8095817384160943,scincl,scibert,2000,cls
0.7820533794766925,scincl,bert,2000,cls
0.7935633509866639,scincl,mpnet,2000,cls
