excluded_family,count,mean,median,min,max,q05,q95
none,5850,0.6365004469188758,0.6104920529697077,0.3384813679247646,0.9198809999461295,0.4412012801660296,0.8509867052105974
citation_document,2730,0.6526012137153449,0.6239236155420733,0.3384813679247646,0.9198809999461295,0.45326915444144056,0.8616496480442567
word_BERT,1950,0.6919706908309383,0.7328546694568796,0.37766535675584956,0.9198809999461295,0.4835431000791145,0.848494033209507
general_sentence,2730,0.6509982057475726,0.6246562367429835,0.3465819501472123,0.9196748027619358,0.4313433216972379,0.8618476281337343
