field_id,period_start,n,cka_native_extended,overlap_k10,overlap_k25,overlap_k50
11,2000,2166,0.9704373411543415,0.7639427516158819,0.7897691597414589,0.8043397968605726
11,2005,2528,0.9693858771405813,0.7519382911392405,0.7765981012658227,0.7931566455696202
11,2010,3940,0.9671655066803937,0.7280456852791878,0.7546395939086294,0.7750710659898477
11,2015,4298,0.9658622030005882,0.7051884597487204,0.7322289436947417,0.754206607724523
11,2020,6491,0.9616950341155115,0.6814512401787091,0.7099738098906179,0.732337082113696
12,2000,2166,0.9669750512376866,0.797876269621422,0.8099353647276085,0.8225484764542935
12,2005,2166,0.9662432200465246,0.784533702677747,0.8032132963988918,0.8182917820867959
12,2010,2186,0.9672233654268011,0.7833028362305581,0.8006404391582799,0.8147301006404392
12,2015,2732,0.9682100073119654,0.7740117130307468,0.792342606149341,0.8102269399707174
12,2020,3380,0.9649428814679365,0.7542011834319527,0.7800710059171597,0.7985207100591716
13,2000,2739,0.9604420078868062,0.7348667396860169,0.7604235122307412,0.7729755385177072
13,2005,4071,0.9624543701184165,0.738933922869074,0.7598034880864653,0.7722918201915991
13,2010,5251,0.9628518274087801,0.7288897352885164,0.7513464102075794,0.7662350028565987
13,2015,5596,0.9600532085834154,0.7145818441744103,0.738170121515368,0.7557827019299501
13,2020,6840,0.959583467533109,0.6987719298245615,0.7309181286549707,0.7465935672514621
14,2000,2166,0.9896215110966782,0.9191597414589104,0.9281440443213297,0.9337211449676824
14,2005,2166,0.9888391998070876,0.9023545706371192,0.9144413665743305,0.9220498614958448
14,2010,2186,0.9865018606034353,0.8860475754803294,0.8986093321134492,0.9086733760292772
14,2015,2660,0.980597333764844,0.8395112781954889,0.8615187969924814,0.8718646616541352
14,2020,4040,0.980412303586276,0.8150247524752476,0.8388019801980199,0.8537722772277229
15,2000,2166,0.9879635039655356,0.8320867959372115,0.8586149584487535,0.8776084949215144
15,2005,2166,0.9874107101290404,0.8249769159741459,0.8498430286241919,0.871375807940905
15,2010,2166,0.9868077250772802,0.8078024007386888,0.8359926131117266,0.854219759926131
15,2015,2166,0.9854554796668193,0.7886426592797784,0.8209602954755308,0.8418467220683288
15,2020,2166,0.9801447246343784,0.7579409048938135,0.7917820867959372,0.8157617728531856
16,2000,2166,0.9681624677733626,0.746168051708218,0.7704893813481072,0.7866020313942752
16,2005,2166,0.972264955748467,0.7668051708217913,0.7909695290858726,0.8122068328716529
16,2010,2166,0.972350638231765,0.7618190212373037,0.7911357340720221,0.8077377654662973
16,2015,2166,0.9724408555862701,0.7645891043397968,0.7911542012927054,0.8116712834718376
16,2020,2166,0.9704287187879925,0.7542012927054478,0.785595567867036,0.8060849492151432
17,2000,3310,0.9946981537511348,0.949939577039275,0.9570030211480364,0.9607552870090635
17,2005,5594,0.993844391220836,0.9393636038612799,0.9478941723274936,0.9532356095816947
17,2010,7094,0.9928757593265712,0.9296024809698337,0.9386354665914858,0.9447392162390753
17,2015,6858,0.9888800367196895,0.88636628754739,0.9009507144940218,0.9091892680081657
17,2020,9972,0.9853673777138353,0.8316887284396312,0.8509386281588447,0.8621259526674688
18,2000,2166,0.9885657887079554,0.9056786703601108,0.9223822714681441,0.9295198522622345
18,2005,2166,0.9887137530319845,0.9123268698060942,0.9257802400738688,0.9306832871652817
18,2010,2166,0.9869011758813515,0.8929362880886427,0.9078670360110803,0.9188550323176362
18,2015,2166,0.9849429654836767,0.8672668513388735,0.8860018467220683,0.8983471837488458
18,2020,2166,0.9833837322953092,0.846168051708218,0.8643767313019389,0.8816343490304709
19,2000,2166,0.971454574661615,0.7559556786703602,0.7862973222530009,0.8066481994459834
19,2005,2166,0.9738912410396051,0.7707294552169899,0.7970452446906741,0.8173868882733148
19,2010,2166,0.9725954090703083,0.7593259464450601,0.7908771929824562,0.8145983379501386
19,2015,2166,0.9694206834512481,0.7376269621421976,0.7677746999076638,0.792927054478301
