field_id,field,rows,min_cell_rows,cka_median_all_pairs_periods,neighbor_mean_k25_equal_periods,stability_comparisons_present,stability_screen_failures,cka_median_equal2048,equal2048_neighbor_mean_k25,global_anchors_neighbor_mean_k25
11,Agricultura y biología,19423,2166,0.5659396205988177,0.3049831826990001,225,9,0.5654633539747091,0.3322676215277777,0.18570666666666666
12,Artes y humanidades,12630,2166,0.5545983117336734,0.2538133303483966,225,0,0.5544327205181618,0.2640633680555556,0.14298311111111112
13,Bioquímica y genética,24497,2739,0.5651475679027285,0.29900952229629735,225,3,0.565044925340149,0.3292871527777778,0.1828266666666667
14,Empresa y contabilidad,13218,2166,0.5325978799015482,0.27467402052425116,225,0,0.5328611198393649,0.28423420138888894,0.16058488888888892
15,Ingeniería química,10830,2166,0.6678496657509417,0.3274986765158511,225,0,0.6683232944918751,0.330511545138889,0.17379555555555556
16,Química,10830,2166,0.6649563743886564,0.29710138504155126,225,0,0.6647681853216032,0.3006311631944445,0.16524622222222224
17,Informática,32828,3310,0.573383747914332,0.27766232908783917,225,1,0.574713233450368,0.3234480034722223,0.18124622222222223
18,Ciencias de la decisión,10830,2166,0.5708155027743165,0.32716716938545193,225,0,0.5708062486807026,0.3292701388888889,0.15972444444444445
19,Ciencias de la Tierra,10830,2166,0.6428867661070675,0.33642917820867957,225,0,0.6429404797044713,0.33984236111111116,0.1976551111111111
20,Economía y finanzas,11509,2166,0.553470841238879,0.29743934067586564,225,6,0.5541165486125665,0.3024520833333334,0.16720533333333334
21,Energía,10830,2166,0.7644986537401025,0.33638822201703095,225,0,0.7648482310905109,0.3396980902777778,0.1790791111111111
22,Ingeniería,67148,6990,0.569457695630232,0.2528344909936138,225,6,0.5692393841590275,0.32572829861111113,0.16717333333333334
23,Ciencias ambientales,18984,2166,0.5993423204076223,0.3148091249246588,225,12,0.5992641435366373,0.3403096354166667,0.1813208888888889
24,Inmunología y microbiología,10830,2166,0.5992289558912908,0.30819526008002457,225,0,0.5988083496889463,0.31024383680555556,0.1758008888888889
25,Ciencia de materiales,14233,2166,0.5926932186789283,0.29063737593528305,225,0,0.5937551253953165,0.3047686631944445,0.17129955555555557
26,Matemáticas,10830,2166,0.6644901883064519,0.28879991792346366,225,0,0.6651190580504849,0.2913875,0.17477333333333334
27,Medicina,78669,7128,0.47419379434297587,0.2418089265502546,225,2,0.4741711926786559,0.2981603298611112,0.18249777777777776
28,Neurociencias,10830,2166,0.620386241432099,0.3460799015081564,225,0,0.6208146225598596,0.3486638020833334,0.19689422222222222
29,Enfermería,10830,2166,0.6166551489643577,0.34117000102595674,225,0,0.6173700148833474,0.34383880208333345,0.16880355555555554
30,Farmacología y toxicología,10830,2166,0.612142873870112,0.33191127526418385,225,0,0.6120513767604154,0.33468862847222225,0.1831626666666667
31,Física y astronomía,14822,2166,0.6364650718316406,0.31306218143635767,225,0,0.6363301520760092,0.33265000000000006,0.18496355555555555
32,Psicología,13045,2166,0.5298036634033051,0.30183099472307207,225,0,0.5303735293410375,0.31086831597222225,0.16378133333333336
33,Ciencias sociales,37549,2776,0.5666222581843259,0.23803155085585342,225,11,0.5653765119667256,0.2841409722222223,0.14415822222222222
34,Veterinaria,10827,2165,0.562085354224366,0.3420401713087061,225,0,0.5620444448107216,0.34446319444444445,0.17425244444444446
35,Odontología,10825,2165,0.5710393277225833,0.32898570182191433,225,0,0.5709689830517662,0.3320280381944445,0.22559822222222223
36,Profesiones de la salud,11493,2165,0.4940999066689498,0.301809855382162,225,0,0.494616504237716,0.3058467881944445,0.16071466666666664
