field_a,field_b,median_rank_change,models_closer_in_rank,models_farther_in_rank,minimum_change,maximum_change
23,28,-2.5,6,4,-19.0,43.0
23,29,4.5,1,9,-2.0,18.0
23,30,16.5,0,10,5.0,36.0
23,31,21.5,3,7,-27.0,41.0
23,32,-9.0,10,0,-35.0,-3.0
23,33,-29.0,10,0,-64.0,-20.0
23,34,13.5,2,8,-6.0,26.0
23,35,7.5,3,7,-13.0,34.0
23,36,-35.0,10,0,-69.0,-13.0
24,25,-21.5,9,1,-67.0,31.0
24,26,-34.0,9,0,-95.0,0.0
24,27,-8.0,9,0,-22.0,0.0
24,28,5.5,3,7,-43.0,41.0
24,29,-4.5,8,1,-29.0,7.0
24,30,-12.0,9,0,-19.0,0.0
24,31,1.0,4,5,-28.0,43.0
24,32,-58.5,10,0,-88.0,-44.0
24,33,-34.0,10,0,-48.0,-9.0
24,34,-9.5,8,1,-19.0,1.0
24,35,-23.0,8,1,-66.0,2.0
24,36,-73.0,10,0,-126.0,-30.0
25,26,7.0,3,7,-19.0,54.0
25,27,18.0,0,10,4.0,66.0
25,28,-2.0,5,5,-17.0,42.0
25,29,19.0,1,9,-15.0,63.0
25,30,-23.5,9,1,-44.0,7.0
25,31,35.5,0,10,21.0,53.0
25,32,17.0,1,9,-6.0,31.0
25,33,6.0,3,7,-8.0,17.0
25,34,17.5,0,10,4.0,62.0
25,35,13.5,3,7,-17.0,63.0
25,36,-6.5,7,2,-27.0,18.0
26,27,-31.5,10,0,-78.0,-5.0
26,28,-36.0,10,0,-76.0,-14.0
26,29,-18.5,9,1,-57.0,2.0
26,30,-12.5,10,0,-30.0,-2.0
26,31,-23.0,8,2,-74.0,37.0
26,32,-28.0,10,0,-70.0,-7.0
26,33,-50.5,10,0,-65.0,-20.0
26,34,-17.5,10,0,-62.0,-5.0
26,35,-6.5,8,1,-18.0,3.0
26,36,-76.5,10,0,-112.0,-19.0
27,28,3.0,1,8,-1.0,10.0
27,29,10.5,0,10,7.0,19.0
27,30,19.5,0,10,9.0,26.0
27,31,18.5,1,9,-16.0,50.0
27,32,-29.5,10,0,-62.0,-12.0
27,33,-27.5,10,0,-97.0,-4.0
27,34,6.0,0,9,0.0,19.0
27,35,-3.0,8,2,-19.0,6.0
27,36,-33.5,10,0,-53.0,-15.0
28,29,26.5,0,10,12.0,48.0
28,30,30.0,0,10,21.0,60.0
28,31,-3.5,6,4,-35.0,16.0
28,32,-30.5,10,0,-51.0,-9.0
28,33,-59.5,10,0,-101.0,-18.0
28,34,22.5,0,10,10.0,53.0
28,35,-6.0,7,3,-29.0,23.0
28,36,-55.5,10,0,-84.0,-26.0
29,30,11.0,0,10,5.0,16.0
29,31,34.0,0,9,0.0,59.0
29,32,-22.0,9,1,-45.0,4.0
29,33,-31.0,10,0,-82.0,-10.0
29,34,10.0,0,10,4.0,26.0
29,35,0.5,4,5,-9.0,11.0
29,36,-24.0,10,0,-44.0,-3.0
30,31,30.0,0,10,8.0,56.0
30,32,13.5,2,8,-13.0,37.0
30,33,1.5,5,5,-38.0,36.0
30,34,24.0,0,10,11.0,52.0
30,35,2.5,4,6,-48.0,8.0
30,36,-13.5,6,4,-27.0,25.0
31,32,18.5,2,8,-16.0,36.0
