stage,cka_biased,cka_debiased,model_a,model_b,n,procrustes_angle_degrees,procrustes_similarity,rsa_spearman
global_base_unit,0.7192174368008492,0.719176200789801,specter/cls,specter2/cls,400000,46.82208396186955,0.6842660829887629,0.5037281318333191
global_base_unit,0.7690044505678019,0.7689744901885586,specter/cls,scincl/cls,400000,41.98676161073416,0.743299410594769,0.49556858807392057
global_base_unit,0.5453421634361056,0.545286366759235,specter/cls,scibert/mean,400000,51.42806644518991,0.6234966926021992,0.362682859127207
global_base_unit,0.6075228142228999,0.6074935923970797,specter/cls,bert/mean,400000,54.151306057685744,0.5856467621520717,0.3460570564976448
global_base_unit,0.7043420724658221,0.7042932933009004,specter/cls,mpnet/mean,400000,49.60945183633031,0.6479942645720295,0.4524655911016598
global_base_unit,0.6399419768339263,0.6398785933669229,specter/cls,minilm/mean,400000,52.94933735176934,0.6025209652842202,0.4114338377020856
global_base_unit,0.5250130574383406,0.5249717802632543,specter/cls,pubmedbert/mean,400000,52.75352619763123,0.6052449979414078,0.34042048082305154
global_base_unit,0.5635911001998206,0.563549479716367,specter/cls,biobert/mean,400000,53.59163742733225,0.5935363580955542,0.2924983250857454
global_base_unit,0.5738417729978791,0.5737932867014321,specter/cls,simcse/cls,400000,55.88475111529865,0.5608593573697429,0.2652111707655293
global_base_unit,0.8009698444891497,0.8009419813183967,specter2/cls,scincl/cls,400000,37.32020383345591,0.7952597457040844,0.6235363196868408
global_base_unit,0.5688111442133111,0.5687547953078511,specter2/cls,scibert/mean,400000,47.40661282413682,0.6767910081214623,0.3260214743420572
global_base_unit,0.6034992171992914,0.6034694435131323,specter2/cls,bert/mean,400000,55.915369452090935,0.5604168492446316,0.3248553441246387
global_base_unit,0.6851023284738657,0.6850382391427777,specter2/cls,mpnet/mean,400000,52.37524277960876,0.6104874513326521,0.5339463169093653
global_base_unit,0.612708356030935,0.612626670443636,specter2/cls,minilm/mean,400000,55.10814678287636,0.5720292517558777,0.45852795680132025
global_base_unit,0.5336320772120119,0.5335903216840695,specter2/cls,pubmedbert/mean,400000,54.05030605109119,0.5870747038660475,0.30158297391545624
global_base_unit,0.5717012067114383,0.571657708772267,specter2/cls,biobert/mean,400000,54.93854093055452,0.5744547803874384,0.27450479390325994
global_base_unit,0.5463644739725173,0.5463086939149125,specter2/cls,simcse/cls,400000,57.87561981684895,0.5317589940329103,0.23030951575777353
global_base_unit,0.5485015424951337,0.5484487523063226,scincl/cls,scibert/mean,400000,48.39451280089858,0.6639978259995033,0.22350922650977226
global_base_unit,0.6103525982665152,0.6103249679451044,scincl/cls,bert/mean,400000,54.37356050144825,0.5824981186353766,0.24100745828952067
global_base_unit,0.7115193055363025,0.7114744230654052,scincl/cls,mpnet/mean,400000,49.69179750784671,0.6468989568576892,0.5141024109777559
global_base_unit,0.644198365838285,0.6441385841187227,scincl/cls,minilm/mean,400000,52.84506140936871,0.6039724810920798,0.4427681714384199
global_base_unit,0.52676944404915,0.5267303184282875,scincl/cls,pubmedbert/mean,400000,53.41141836772609,0.5960648711479849,0.21619033498847431
global_base_unit,0.563703378935557,0.5636640071095204,scincl/cls,biobert/mean,400000,54.327716216640084,0.5831483064307272,0.18442334378155814
global_base_unit,0.5632983776059665,0.5632502324417007,scincl/cls,simcse/cls,400000,56.31611850671683,0.5546103593193041,0.18808539990671397
global_base_unit,0.7187878686806131,0.7187668506818801,scibert/mean,bert/mean,400000,44.09060274640143,0.718240426860382,0.676304352388761
global_base_unit,0.5105071424007548,0.5104263545579117,scibert/mean,mpnet/mean,400000,57.25542803778416,0.5408947913170938,0.33467728553819426
global_base_unit,0.47821633354961596,0.47812797016766073,scibert/mean,minilm/mean,400000,58.69892943709456,0.5195350772217988,0.3187021610357572
global_base_unit,0.8214035827187939,0.821388650311813,scibert/mean,pubmedbert/mean,400000,36.70926295667242,0.8016790162511029,0.822980495517948
global_base_unit,0.8144708254051428,0.8144530521489192,scibert/mean,biobert/mean,400000,39.16578612964611,0.7753217634566592,0.7911574935578893
global_base_unit,0.625691092023723,0.6256519018338597,scibert/mean,simcse/cls,400000,51.2789511076142,0.6255293227882024,0.44650611718076605
global_base_unit,0.5773731919989605,0.577342805143415,bert/mean,mpnet/mean,400000,57.117290535887726,0.5429210474415684,0.4012911673707274
global_base_unit,0.5405713906051606,0.5405338736974855,bert/mean,minilm/mean,400000,57.76475956960926,0.5333966361161973,0.42990804451126763
global_base_unit,0.7578343807580792,0.7578189216752044,bert/mean,pubmedbert/mean,400000,42.29079593720681,0.7397391989728226,0.7639444225998607
global_base_unit,0.7853310508161345,0.7853208113195421,bert/mean,biobert/mean,400000,42.26448667798638,0.7400481024509907,0.7846686290261725
global_base_unit,0.810473751538662,0.8104617536963696,bert/mean,simcse/cls,400000,37.81282745438206,0.7900177741381326,0.7446660642391684
global_base_unit,0.7511725697760662,0.7510951966958465,mpnet/mean,minilm/mean,400000,47.20971587502076,0.6793168729788104,0.6431575775923984
global_base_unit,0.4878620045459398,0.4878072856774071,mpnet/mean,pubmedbert/mean,400000,58.09467354100257,0.5285172564524044,0.3498620057896557
global_base_unit,0.526886021725053,0.5268227925689966,mpnet/mean,biobert/mean,400000,58.00100519755203,0.5299043859899891,0.3232508993336274
global_base_unit,0.5442524216302832,0.5441860309937657,mpnet/mean,simcse/cls,400000,58.221053223976334,0.526643468494114,0.32988926959472237
global_base_unit,0.4516699131425787,0.45160763500487344,minilm/mean,pubmedbert/mean,400000,59.56039699121232,0.50662981513888,0.34606633876016574
global_base_unit,0.48890448798394265,0.4888319798399234,minilm/mean,biobert/mean,400000,59.30756120036264,0.510429440617762,0.3459175740157918
global_base_unit,0.533111307548176,0.5330420151374792,minilm/mean,simcse/cls,400000,58.4097377193762,0.5238411429265772,0.39233678167184133
global_base_unit,0.8608996839520807,0.8608900177581926,pubmedbert/mean,biobert/mean,400000,36.24239876778969,0.8065230441691528,0.8526226232265582
global_base_unit,0.6437546938079394,0.6437279465029072,pubmedbert/mean,simcse/cls,400000,50.45504239530672,0.6366834859791257,0.5263359772533396
global_base_unit,0.6649960893433544,0.6649697599282208,biobert/mean,simcse/cls,400000,50.54231089712552,0.6355082295587463,0.577846050445612
global_base_raw,0.7176799597392932,0.7176389737311643,specter/cls,specter2/cls,400000,46.869086167582125,0.6836676319199421,
global_base_raw,0.7679849702653617,0.7679554252359541,specter/cls,scincl/cls,400000,42.036225423424774,0.7427216171976654,
global_base_raw,0.511651270017979,0.5115962964531251,specter/cls,scibert/mean,400000,51.84275266633625,0.6178218366507745,
global_base_raw,0.5963245787588134,0.5962973234877004,specter/cls,bert/mean,400000,54.58046930391111,0.5795589953305063,
global_base_raw,0.7019047444558689,0.7018580608052648,specter/cls,mpnet/mean,400000,49.825293121461876,0.6451204484242402,
global_base_raw,0.6269328039998417,0.6268731099465031,specter/cls,minilm/mean,400000,53.32001432318668,0.5973450375892545,
global_base_raw,0.5229689601321651,0.5229280353787725,specter/cls,pubmedbert/mean,400000,52.81834276773762,0.6043440814489885,
global_base_raw,0.5480182348775336,0.5479854031436389,specter/cls,biobert/mean,400000,53.92407038877572,0.5888568627300569,
global_base_raw,0.5705020843503448,0.5704544103616741,specter/cls,simcse/cls,400000,55.939827619797086,0.5600632552946017,
global_base_raw,0.8004438276964474,0.8004161335872884,specter2/cls,scincl/cls,400000,37.33968984676091,0.7950535106519132,
global_base_raw,0.5420537587768074,0.5419989872457502,specter2/cls,scibert/mean,400000,47.74689799253087,0.6724068820390953,
global_base_raw,0.5969695768069917,0.5969417439341892,specter2/cls,bert/mean,400000,56.2364680316729,0.5557665918555175,
global_base_raw,0.684037619940804,0.6839747592151119,specter2/cls,mpnet/mean,400000,52.50774653668381,0.608654160033921,
global_base_raw,0.6048577209852104,0.6047792812004662,specter2/cls,minilm/mean,400000,55.37837117572102,0.5681544337887887,
global_base_raw,0.5330771815626406,0.5330357382681274,specter2/cls,pubmedbert/mean,400000,54.0849941923481,0.5865844871366627,
global_base_raw,0.5595894111621098,0.559555082701083,specter2/cls,biobert/mean,400000,55.193926755031725,0.5708006047513231,
