stage,field_id,period_start,n_before,n_after,model_a,model_b,cka_before,cka_after,delta_cka,delta_procrustes
raw,11,2000,2166,2166,specter,specter2,0.7106489702168494,0.7090936505679557,-0.0015553196488936605,-0.00011771473151511724
raw,11,2000,2166,2166,specter,scincl,0.8355608919338784,0.8343961716499191,-0.0011647202839593085,-0.00027895460207538747
raw,11,2000,2166,2166,specter,scibert,0.5436471494610364,0.5049344959173567,-0.0387126535436797,-0.0048062943570728045
raw,11,2000,2166,2166,specter,bert,0.5434142807232268,0.5308441038585323,-0.012570176864694527,-0.00474402886333547
raw,11,2000,2166,2166,specter,mpnet,0.7728974500185749,0.7689453463906244,-0.0039521036279505095,-0.001973678406220758
raw,11,2000,2166,2166,specter,minilm,0.7076537872306045,0.6976915145010333,-0.009962272729571175,-0.003703659473908716
raw,11,2000,2166,2166,specter,pubmedbert,0.4751538367312943,0.47226430150266996,-0.0028895352286243403,-0.0007108661530714766
raw,11,2000,2166,2166,specter,biobert,0.5114747170548818,0.5002568509510545,-0.011217866103827245,-0.0019089341593258036
raw,11,2000,2166,2166,specter,simcse,0.4999972500722478,0.4949177428352219,-0.0050795072370259375,-0.0007420497295967943
raw,11,2000,2166,2166,specter2,scincl,0.7788275334523628,0.7781893918428835,-0.0006381416094792813,-2.2348877358746577e-05
raw,11,2000,2166,2166,specter2,scibert,0.5262563656891183,0.49267682649480143,-0.03357953919431683,-0.005444419479073814
raw,11,2000,2166,2166,specter2,bert,0.4884523274431655,0.48096204812065085,-0.00749027932251467,-0.004304267990562383
raw,11,2000,2166,2166,specter2,mpnet,0.7318683314378559,0.7287736737785001,-0.003094657659355793,-0.0012718625014778162
raw,11,2000,2166,2166,specter2,minilm,0.6725803987710574,0.6644650006000683,-0.008115398170989052,-0.002960870901459245
raw,11,2000,2166,2166,specter2,pubmedbert,0.4450261624161957,0.44326678655208546,-0.0017593758641102353,-0.0006866240122250789
raw,11,2000,2166,2166,specter2,biobert,0.47543026233317587,0.4670458751908932,-0.008384387142282679,-0.0017232764365535669
raw,11,2000,2166,2166,specter2,simcse,0.4308238437136267,0.42958381078519126,-0.0012400329284354417,-5.298170618295295e-05
raw,11,2000,2166,2166,scincl,scibert,0.5183432552374787,0.4802425171946677,-0.038100738042811,-0.005770660530264093
raw,11,2000,2166,2166,scincl,bert,0.5227773652683412,0.5139940058759166,-0.008783359392424583,-0.00420981256782571
raw,11,2000,2166,2166,scincl,mpnet,0.7940017166719836,0.7889200079130606,-0.005081708758922998,-0.002075027076618219
raw,11,2000,2166,2166,scincl,minilm,0.7255175388997491,0.7142376398743785,-0.011279899025370632,-0.004361628297486764
raw,11,2000,2166,2166,scincl,pubmedbert,0.44106349525851263,0.43901836484294776,-0.0020451304155648664,-0.0006259913073461965
raw,11,2000,2166,2166,scincl,biobert,0.48122606152427577,0.47139243852173024,-0.009833623002545533,-0.0018450064853601233
raw,11,2000,2166,2166,scincl,simcse,0.4702611258989925,0.46936675400477806,-0.0008943718942144296,0.000416330634913753
raw,11,2000,2166,2166,scibert,bert,0.7239665635246065,0.6972692361076399,-0.02669732741696662,-0.0016907524178459976
raw,11,2000,2166,2166,scibert,mpnet,0.502867832032622,0.4663145003062404,-0.03655333172638159,-0.005340118648863301
raw,11,2000,2166,2166,scibert,minilm,0.49579278743190935,0.4574370974920325,-0.03835568993987687,-0.005797110586610477
raw,11,2000,2166,2166,scibert,pubmedbert,0.8205079917167187,0.7955442540334564,-0.02496373768326232,-0.0004258854690993852
raw,11,2000,2166,2166,scibert,biobert,0.8184691124237629,0.8024363603573865,-0.016032752066376332,-0.00039170956297485127
raw,11,2000,2166,2166,scibert,simcse,0.591203817252353,0.5687827978193293,-0.02242101943302377,-0.0011588083724382026
raw,11,2000,2166,2166,bert,mpnet,0.539853392553155,0.5283205250708309,-0.011532867482324072,-0.0034326816202673305
raw,11,2000,2166,2166,bert,minilm,0.5659396205988177,0.5499251062672019,-0.016014514331615826,-0.005820348918539553
raw,11,2000,2166,2166,bert,pubmedbert,0.7030853460528722,0.6970615754824987,-0.00602377057037351,-0.0012790119419643364
raw,11,2000,2166,2166,bert,biobert,0.7372238392612926,0.7289959919431669,-0.008227847318125758,-0.0012663836889638125
raw,11,2000,2166,2166,bert,simcse,0.7480478090065106,0.7379390006411812,-0.010108808365329347,-0.004944364056701289
raw,11,2000,2166,2166,mpnet,minilm,0.803761399764019,0.7893830855417725,-0.014378314222246447,-0.0043918273300594945
raw,11,2000,2166,2166,mpnet,pubmedbert,0.44414267603024354,0.4419141045582576,-0.002228571471985963,-0.0007688756647169503
raw,11,2000,2166,2166,mpnet,biobert,0.48565245671806584,0.47614266856913195,-0.009509788148933884,-0.0015284994685300646
raw,11,2000,2166,2166,mpnet,simcse,0.4880178303000401,0.48524965708445733,-0.0027681732155827588,5.3589405082932196e-05
raw,11,2000,2166,2166,minilm,pubmedbert,0.44145554770092593,0.4337346122455977,-0.007720935455328259,-0.003573425103154726
raw,11,2000,2166,2166,minilm,biobert,0.48002787417314,0.465105260776215,-0.014922613396925022,-0.004364300154783507
raw,11,2000,2166,2166,minilm,simcse,0.5241162610321374,0.5154061239653502,-0.008710137066787138,-0.0030902886021022535
raw,11,2000,2166,2166,pubmedbert,biobert,0.8463092346752873,0.8401074647535398,-0.00620176992174748,-0.00029394269250837546
raw,11,2000,2166,2166,pubmedbert,simcse,0.5626765579732765,0.5657021174560781,0.0030255594828015875,-0.00014839854322901136
raw,11,2000,2166,2166,biobert,simcse,0.5751424820869974,0.5692255607904296,-0.005916921296567734,-0.00112312089933575
raw,11,2005,2528,2528,specter,specter2,0.7220198601480174,0.7204218480205502,-0.001598012127467241,-0.000192665283143989
raw,11,2005,2528,2528,specter,scincl,0.8403648864323948,0.8391761698535704,-0.001188716578824467,-0.00024117587358651882
raw,11,2005,2528,2528,specter,scibert,0.5541469984865347,0.5119297628130647,-0.04221723567347002,-0.006699831634700892
raw,11,2005,2528,2528,specter,bert,0.5513586506558481,0.5299030372080774,-0.021455613447770694,-0.008968409952647471
raw,11,2005,2528,2528,specter,mpnet,0.7829466583206873,0.779497326918445,-0.0034493314022423505,-0.002040758914248153
raw,11,2005,2528,2528,specter,minilm,0.7208530953763549,0.7113763575284603,-0.0094767378478946,-0.0033805265430090214
raw,11,2005,2528,2528,specter,pubmedbert,0.49546556806439535,0.4924373052958089,-0.0030282627685864205,-0.0007826895249865018
raw,11,2005,2528,2528,specter,biobert,0.5231770197195781,0.5050722754976694,-0.018104744221908664,-0.003980126319199417
raw,11,2005,2528,2528,specter,simcse,0.5175160103047098,0.5122961847607246,-0.005219825543985257,-0.0011129226060621056
raw,11,2005,2528,2528,specter2,scincl,0.7850892174348391,0.7846377075346722,-0.00045150990016684656,7.630375191358674e-06
raw,11,2005,2528,2528,specter2,scibert,0.5410271347399392,0.5057094844449057,-0.03531765029503353,-0.006872865979950182
raw,11,2005,2528,2528,specter2,bert,0.503481733833495,0.4889670547174921,-0.01451467911600296,-0.007630030733629667
raw,11,2005,2528,2528,specter2,mpnet,0.7356762728036157,0.7322889531519234,-0.0033873196516922555,-0.0014300169990266731
raw,11,2005,2528,2528,specter2,minilm,0.6758877740984875,0.6693878252050948,-0.006499948893392782,-0.0027528869343314
raw,11,2005,2528,2528,specter2,pubmedbert,0.46524858378443656,0.4635601150876953,-0.0016884686967412743,-0.0006672956822443288
raw,11,2005,2528,2528,specter2,biobert,0.4902405344851569,0.47566181779844496,-0.014578716686711957,-0.0035085287919034425
raw,11,2005,2528,2528,specter2,simcse,0.44886744944327606,0.4474670817074475,-0.0014003677358285782,-9.543688528390604e-05
raw,11,2005,2528,2528,scincl,scibert,0.5332441956469502,0.49313929197748446,-0.040104903669465786,-0.007432219860962652
raw,11,2005,2528,2528,scincl,bert,0.5336625864527629,0.516632262228301,-0.017030324224461824,-0.00799069739492897
raw,11,2005,2528,2528,scincl,mpnet,0.7955283382749367,0.7910197100581858,-0.0045086282167509095,-0.002059092306470056
raw,11,2005,2528,2528,scincl,minilm,0.7307510823297025,0.7206604343788647,-0.010090647950837806,-0.004130035379031005
raw,11,2005,2528,2528,scincl,pubmedbert,0.46231974701637923,0.4604255475194285,-0.0018941994969507436,-0.0005307341360702988
raw,11,2005,2528,2528,scincl,biobert,0.4969626307271212,0.48083883751002515,-0.01612379321709606,-0.0036508311060174936
raw,11,2005,2528,2528,scincl,simcse,0.4886022097590893,0.48723558543782164,-0.001366624321267662,0.00014414154916819744
raw,11,2005,2528,2528,scibert,bert,0.7364210369957503,0.7117557561953978,-0.024665280800352574,-0.002306720224438008
raw,11,2005,2528,2528,scibert,mpnet,0.5274222941136707,0.49037427832374847,-0.03704801578992223,-0.005952382805321066
raw,11,2005,2528,2528,scibert,minilm,0.5176922386017774,0.47892985391083887,-0.03876238469093851,-0.006764182382721806
raw,11,2005,2528,2528,scibert,pubmedbert,0.8400367298651513,0.8187431927709979,-0.02129353709415338,0.00028454933266885973
raw,11,2005,2528,2528,scibert,biobert,0.8345837078974385,0.8188637874242519,-0.0157199204731866,0.0004969008554682741
raw,11,2005,2528,2528,scibert,simcse,0.6080340100732878,0.5812991614435562,-0.026734848629731633,-0.0024258122239601
raw,11,2005,2528,2528,bert,mpnet,0.5492505161402701,0.5305537755326418,-0.01869674060762827,-0.006280853281715126
raw,11,2005,2528,2528,bert,minilm,0.5772736945543868,0.5551073993017045,-0.022166295252682322,-0.008597372511397472
raw,11,2005,2528,2528,bert,pubmedbert,0.727293297958885,0.7182950171816819,-0.008998280777203105,-0.001479960575569761
raw,11,2005,2528,2528,bert,biobert,0.7571019292575718,0.7476218580274867,-0.009480071230085096,-0.0010638678668428714
raw,11,2005,2528,2528,bert,simcse,0.7605299747426542,0.7428157692491891,-0.01771420549346503,-0.007162941591210448
raw,11,2005,2528,2528,mpnet,minilm,0.8053302287789287,0.7933118470855139,-0.012018381693414737,-0.004076121238092867
raw,11,2005,2528,2528,mpnet,pubmedbert,0.4739839515733245,0.4733112365547769,-0.0006727150185475983,-0.00024958636516725363
raw,11,2005,2528,2528,mpnet,biobert,0.5089437407245175,0.49453394020106495,-0.014409800523452587,-0.002665500145272892
raw,11,2005,2528,2528,mpnet,simcse,0.5076504455626512,0.5051648394504061,-0.00248560611224502,0.0001720812170684649
raw,11,2005,2528,2528,minilm,pubmedbert,0.4686141715163326,0.462919529624789,-0.005694641891543617,-0.0030482065782528878
raw,11,2005,2528,2528,minilm,biobert,0.5005549518407473,0.4818212137456577,-0.018733738095089603,-0.005198823424835575
raw,11,2005,2528,2528,minilm,simcse,0.5379066610273757,0.5294623697689799,-0.008444291258395853,-0.0032765629182776035
raw,11,2005,2528,2528,pubmedbert,biobert,0.8534821427775036,0.8428775408830851,-0.010604601894418475,-0.0005496829415565507
raw,11,2005,2528,2528,pubmedbert,simcse,0.5980838925332268,0.5996148647690632,0.0015309722358364253,-0.0001591265999364433
raw,11,2005,2528,2528,biobert,simcse,0.6067217011258191,0.5933604979191197,-0.013361203206699424,-0.002467099300733855
raw,11,2010,3940,3940,specter,specter2,0.7262280749975156,0.7246970448757051,-0.0015310301218105504,-9.060432168384036e-05
raw,11,2010,3940,3940,specter,scincl,0.8385691635462741,0.8372870329347781,-0.0012821306114959574,-0.00017141705962409048
raw,11,2010,3940,3940,specter,scibert,0.544802787701417,0.5050447211917347,-0.03975806650968228,-0.007017132300171536
raw,11,2010,3940,3940,specter,bert,0.5220652665647194,0.47824402192406734,-0.04382124464065207,-0.013740095707986066
raw,11,2010,3940,3940,specter,mpnet,0.7825333238219584,0.7783879995269614,-0.004145324294997033,-0.002036051096700464
raw,11,2010,3940,3940,specter,minilm,0.7226528751466569,0.7112056523665902,-0.011447222780066713,-0.0032785338553679155
raw,11,2010,3940,3940,specter,pubmedbert,0.48228210832381496,0.4791472212536952,-0.003134887070119774,-0.0009340640803731093
raw,11,2010,3940,3940,specter,biobert,0.49798297503435607,0.4714901134167845,-0.026492861617571584,-0.006424157072328018
raw,11,2010,3940,3940,specter,simcse,0.5093265255844205,0.5046266529205217,-0.004699872663898819,-0.0009716467532115969
raw,11,2010,3940,3940,specter2,scincl,0.796814364365902,0.796537282411399,-0.0002770819545030445,7.145042960188253e-05
raw,11,2010,3940,3940,specter2,scibert,0.5218121834479746,0.48836887340642793,-0.033443310041546714,-0.007132643724790166
raw,11,2010,3940,3940,specter2,bert,0.47131574298388856,0.4367990110740243,-0.03451673190986426,-0.011558076516831939
raw,11,2010,3940,3940,specter2,mpnet,0.7450009449692908,0.7417373976089776,-0.0032635473603132015,-0.0014571700021961398
raw,11,2010,3940,3940,specter2,minilm,0.6877493229140598,0.6798375180254406,-0.0079118048886192,-0.002913990385584264
raw,11,2010,3940,3940,specter2,pubmedbert,0.4453998136979816,0.44369830388005055,-0.0017015098179310462,-0.0006926763202550479
raw,11,2010,3940,3940,specter2,biobert,0.45639211051501016,0.43401471837634,-0.022377392138670182,-0.005678196236922339
raw,11,2010,3940,3940,specter2,simcse,0.43704688036592526,0.4356152729381852,-0.001431607427740067,-4.3891413082253194e-05
raw,11,2010,3940,3940,scincl,scibert,0.5243001540527419,0.48635288776030516,-0.03794726629243672,-0.007636018474616368
raw,11,2010,3940,3940,scincl,bert,0.5068061805461854,0.46786674148055885,-0.03893943906562658,-0.01246959105279144
raw,11,2010,3940,3940,scincl,mpnet,0.7964932432289189,0.7920458332610144,-0.004447409967904492,-0.002002320681707137
raw,11,2010,3940,3940,scincl,minilm,0.7369960966951166,0.7267223693032006,-0.01027372739191601,-0.0032929571357424026
raw,11,2010,3940,3940,scincl,pubmedbert,0.4515187150666642,0.4494180626855852,-0.0021006523810789823,-0.0006685152242204007
raw,11,2010,3940,3940,scincl,biobert,0.47065209515144896,0.44654915301768267,-0.024102942133766292,-0.005907243598231915
raw,11,2010,3940,3940,scincl,simcse,0.48170031261980734,0.48009072501241473,-0.001609587607392604,4.0291687499971474e-05
raw,11,2010,3940,3940,scibert,bert,0.7169229513631462,0.6818354069426634,-0.035087544420482786,-0.0044839608012382515
raw,11,2010,3940,3940,scibert,mpnet,0.5187508451708541,0.4836449580508528,-0.035105887120001344,-0.006164833000874226
raw,11,2010,3940,3940,scibert,minilm,0.5100219012394241,0.4705860544312676,-0.03943584680815654,-0.007179841179557167
raw,11,2010,3940,3940,scibert,pubmedbert,0.8377575757493301,0.819180927698112,-0.01857664805121806,0.00015070922224935668
raw,11,2010,3940,3940,scibert,biobert,0.8193927180300503,0.7996434176833599,-0.019749300346690424,-0.0005861783350662453
raw,11,2010,3940,3940,scibert,simcse,0.5971974044097287,0.5739902795825352,-0.02320712482719345,-0.0018790116517125588
raw,11,2010,3940,3940,bert,mpnet,0.5275124971055009,0.4879940921671373,-0.03951840493836356,-0.010015031750352454
raw,11,2010,3940,3940,bert,minilm,0.5497102572715031,0.5062258977457909,-0.04348435952571228,-0.012231590728976616
raw,11,2010,3940,3940,bert,pubmedbert,0.706025848700568,0.6802177488432517,-0.025808099857316247,-0.003065346724497764
raw,11,2010,3940,3940,bert,biobert,0.7464050608337134,0.7279012000409799,-0.018503860792733473,-0.0024903804540817864
raw,11,2010,3940,3940,bert,simcse,0.7470562438315975,0.7093500138313502,-0.03770623000024731,-0.009300490098513636
raw,11,2010,3940,3940,mpnet,minilm,0.8096084844503053,0.7968956260095805,-0.012712858440724784,-0.0038810007961532778
raw,11,2010,3940,3940,mpnet,pubmedbert,0.46566042565447363,0.464760695840365,-0.0008997298141086296,-0.00036691699938973255
raw,11,2010,3940,3940,mpnet,biobert,0.48641578712024935,0.46401848355173275,-0.022397303568516602,-0.004472096637879064
raw,11,2010,3940,3940,mpnet,simcse,0.5004400328392272,0.49763240833722494,-0.0028076245020022816,6.350661628473642e-05
raw,11,2010,3940,3940,minilm,pubmedbert,0.4595415510666713,0.4514097847086414,-0.008131766358029924,-0.003648638275895344
raw,11,2010,3940,3940,minilm,biobert,0.4801131835652012,0.4501930340373847,-0.02992014952781652,-0.008097263267907051
raw,11,2010,3940,3940,minilm,simcse,0.5281727410056378,0.5215100925745655,-0.006662648431072338,-0.002273779403929921
raw,11,2010,3940,3940,pubmedbert,biobert,0.8354340081075421,0.8169792388921799,-0.018454769215362155,-0.0018684824859710458
raw,11,2010,3940,3940,pubmedbert,simcse,0.5799874484301748,0.5826216449162194,0.002634196486044571,0.0001711348002430002
raw,11,2010,3940,3940,biobert,simcse,0.5810881259730277,0.5600767643856699,-0.021011361587357835,-0.004058504515557004
raw,11,2015,4298,4298,specter,specter2,0.7442402278649481,0.7424475504328336,-0.0017926774321145311,-0.00013285208120339398
raw,11,2015,4298,4298,specter,scincl,0.8484801158503062,0.8471112205902095,-0.0013688952600967585,-0.00023084095527647897
raw,11,2015,4298,4298,specter,scibert,0.5988295925993717,0.5675628058237903,-0.03126678677558148,-0.005180801502462917
raw,11,2015,4298,4298,specter,bert,0.5800598851151441,0.5651182731410107,-0.01494161197413335,-0.00602414219227132
raw,11,2015,4298,4298,specter,mpnet,0.7957400047201388,0.7920581065042404,-0.0036818982158984825,-0.001905794983811493
raw,11,2015,4298,4298,specter,minilm,0.7386206130716861,0.7260532855128975,-0.012567327558788643,-0.003278835973997807
raw,11,2015,4298,4298,specter,pubmedbert,0.5357801607237977,0.5328825000798734,-0.0028976606439243824,-0.0007909955258740275
raw,11,2015,4298,4298,specter,biobert,0.5661733625822989,0.5495076414547235,-0.01666572112757536,-0.0036116054854620216
raw,11,2015,4298,4298,specter,simcse,0.5479471222172806,0.5432220908445025,-0.004725031372778132,-0.0010073420598910587
raw,11,2015,4298,4298,specter2,scincl,0.8100484701490825,0.8098445776367523,-0.0002038925123302171,9.132817431056761e-05
raw,11,2015,4298,4298,specter2,scibert,0.5529934702743614,0.5287041036179339,-0.024289366656427558,-0.005018220249726202
raw,11,2015,4298,4298,specter2,bert,0.5266671922207843,0.5189915252777976,-0.007675666942986714,-0.004608205962567058
raw,11,2015,4298,4298,specter2,mpnet,0.7626698061023182,0.7598505468691725,-0.0028192592331456323,-0.0011828052507170117
raw,11,2015,4298,4298,specter2,minilm,0.7097166100683989,0.7025324427510108,-0.007184167317388135,-0.002387131493772343
raw,11,2015,4298,4298,specter2,pubmedbert,0.4835068781522338,0.4821801470508823,-0.0013267311013515082,-0.0005230494210540781
raw,11,2015,4298,4298,specter2,biobert,0.510244671079671,0.49755104903658703,-0.01269362204308394,-0.003043925054986407
raw,11,2015,4298,4298,specter2,simcse,0.4726032300685293,0.4717546106977041,-0.0008486193708251988,-5.488693835153935e-05
raw,11,2015,4298,4298,scincl,scibert,0.577318403744847,0.5485381781072236,-0.02878022563762339,-0.005294786636778959
raw,11,2015,4298,4298,scincl,bert,0.5694660871201594,0.5587422600289579,-0.010723827091201565,-0.005105735580423598
raw,11,2015,4298,4298,scincl,mpnet,0.809170203121692,0.8053989530238909,-0.0037712500978011043,-0.0017876139109666012
raw,11,2015,4298,4298,scincl,minilm,0.7517154257541091,0.7432808140178289,-0.00843461173628024,-0.0026111230124433726
raw,11,2015,4298,4298,scincl,pubmedbert,0.5077044909714528,0.505866859733879,-0.0018376312375737447,-0.0005782455826507382
raw,11,2015,4298,4298,scincl,biobert,0.5399133381900364,0.5252712425506103,-0.01464209563942609,-0.0032333160823895257
raw,11,2015,4298,4298,scincl,simcse,0.5280543953365009,0.5268523400615251,-0.001202055274975744,-1.8322291293948467e-05
