field_id,model_a,model_b,native_cka_debiased,common_cka_debiased,delta_cka_debiased,native_procrustes_similarity,common_procrustes_similarity,delta_procrustes_similarity,native_rsa_spearman,common_rsa_spearman,delta_rsa_spearman
11,specter,specter2,0.7278441435935866,0.7237829595873603,-0.004061184006226348,0.712598828931499,0.7103940825036961,-0.002204746427802884,0.598326096981314,0.5945171747292928,-0.0038089222520212296
11,specter,scincl,0.8417103627905668,0.8383106008898098,-0.00339976190075697,0.7971859512750513,0.7950385098029895,-0.0021474414720618062,0.7876324049560812,0.7859933736809847,-0.0016390312750965697
11,specter,scibert,0.5556448876154237,0.6073881858585631,0.05174329824313939,0.6738945697440559,0.6792382843804196,0.005343714636363628,0.4515131563087824,0.4716712720081766,0.020158115699394186
11,specter,bert,0.53135218770591,0.5421488794509659,0.01079669174505593,0.6378710032616547,0.639096329279558,0.001225326017903261,0.41410063373875217,0.4221907754769755,0.008090141738223311
11,specter,mpnet,0.7838311708613411,0.7762853969549643,-0.007545773906376785,0.7256616341129659,0.7201900399297699,-0.0054715941831959825,0.7325660868734137,0.7256137361855283,-0.006952350687885467
11,specter,minilm,0.7192803788703044,0.7205127089038169,0.0012323300335125298,0.6667422924967836,0.667907468596794,0.0011651761000103233,0.6925157732102919,0.6902754845706915,-0.002240288639600352
11,specter,pubmedbert,0.49306563412734306,0.5249080981415642,0.031842464014221195,0.6559970714260448,0.6563683348017507,0.0003712633757059214,0.4143029795257563,0.42708300875220667,0.012780029226450385
11,specter,biobert,0.5249817646052648,0.5462695030365327,0.021287738431267855,0.6462162903105005,0.6464981305029621,0.0002818401924615799,0.4153490789058743,0.4268578992726493,0.011508820366774974
11,specter,simcse,0.5050052136035247,0.5008219168719715,-0.004183296731553154,0.6128892382569531,0.6084416548172259,-0.004447583439727176,0.3493443275643614,0.3511226697708069,0.0017783422064455157
11,specter2,scincl,0.795132410108232,0.7914633546884611,-0.003669055419770917,0.7971283943177229,0.795886394692217,-0.001241999625505863,0.6357930562644823,0.6300312724860792,-0.0057617837784031956
11,specter2,scibert,0.5342859332818808,0.5869113205111555,0.05262538722927468,0.688243444368692,0.6985051046661833,0.010261660297491315,0.3259153104707911,0.3519105853972768,0.025995274926485734
11,specter2,bert,0.48720153306269226,0.49896592217024666,0.011764389107554396,0.5891737053674325,0.5916035877794265,0.0024298824119939333,0.23465732316164142,0.23432662797231674,-0.0003306951893246868
11,specter2,mpnet,0.7467724950565306,0.7416166753993106,-0.005155819657220007,0.6886328364149633,0.6851053270139096,-0.00352750940105373,0.6294901148012267,0.6256496599076249,-0.0038404548936018523
11,specter2,minilm,0.6890137734400966,0.6897025424853074,0.0006887690452107575,0.6375267921614406,0.6386597830346467,0.0011329908732060634,0.5667270248678143,0.5647540649988819,-0.0019729598689324224
11,specter2,pubmedbert,0.45800999502039114,0.4907387552964226,0.03272876027603144,0.6164394272172176,0.6199063339464972,0.0034669067292796285,0.2680939243362361,0.2826620281936556,0.014568103857419523
11,specter2,biobert,0.4861687096245535,0.5078024649652847,0.021633755340731198,0.6078456768900207,0.6102192634078272,0.002373586517806503,0.2624829189982079,0.27156192822840514,0.009079009230197221
11,specter2,simcse,0.4383664197994786,0.43700418412656383,-0.0013622356729147689,0.5686307904273674,0.5665617253577725,-0.002069065069594922,0.1963043600342614,0.18510604808776493,-0.011198311946496481
11,scincl,scibert,0.5383012480944528,0.5948717435487958,0.056570495454343006,0.6932229204269643,0.7014035876842921,0.0081806672573278,0.3958903571967265,0.43154419685285916,0.03565383965613267
11,scincl,bert,0.520393165768906,0.5335793309968966,0.013186165227990543,0.6277180030692934,0.6294019302705459,0.0016839272012525441,0.37714237546285534,0.3977640892874126,0.020621713824557242
11,scincl,mpnet,0.7982826811881626,0.7916559074384878,-0.006626773749674797,0.7265574701579415,0.721090196233982,-0.005467273923959515,0.7687831113859545,0.7668514388971338,-0.001931672488820646
11,scincl,minilm,0.7348498036355954,0.7367985611912514,0.0019487575556560444,0.6685216591052245,0.6699035845657769,0.00138192546055238,0.7196734364421881,0.7213840466494617,0.0017106102072735885
11,scincl,pubmedbert,0.4659146804138364,0.500114842867438,0.034200162453601635,0.6395763190302359,0.6406376387623164,0.0010613197320804568,0.3466758595721904,0.37143263773508023,0.024756778162889848
11,scincl,biobert,0.5020154480436644,0.52465574347802,0.02264029543435564,0.6311595691563917,0.6317587632927336,0.0005991941363419073,0.3441553039118904,0.36515534925538673,0.02100004534349631
11,scincl,simcse,0.48271228462374777,0.480012454500869,-0.002699830122878777,0.6014063216797505,0.5972250105996644,-0.004181311080086125,0.34082990057707524,0.35122088044555066,0.010390979868475425
11,scibert,bert,0.7247869263831169,0.7324401853326523,0.007653258949535391,0.7662350336379988,0.760378928843287,-0.0058561047947118805,0.7350202990980497,0.7275574094378954,-0.007462889660154293
11,scibert,mpnet,0.5252701028344762,0.5758153518646839,0.05054524903020774,0.624694234417459,0.6302852031189983,0.005590968701539301,0.42457946753794895,0.4588280218675698,0.03424855432962087
11,scibert,minilm,0.5158991560961145,0.5702019257319862,0.05430276963587177,0.5893803540905662,0.6014322181728381,0.01205186408227188,0.4409908062479786,0.469101299507756,0.02811049325977738
11,scibert,pubmedbert,0.8330078220437755,0.8306974681746806,-0.00231035386909495,0.8373846288509005,0.8277303430503987,-0.00965428580050176,0.8565134435182771,0.8446476155411198,-0.011865827977157295
11,scibert,biobert,0.8307739953143632,0.8257023823136208,-0.0050716130007424365,0.8171676698228361,0.807703243868453,-0.009464425954383016,0.8426240457815595,0.8246533971321425,-0.017970648649416998
11,scibert,simcse,0.603425654809539,0.6167449729859779,0.013319318176438832,0.6732188443068182,0.6715501087020397,-0.0016687356047785373,0.550367165920917,0.5522916849322312,0.0019245190113142963
11,bert,mpnet,0.5374451304208662,0.5466958100265565,0.00925067960569037,0.6273046885431214,0.6281117810888712,0.0008070925457498435,0.46396555590041244,0.47508572232871743,0.01112016642830499
11,bert,minilm,0.5620975561620738,0.5812819382259184,0.01918438206384465,0.604890914128207,0.6137825214184146,0.00889160729020766,0.5264779614111966,0.5442597758071509,0.017781814395954276
11,bert,pubmedbert,0.7126843862312087,0.7198430227436471,0.007158636512438421,0.7690217123315716,0.7629384256968575,-0.006083286634714025,0.7884349677000863,0.7585500538353731,-0.029884913864713147
11,bert,biobert,0.7490327807444405,0.7452794330878008,-0.003753347656639705,0.7738374825533951,0.7657388304497806,-0.00809865210361449,0.7991320225393249,0.7732358187280902,-0.025896203811234697
11,bert,simcse,0.7550301839292377,0.7477807009748862,-0.0072494829543514605,0.796235575564495,0.7936957965180503,-0.0025397790464446457,0.8151703067004216,0.8017751127364309,-0.013395193963990693
11,mpnet,minilm,0.8098448151079545,0.8120619112233319,0.0022170961153774593,0.7366465702374683,0.7382111414515297,0.0015645712140613943,0.8246700561441777,0.8245930605634831,-7.699558069451662e-05
11,mpnet,pubmedbert,0.4744795279095501,0.5055537844923753,0.0310742565828252,0.6152623064079342,0.6167488517278841,0.0014865453199498502,0.3997904205694748,0.4170793972981985,0.017288976728723704
11,mpnet,biobert,0.5141115070500497,0.5340284550442531,0.019916947994203404,0.6180762093582018,0.6185488513502432,0.00047264199204133384,0.40211293522378677,0.4182556202401398,0.01614268501635302
11,mpnet,simcse,0.49917398627598486,0.49309419444013797,-0.006079791835846893,0.6094637032732959,0.6053774219303472,-0.00408628134294875,0.43544862582712157,0.43327150036367973,-0.0021771254634418424
11,minilm,pubmedbert,0.46488437429031726,0.4982746499581347,0.03339027566781744,0.577543564749959,0.5858583063484848,0.008314741598525743,0.43485573106163733,0.45022328574805626,0.015367554686418927
11,minilm,biobert,0.5022680112630273,0.5277444089718133,0.02547639770878596,0.5825981258799199,0.5898802446430714,0.007282118763151546,0.4378461706826168,0.45524363819811065,0.01739746751549387
11,minilm,simcse,0.5265538762545083,0.5282153582500557,0.001661481995547387,0.5924577182293238,0.5951557058828633,0.0026979876535394576,0.49970649569676673,0.5066745483141886,0.006968052617421838
11,pubmedbert,biobert,0.8479913894718378,0.8474785009038278,-0.000512888568010017,0.8338487154249384,0.8237202811859503,-0.010128434238988127,0.8747315001973262,0.8518221464395594,-0.022909353757766704
11,pubmedbert,simcse,0.5828350881714618,0.5829620219177545,0.00012693374629269005,0.668646599066691,0.6636218179980287,-0.005024781068662332,0.6145992804395,0.5867727223499276,-0.02782655808957235
11,biobert,simcse,0.5968923688635889,0.5910943967812552,-0.00579797208233368,0.6696185459543698,0.6640622322374441,-0.005556313716925665,0.6096275341800662,0.592291586778232,-0.017335947401834195
12,specter,specter2,0.6869617122192317,0.6873047427186424,0.0003430304994106459,0.6838224292304481,0.6841613808098945,0.0003389515794464115,0.7252642693976601,0.7256477443536189,0.0003834749559588069
12,specter,scincl,0.7621727893831972,0.7597290738148349,-0.0024437155683623146,0.7508448757631794,0.7488541982811611,-0.0019906774820183104,0.8208505921096235,0.8183638187579068,-0.0024867733517167645
12,specter,scibert,0.4629835417271606,0.4889712269161823,0.02598768518902167,0.6044472511470057,0.6076953683659918,0.003248117218986102,0.41410144631875284,0.43839254555198154,0.024291099233228697
12,specter,bert,0.47165069119129155,0.4813654230352429,0.00971473184395133,0.5939276333705591,0.5950416565308455,0.0011140231602864148,0.3465472223648674,0.3538024998955055,0.0072552775306380934
12,specter,mpnet,0.6177860205129855,0.6123605373530308,-0.005425483159954725,0.6461401812732581,0.6423856054904996,-0.003754575782758507,0.6560053510625121,0.6409752704989378,-0.015030080563574355
12,specter,minilm,0.6053633218644052,0.6074183621877012,0.0020550403232959535,0.6151274053649097,0.615948577138305,0.0008211717733952462,0.6547282424238209,0.6525427753358549,-0.0021854670879659643
12,specter,pubmedbert,0.4253764353818234,0.4334025763660048,0.008026140984181418,0.588481396444752,0.5886207229023468,0.00013932645759484608,0.4210583823776452,0.43248919178822215,0.011430809410576948
12,specter,biobert,0.4013307386356833,0.4291635044464563,0.027832765810772986,0.5728592817448319,0.5770169410347735,0.0041576592899416065,0.33387073225267483,0.3531045895372608,0.019233857284585987
12,specter,simcse,0.474735423672917,0.47223054717079493,-0.0025048765021220554,0.5867166069209937,0.5837546654752437,-0.002961941445750016,0.33896430227540975,0.32342330676005915,-0.015540995515350597
12,specter2,scincl,0.7533445515920703,0.7569969941517944,0.0036524425597241894,0.7675227388827411,0.7707603659270963,0.0032376270443551514,0.7602043533405082,0.760176125645943,-2.8227694565230443e-05
12,specter2,scibert,0.5037078564651055,0.53354224188266,0.029834385417554454,0.6482000601577779,0.6568773092822329,0.008677249124455,0.35090003148724996,0.3775067543132648,0.02660672282601484
12,specter2,bert,0.4968134888416615,0.5064717095173047,0.009658220675643203,0.5895966537737773,0.5926741784702614,0.0030775246964840353,0.28111904729479714,0.2852677906671684,0.004148743372371255
12,specter2,mpnet,0.6451276311371393,0.6417573869619512,-0.003370244175188164,0.6492413578355078,0.6475711215425495,-0.0016702362929583714,0.6505466965413633,0.6409428484533565,-0.00960384808800685
12,specter2,minilm,0.6158590485597095,0.6195432672150731,0.0036842186553636136,0.6132009380390095,0.6151591699400698,0.001958231901060259,0.6198376448835918,0.619533559776833,-0.0003040851067588335
12,specter2,pubmedbert,0.4249630650319722,0.43290863727292433,0.007945572240952159,0.578347696608962,0.581278467832538,0.0029307712235759897,0.3376656757601632,0.34680347442901055,0.009137798668847341
12,specter2,biobert,0.40879710418969106,0.4358326116588448,0.02703550746915373,0.5663636676241369,0.5727412355060111,0.006377567881874158,0.25821872362254644,0.2729198746528001,0.014701151030253656
12,specter2,simcse,0.4837826685405608,0.48213750065857097,-0.0016451678819898174,0.5811512433497581,0.5800976214594311,-0.0010536218903269834,0.3234171374505465,0.30439781315599346,-0.019019324294553053
12,scincl,scibert,0.5003228942566967,0.5257754745578649,0.02545258030116815,0.6383268501794518,0.6419184728397016,0.003591622660249816,0.41291006300427735,0.442869468366174,0.029959405361896674
