field_id,period_start,model_a,model_b,k,queries,mean_overlap
11,2000,minilm,biobert,25,100,0.1184
11,2000,minilm,biobert,50,100,0.1366
11,2000,minilm,simcse,10,100,0.086
11,2000,minilm,simcse,25,100,0.1
11,2000,minilm,simcse,50,100,0.11599999999999999
11,2000,pubmedbert,biobert,10,100,0.355
11,2000,pubmedbert,biobert,25,100,0.38280000000000003
11,2000,pubmedbert,biobert,50,100,0.4078
11,2000,pubmedbert,simcse,10,100,0.10900000000000001
11,2000,pubmedbert,simcse,25,100,0.12480000000000001
11,2000,pubmedbert,simcse,50,100,0.14
11,2000,biobert,simcse,10,100,0.10500000000000001
11,2000,biobert,simcse,25,100,0.1184
11,2000,biobert,simcse,50,100,0.135
11,2005,specter,specter2,10,100,0.215
11,2005,specter,specter2,25,100,0.24
11,2005,specter,specter2,50,100,0.2444
11,2005,specter,scincl,10,100,0.322
11,2005,specter,scincl,25,100,0.35479999999999995
11,2005,specter,scincl,50,100,0.3642
11,2005,specter,scibert,10,100,0.10700000000000001
11,2005,specter,scibert,25,100,0.1308
11,2005,specter,scibert,50,100,0.1578
11,2005,specter,bert,10,100,0.08199999999999999
11,2005,specter,bert,25,100,0.10800000000000001
11,2005,specter,bert,50,100,0.1222
11,2005,specter,mpnet,10,100,0.269
11,2005,specter,mpnet,25,100,0.29760000000000003
11,2005,specter,mpnet,50,100,0.2984
11,2005,specter,minilm,10,100,0.23900000000000002
11,2005,specter,minilm,25,100,0.2548
11,2005,specter,minilm,50,100,0.2658
11,2005,specter,pubmedbert,10,100,0.096
11,2005,specter,pubmedbert,25,100,0.124
11,2005,specter,pubmedbert,50,100,0.1364
11,2005,specter,biobert,10,100,0.10700000000000001
11,2005,specter,biobert,25,100,0.1304
11,2005,specter,biobert,50,100,0.1474
11,2005,specter,simcse,10,100,0.067
11,2005,specter,simcse,25,100,0.09480000000000001
11,2005,specter,simcse,50,100,0.102
11,2005,specter2,scincl,10,100,0.254
11,2005,specter2,scincl,25,100,0.2836
11,2005,specter2,scincl,50,100,0.31079999999999997
11,2005,specter2,scibert,10,100,0.10600000000000001
11,2005,specter2,scibert,25,100,0.1124
11,2005,specter2,scibert,50,100,0.13119999999999998
11,2005,specter2,bert,10,100,0.078
11,2005,specter2,bert,25,100,0.0848
11,2005,specter2,bert,50,100,0.0984
11,2005,specter2,mpnet,10,100,0.28900000000000003
11,2005,specter2,mpnet,25,100,0.2916
11,2005,specter2,mpnet,50,100,0.2986
11,2005,specter2,minilm,10,100,0.258
11,2005,specter2,minilm,25,100,0.254
11,2005,specter2,minilm,50,100,0.2562
11,2005,specter2,pubmedbert,10,100,0.093
11,2005,specter2,pubmedbert,25,100,0.1
11,2005,specter2,pubmedbert,50,100,0.1106
11,2005,specter2,biobert,10,100,0.094
11,2005,specter2,biobert,25,100,0.1056
11,2005,specter2,biobert,50,100,0.11720000000000001
11,2005,specter2,simcse,10,100,0.057999999999999996
11,2005,specter2,simcse,25,100,0.0708
11,2005,specter2,simcse,50,100,0.08800000000000001
11,2005,scincl,scibert,10,100,0.095
11,2005,scincl,scibert,25,100,0.132
11,2005,scincl,scibert,50,100,0.1516
11,2005,scincl,bert,10,100,0.08499999999999999
11,2005,scincl,bert,25,100,0.1016
11,2005,scincl,bert,50,100,0.12560000000000002
11,2005,scincl,mpnet,10,100,0.34199999999999997
11,2005,scincl,mpnet,25,100,0.358
11,2005,scincl,mpnet,50,100,0.3778
11,2005,scincl,minilm,10,100,0.292
11,2005,scincl,minilm,25,100,0.2992
11,2005,scincl,minilm,50,100,0.31980000000000003
11,2005,scincl,pubmedbert,10,100,0.092
11,2005,scincl,pubmedbert,25,100,0.1144
11,2005,scincl,pubmedbert,50,100,0.1276
11,2005,scincl,biobert,10,100,0.092
11,2005,scincl,biobert,25,100,0.124
11,2005,scincl,biobert,50,100,0.1388
11,2005,scincl,simcse,10,100,0.073
11,2005,scincl,simcse,25,100,0.09759999999999999
11,2005,scincl,simcse,50,100,0.10640000000000001
11,2005,scibert,bert,10,100,0.23700000000000002
11,2005,scibert,bert,25,100,0.2636
11,2005,scibert,bert,50,100,0.2792
11,2005,scibert,mpnet,10,100,0.101
11,2005,scibert,mpnet,25,100,0.12359999999999999
11,2005,scibert,mpnet,50,100,0.1362
11,2005,scibert,minilm,10,100,0.091
11,2005,scibert,minilm,25,100,0.11359999999999999
11,2005,scibert,minilm,50,100,0.1264
11,2005,scibert,pubmedbert,10,100,0.392
11,2005,scibert,pubmedbert,25,100,0.41359999999999997
11,2005,scibert,pubmedbert,50,100,0.4304
11,2005,scibert,biobert,10,100,0.377
11,2005,scibert,biobert,25,100,0.40159999999999996
11,2005,scibert,biobert,50,100,0.42479999999999996
11,2005,scibert,simcse,10,100,0.11399999999999999
11,2005,scibert,simcse,25,100,0.13
11,2005,scibert,simcse,50,100,0.155
11,2005,bert,mpnet,10,100,0.099
11,2005,bert,mpnet,25,100,0.1112
11,2005,bert,mpnet,50,100,0.13
11,2005,bert,minilm,10,100,0.098
11,2005,bert,minilm,25,100,0.106
11,2005,bert,minilm,50,100,0.122
11,2005,bert,pubmedbert,10,100,0.217
11,2005,bert,pubmedbert,25,100,0.24600000000000002
11,2005,bert,pubmedbert,50,100,0.2636
11,2005,bert,biobert,10,100,0.23500000000000001
11,2005,bert,biobert,25,100,0.276
11,2005,bert,biobert,50,100,0.2916
11,2005,bert,simcse,10,100,0.16399999999999998
