excluded_family,count,mean,median,min,max,q05,q95
none,5850,0.30285281102053363,0.2577839335180056,0.0873571292231342,0.6202770083102493,0.15445743269292553,0.5374484469651212
citation_document,2730,0.3166426477294076,0.26517082179132034,0.10171101355220463,0.6202770083102493,0.16845952894042382,0.5615918744228994
word_BERT,1950,0.3608221154034507,0.39517873729012665,0.0873571292231342,0.6202770083102493,0.1633874797726384,0.5527924590169141
general_sentence,2730,0.31199075174228,0.2666112650046168,0.09373544569574348,0.6065927977839336,0.14980146090735047,0.5443250230840259
