field_id,period_start,comparison,spearman_across_45_pairs
11,2000,procrustes_similarity,0.8525691699604742
11,2000,rsa_spearman,0.9150197628458496
11,2005,procrustes_similarity,0.8516469038208166
11,2005,rsa_spearman,0.9131752305665348
11,2010,procrustes_similarity,0.8432147562582345
11,2010,rsa_spearman,0.917786561264822
11,2015,procrustes_similarity,0.8550724637681159
11,2015,rsa_spearman,0.9064558629776021
11,2020,procrustes_similarity,0.8584980237154148
11,2020,rsa_spearman,0.9191040843214756
12,2000,procrustes_similarity,0.9603425559947298
12,2000,rsa_spearman,0.852437417654809
12,2005,procrustes_similarity,0.9523056653491436
12,2005,rsa_spearman,0.8544137022397892
12,2010,procrustes_similarity,0.9495388669301712
12,2010,rsa_spearman,0.8501976284584979
12,2015,procrustes_similarity,0.935177865612648
12,2015,rsa_spearman,0.8573122529644268
12,2020,procrustes_similarity,0.9251646903820816
12,2020,rsa_spearman,0.8412384716732542
13,2000,procrustes_similarity,0.8699604743083003
13,2000,rsa_spearman,0.9003952569169958
13,2005,procrustes_similarity,0.880368906455863
13,2005,rsa_spearman,0.8841897233201581
13,2010,procrustes_similarity,0.8828722002635047
13,2010,rsa_spearman,0.8968379446640315
13,2015,procrustes_similarity,0.876284584980237
13,2015,rsa_spearman,0.915151515151515
13,2020,procrustes_similarity,0.8760210803689065
13,2020,rsa_spearman,0.915151515151515
14,2000,procrustes_similarity,0.9529644268774704
14,2000,rsa_spearman,0.8911725955204215
14,2005,procrustes_similarity,0.9548089591567852
14,2005,rsa_spearman,0.8823451910408432
14,2010,procrustes_similarity,0.9440052700922265
14,2010,rsa_spearman,0.884584980237154
14,2015,procrustes_similarity,0.9330698287220026
14,2015,rsa_spearman,0.923056653491436
14,2020,procrustes_similarity,0.9277997364953887
14,2020,rsa_spearman,0.9627140974967061
15,2000,procrustes_similarity,0.8731225296442687
15,2000,rsa_spearman,0.8934123847167326
15,2005,procrustes_similarity,0.8693017127799736
15,2005,rsa_spearman,0.9014492753623187
15,2010,procrustes_similarity,0.8752305665349142
15,2010,rsa_spearman,0.9118577075098815
15,2015,procrustes_similarity,0.8794466403162055
15,2015,rsa_spearman,0.8898550724637679
15,2020,procrustes_similarity,0.8957839262187088
15,2020,rsa_spearman,0.8687747035573122
16,2000,procrustes_similarity,0.8642951251646903
16,2000,rsa_spearman,0.833596837944664
16,2005,procrustes_similarity,0.8744400527009222
16,2005,rsa_spearman,0.863768115942029
16,2010,procrustes_similarity,0.8862977602108036
16,2010,rsa_spearman,0.8691699604743083
16,2015,procrustes_similarity,0.9220026350461132
16,2015,rsa_spearman,0.8247694334650856
16,2020,procrustes_similarity,0.9328063241106718
16,2020,rsa_spearman,0.7768115942028985
17,2000,procrustes_similarity,0.9104084321475626
17,2000,rsa_spearman,0.8380764163372857
17,2005,procrustes_similarity,0.8716732542819499
17,2005,rsa_spearman,0.826482213438735
17,2010,procrustes_similarity,0.870223978919631
17,2010,rsa_spearman,0.8156785243741765
17,2015,procrustes_similarity,0.8870882740447957
17,2015,rsa_spearman,0.8366271409749669
17,2020,procrustes_similarity,0.8007905138339919
17,2020,rsa_spearman,0.9005270092226613
