field_id,period_start,cka_biased,cka_debiased,model_a,model_b,n,procrustes_angle_degrees,procrustes_similarity
11,2000,0.01933249619555275,-0.0006778989694749218,specter/cls,specter2/cls,2166,77.51160988671202,0.21624178190495688
11,2000,0.013499491956123032,-0.0004439245130849416,specter/cls,scincl/cls,2166,78.81554167752583,0.19396825661310077
11,2000,0.01632969222144173,0.00031688192288011817,specter/cls,scibert/mean,2166,77.58797461299356,0.21494030895021846
11,2000,0.014861077271548473,0.0009805620779068929,specter/cls,bert/mean,2166,78.19010014772016,0.20466518240750492
11,2000,0.02053459489344568,0.0014648988014119787,specter/cls,mpnet/mean,2166,76.94590132698809,0.22587095411479893
11,2000,0.02037792693007868,-0.0008112872655684151,specter/cls,minilm/mean,2166,77.67151215092868,0.21351615359032583
11,2000,0.013723662189897961,-0.00045552928947169784,specter/cls,pubmedbert/mean,2166,78.08654255498452,0.20643400869191778
11,2000,0.016414911003956777,7.364376014998927e-05,specter/cls,biobert/mean,2166,77.72216904016958,0.2126523291844409
11,2000,0.015289598949715235,-0.0011904000342549035,specter/cls,simcse/cls,2166,77.97559997612686,0.2083282266269288
11,2000,0.02062913973390234,-3.005009503343531e-05,specter2/cls,scincl/cls,2166,77.58013360771321,0.21507395969474297
11,2000,0.02434159907345804,0.0005384803827817334,specter2/cls,scibert/mean,2166,76.21801781833324,0.2382280529455298
11,2000,0.02030875613493124,-0.0003939459426370506,specter2/cls,bert/mean,2166,77.02915192895992,0.22445526854237718
11,2000,0.02712223981353403,-0.0012801213624522249,specter2/cls,mpnet/mean,2166,75.74473236626561,0.24624240070616188
11,2000,0.031222444766238696,-0.00017860959844548746,specter2/cls,minilm/mean,2166,76.24765522822864,0.23772564331796514
11,2000,0.02128010991060557,0.00029385349603641117,specter2/cls,pubmedbert/mean,2166,76.76340369636814,0.22897267363907217
11,2000,0.02475106340336833,0.000544252725055571,specter2/cls,biobert/mean,2166,76.42367510062022,0.2347404705349035
11,2000,0.024980028942865183,0.0006261424405106048,specter2/cls,simcse/cls,2166,76.51935782667722,0.2331168277651857
11,2000,0.01599889169544593,-0.0006398583658189152,scincl/cls,scibert/mean,2166,77.79433026761309,0.21142151609699825
11,2000,0.012911939204485677,-0.0015176372940319705,scincl/cls,bert/mean,2166,78.59106120655103,0.19781027142869007
11,2000,0.02056771140536478,0.0008064461029782418,scincl/cls,mpnet/mean,2166,77.23302085701474,0.22098646017106136
11,2000,0.021807265321257673,-8.14927673818077e-05,scincl/cls,minilm/mean,2166,77.69107373997106,0.21318260018621923
11,2000,0.015076791027691517,0.0003000084161320077,scincl/cls,pubmedbert/mean,2166,78.1725465210556,0.20496505618088826
11,2000,0.01870298342104798,0.0018859891963773506,scincl/cls,biobert/mean,2166,77.7642455422909,0.21193469505088644
11,2000,0.016733438502132093,-0.00026258847321604574,scincl/cls,simcse/cls,2166,78.00097674974063,0.20789501581736022
11,2000,0.01665580212665917,8.562803180476283e-05,scibert/mean,bert/mean,2166,77.0880866103405,0.2234527912068744
11,2000,0.022257551577723866,-0.0005473643668825926,scibert/mean,mpnet/mean,2166,75.88737791565109,0.24382866570068862
11,2000,0.025042119500507377,-0.00019455666978870483,scibert/mean,minilm/mean,2166,76.49974534853615,0.23344968555802093
11,2000,0.017028693905826522,0.0001322671917421058,scibert/mean,pubmedbert/mean,2166,76.88589699003938,0.22689103886822073
11,2000,0.019474839725888867,8.384371299626227e-05,scibert/mean,biobert/mean,2166,76.5266590356362,0.23299290659836433
11,2000,0.019476611573824076,-0.0001224781619401469,scibert/mean,simcse/cls,2166,76.65331792255381,0.2308425640237728
11,2000,0.019191344290097168,-0.0006214840856646421,bert/mean,mpnet/mean,2166,76.64868073209463,0.23092131156560075
11,2000,0.022013901458291907,9.969644265098152e-05,bert/mean,minilm/mean,2166,77.09410836402843,0.22335034800933778
11,2000,0.015339809578749145,0.0006261732084839454,bert/mean,pubmedbert/mean,2166,77.50626793396543,0.21633280968222052
11,2000,0.016967239299404194,0.00010579150059593044,bert/mean,biobert/mean,2166,77.18472035725368,0.22180854264072067
11,2000,0.017222117253877324,0.00022415751681617807,bert/mean,simcse/cls,2166,77.33710922860871,0.21921432580667494
11,2000,0.029089018858561178,-0.0009731045628904307,mpnet/mean,minilm/mean,2166,75.92543301482226,0.24318447145860908
