period_start,count,mean,median,min,max,q05,q95
2000,45,0.8401950217219475,0.847429080803314,0.62001013755615,0.9843462150210619,0.6798648558893958,0.959911278905144
2005,45,0.844864248024439,0.8433380525405065,0.6310453917815881,0.9837746665967525,0.6982463426144407,0.9642875570237535
2010,45,0.8402541225090644,0.8446506912764582,0.6219866114344643,0.985781902714418,0.6807633230209917,0.9622027161659066
2015,45,0.8402663419541402,0.84185552234632,0.6343893870274239,0.986562144967053,0.7013579431248144,0.9590541310541311
2020,45,0.8465402462921209,0.8519196686067853,0.6541764983482775,0.9887099085872093,0.7086822225717931,0.9578257389054936
