field_id,period_start,other_model,native_cka,extended_cka,delta_cka
11,2000,specter,0.7076537872306045,0.7091561519073445,0.0015023646767400312
11,2000,specter2,0.6725803987710574,0.6693195940136584,-0.003260804757398983
11,2000,scincl,0.7255175388997491,0.7225214641046825,-0.0029960747950665834
11,2000,scibert,0.49579278743190935,0.5432305882945806,0.04743780086267124
11,2000,bert,0.5659396205988177,0.5959538703118785,0.03001424971306077
11,2000,mpnet,0.803761399764019,0.798327513246805,-0.005433886517213993
11,2000,pubmedbert,0.44145554770092593,0.4743391608028555,0.032883613101929554
11,2000,biobert,0.48002787417314,0.5133298746776854,0.033302000504545404
11,2000,simcse,0.5241162610321374,0.5443643632044528,0.02024810217231543
11,2005,specter,0.7208530953763549,0.7251500848185345,0.0042969894421795995
11,2005,specter2,0.6758877740984875,0.6737789039539367,-0.002108870144550856
11,2005,scincl,0.7307510823297025,0.7303854056631895,-0.0003656766665129929
11,2005,scibert,0.5176922386017774,0.5628776785737619,0.04518543997198454
11,2005,bert,0.5772736945543868,0.609849592143181,0.0325758975887942
11,2005,mpnet,0.8053302287789287,0.8031076682356945,-0.00222256054323422
11,2005,pubmedbert,0.4686141715163326,0.5028953816033154,0.03428121008698276
11,2005,biobert,0.5005549518407473,0.5352110263852956,0.03465607454454833
11,2005,simcse,0.5379066610273757,0.5613460766142426,0.023439415586866907
11,2010,specter,0.7226528751466569,0.7249676300433333,0.0023147548966764298
11,2010,specter2,0.6877493229140598,0.682921338563404,-0.00482798435065579
11,2010,scincl,0.7369960966951166,0.7337071205177209,-0.0032889761773956527
11,2010,scibert,0.5100219012394241,0.5569165118246577,0.04689461058523359
11,2010,bert,0.5497102572715031,0.5890284918253733,0.03931823455387018
11,2010,mpnet,0.8096084844503053,0.805658219243665,-0.003950265206640324
11,2010,pubmedbert,0.4595415510666713,0.4956704065295075,0.036128855462836174
11,2010,biobert,0.4801131835652012,0.5177208886572983,0.037607705092097043
11,2010,simcse,0.5281727410056378,0.5538606364183086,0.025687895412670803
11,2015,specter,0.7386206130716861,0.7454260573238183,0.006805444252132142
11,2015,specter2,0.7097166100683989,0.7078681979247872,-0.001848412143611755
11,2015,scincl,0.7517154257541091,0.7540821653179535,0.0023667395638443667
11,2015,scibert,0.5591445149797548,0.6019467666217287,0.04280225164197393
11,2015,bert,0.6077127286547797,0.6456610731175558,0.03794834446277617
11,2015,mpnet,0.8247305115159089,0.8246650103973848,-6.550111852410279e-05
11,2015,pubmedbert,0.5078313476495476,0.5432355149640979,0.03540416731455032
11,2015,biobert,0.5434616044073308,0.5775712711341608,0.034109666726830024
11,2015,simcse,0.5661235261134283,0.5922051070717924,0.026081580958364103
11,2020,specter,0.7319581475034335,0.740561486327811,0.008603338824377582
11,2020,specter2,0.7125340487029794,0.7104832869473163,-0.0020507617556630997
11,2020,scincl,0.75056843459843,0.7549979984521202,0.004429563853690199
11,2020,scibert,0.5373453259920618,0.5858102556446942,0.048464929652632494
11,2020,bert,0.5853529027328256,0.6307722400654185,0.04541933733259296
11,2020,mpnet,0.8256107108215519,0.8270020313149955,0.001391320493443593
11,2020,pubmedbert,0.4928681680352819,0.5346632514874572,0.04179508345217531
11,2020,biobert,0.5330590849283141,0.5723120131497632,0.0392529282214491
11,2020,simcse,0.5406534129400082,0.5698846627475747,0.029231249807566417
12,2000,specter,0.5802847257546555,0.5792824432774133,-0.0010022824772422112
12,2000,specter2,0.5798222179581795,0.5785340828237405,-0.001288135134438928
12,2000,scincl,0.6179756161465655,0.6229174729709389,0.004941856824373425
12,2000,scibert,0.44352129807368657,0.4798917583920873,0.036370460318400744
12,2000,bert,0.4989940314840329,0.5225202201190954,0.023526188635062506
12,2000,mpnet,0.7587458315576517,0.7530753912337038,-0.005670440323947923
12,2000,pubmedbert,0.37083840354214065,0.39354273557494124,0.02270433203280059
12,2000,biobert,0.3766000092650968,0.40729260093434616,0.03069259166924937
12,2000,simcse,0.5096297606585167,0.5285536545378915,0.018923893879374765
12,2005,specter,0.5978075095112718,0.5967437647194432,-0.0010637447918285803
12,2005,specter2,0.6127066613974562,0.611315400386035,-0.0013912610114211743
12,2005,scincl,0.6355602935647546,0.6396439305466668,0.004083636981912164
12,2005,scibert,0.45593917111241056,0.49901781353247787,0.043078642420067315
12,2005,bert,0.52454615103779,0.5527136621011554,0.028167511063365347
12,2005,mpnet,0.7732785935854157,0.7677896405444226,-0.005488953040993172
12,2005,pubmedbert,0.3990753648634956,0.42581222205254293,0.026736857189047336
12,2005,biobert,0.41151509400340225,0.4457303945029135,0.03421530049951127
12,2005,simcse,0.5369593412952519,0.5568317512207605,0.01987240992550854
12,2010,specter,0.6131872900288697,0.6130231868804168,-0.00016410314845294316
12,2010,specter2,0.6225751756633422,0.6223182496765267,-0.0002569259868154816
12,2010,scincl,0.6464455790684649,0.6500483722904958,0.003602793222030942
12,2010,scibert,0.48492118839926057,0.5213266322947491,0.0364054438954885
12,2010,bert,0.5441539194720454,0.5660177803755627,0.02186386090351733
12,2010,mpnet,0.7791801002280548,0.775025339661033,-0.004154760567021798
12,2010,pubmedbert,0.4083504246755451,0.43166992708803825,0.023319502412493143
12,2010,biobert,0.44068683194924624,0.4730016191766289,0.03231478722738268
12,2010,simcse,0.5545983117336734,0.5687656860097261,0.014167374276052747
12,2015,specter,0.619576975703508,0.6184863119331035,-0.0010906637704044542
12,2015,specter2,0.6302997425245259,0.6275873876581998,-0.00271235486632615
12,2015,scincl,0.6527970615615408,0.6542711925556518,0.0014741309941109781
12,2015,scibert,0.5089369393375387,0.544422973830052,0.03548603449251331
12,2015,bert,0.5603937707809469,0.582873739344415,0.022479968563468122
12,2015,mpnet,0.7885879172221155,0.784850336470311,-0.0037375807518045256
12,2015,pubmedbert,0.4296899976203025,0.45247059802595424,0.02278060040565172
12,2015,biobert,0.460242870475161,0.49241615187968024,0.03217328140451925
12,2015,simcse,0.5676974639797724,0.581105617587623,0.013408153607850637
12,2020,specter,0.651465934384632,0.6516780664141228,0.00021213202949088572
12,2020,specter2,0.6610974887881815,0.6580329632558096,-0.003064525532371909
12,2020,scincl,0.689258284533997,0.6894584117874607,0.00020012725346374438
12,2020,scibert,0.5272279218051282,0.5717254999201608,0.04449757811503252
12,2020,bert,0.5913403695038424,0.6242942658753177,0.03295389637147528
12,2020,mpnet,0.810043494093631,0.8056618113888377,-0.004381682704793222
12,2020,pubmedbert,0.46239253696863325,0.49518325425803517,0.032790717289401916
12,2020,biobert,0.4619537172303314,0.5065638091698189,0.044610091939487506
12,2020,simcse,0.6026911839935102,0.624246983823031,0.021555799829520828
13,2000,specter,0.6822153081656042,0.6861978391060151,0.0039825309404109
13,2000,specter2,0.6298246327816029,0.6298164589310042,-8.173850598702792e-06
13,2000,scincl,0.6945094396725484,0.6974333058982539,0.002923866225705507
13,2000,scibert,0.49932934729619544,0.5612239537604903,0.061894606464294843
13,2000,bert,0.563235835358828,0.6060485137576458,0.04281267839881775
13,2000,mpnet,0.792311403773392,0.7911616070995987,-0.0011497966737933352
13,2000,pubmedbert,0.46474565047789296,0.5141361829621459,0.04939053248425296
13,2000,biobert,0.5050153489681828,0.5504896576336182,0.04547430866543545
13,2000,simcse,0.5135973675982152,0.5444255701767883,0.030828202578573105
13,2005,specter,0.6921183898175737,0.6947227209134398,0.002604331095866108
13,2005,specter2,0.6419017754017858,0.6404776054041202,-0.001424169997665592
13,2005,scincl,0.6986613004603961,0.700234961048549,0.001573660588152892
13,2005,scibert,0.4962283281239103,0.5500598649373671,0.053831536813456815
13,2005,bert,0.5624531724206685,0.6026362936394956,0.040183121218827056
13,2005,mpnet,0.7948361464280135,0.7931092168610859,-0.0017269295669275486
13,2005,pubmedbert,0.4638991678274529,0.5044995851720535,0.040600417344600626
13,2005,biobert,0.496044689974499,0.5368960743537652,0.040851384379266165
13,2005,simcse,0.5051534840761618,0.533516956630639,0.028363472554477243
13,2010,specter,0.7082268599854203,0.7118632758471477,0.00363641586172736
13,2010,specter2,0.6625133095802561,0.6616240417713387,-0.0008892678089174044
13,2010,scincl,0.713419535039661,0.7152356828573716,0.0018161478177105561
13,2010,scibert,0.5031909394934416,0.5559015775481526,0.05271063805471099
13,2010,bert,0.5671934942905615,0.6086731980469967,0.04147970375643517
13,2010,mpnet,0.8034516463965019,0.8032395986524257,-0.00021204774407623805
13,2010,pubmedbert,0.47569030625879843,0.5169289056296387,0.041238599370840234
13,2010,biobert,0.5187000523613106,0.5582872931567902,0.039587240795479595
13,2010,simcse,0.5130500246985373,0.5430240924709823,0.029974067772444934
13,2015,specter,0.717226208595917,0.7235073199621546,0.006281111366237546
13,2015,specter2,0.6813290441795764,0.6814169548627298,8.791068315339157e-05
13,2015,scincl,0.7247037127896452,0.7279486400904049,0.003244927300759759
13,2015,scibert,0.5182319399911325,0.5732592365876994,0.05502729659656691
13,2015,bert,0.5665771841938619,0.6092073904100426,0.04263020621618063
13,2015,mpnet,0.8108179310735626,0.8122184468434313,0.0014005157698686599
13,2015,pubmedbert,0.4862115563371132,0.5302520729766398,0.04404051663952657
13,2015,biobert,0.5393955429707987,0.5812427449032843,0.04184720193248559
13,2015,simcse,0.5100366060459826,0.5412581219846526,0.031221515938670064
13,2020,specter,0.7241147313732756,0.7296768772514315,0.005562145878155844
13,2020,specter2,0.6950472270835203,0.6932624521519302,-0.0017847749315901273
13,2020,scincl,0.7333437061083885,0.7353049226464048,0.001961216538016286
