centroid_edge_spearman,condition,groups,model_a,model_b,repeat
0.5313051229615646,native_paired,random,specter2,pubmedbert,1
0.5824085435128381,native_paired,random,specter2,biobert,1
0.4360627829339486,native_paired,random,specter2,simcse,1
0.4693510216209603,native_paired,random,scincl,scibert,1
0.6343970775872617,native_paired,random,scincl,bert,1
0.7133445196021884,native_paired,random,scincl,mpnet,1
0.5728816877283135,native_paired,random,scincl,minilm,1
0.5380259731179977,native_paired,random,scincl,pubmedbert,1
0.5742733294880534,native_paired,random,scincl,biobert,1
0.5357439742715817,native_paired,random,scincl,simcse,1
0.6744928600143325,native_paired,random,scibert,bert,1
0.4085997937531681,native_paired,random,scibert,mpnet,1
0.36250083023089164,native_paired,random,scibert,minilm,1
0.8416744446192299,native_paired,random,scibert,pubmedbert,1
0.8167423487668888,native_paired,random,scibert,biobert,1
0.5746756855959311,native_paired,random,scibert,simcse,1
0.590989810008215,native_paired,random,bert,mpnet,1
0.5658448254767273,native_paired,random,bert,minilm,1
0.6954436928670058,native_paired,random,bert,pubmedbert,1
0.7304448289724363,native_paired,random,bert,biobert,1
0.7764948525684723,native_paired,random,bert,simcse,1
0.7378186775732789,native_paired,random,mpnet,minilm,1
0.4612643979515146,native_paired,random,mpnet,pubmedbert,1
0.5030423155576531,native_paired,random,mpnet,biobert,1
0.5359054760281755,native_paired,random,mpnet,simcse,1
0.37256777305857064,native_paired,random,minilm,pubmedbert,1
0.40391624281194843,native_paired,random,minilm,biobert,1
0.5722954573261323,native_paired,random,minilm,simcse,1
0.86430112037474,native_paired,random,pubmedbert,biobert,1
0.5971478510128817,native_paired,random,pubmedbert,simcse,1
0.601213011028962,native_paired,random,biobert,simcse,1
0.6524139618618147,native_paired,random,specter,specter2,2
0.8096530508800448,native_paired,random,specter,scincl,2
0.6308342509569504,native_paired,random,specter,scibert,2
0.6509230419659868,native_paired,random,specter,bert,2
0.622802859489976,native_paired,random,specter,mpnet,2
0.5835935888696625,native_paired,random,specter,minilm,2
0.5507699299110342,native_paired,random,specter,pubmedbert,2
0.6274941009910336,native_paired,random,specter,biobert,2
0.6050289269921173,native_paired,random,specter,simcse,2
0.7036173596909794,native_paired,random,specter2,scincl,2
0.637172320976002,native_paired,random,specter2,scibert,2
0.5499435442993725,native_paired,random,specter2,bert,2
0.48342404698232916,native_paired,random,specter2,mpnet,2
0.5102644503871497,native_paired,random,specter2,minilm,2
0.5613112404523448,native_paired,random,specter2,pubmedbert,2
0.602618286053869,native_paired,random,specter2,biobert,2
0.530315138167899,native_paired,random,specter2,simcse,2
0.6203327914984358,native_paired,random,scincl,scibert,2
0.5792697463863109,native_paired,random,scincl,bert,2
0.6425675982731199,native_paired,random,scincl,mpnet,2
0.5388380263226891,native_paired,random,scincl,minilm,2
0.5344163039868562,native_paired,random,scincl,pubmedbert,2
0.5926810340307274,native_paired,random,scincl,biobert,2
0.5519158233268664,native_paired,random,scincl,simcse,2
0.709661440581686,native_paired,random,scibert,bert,2
0.4832929578941849,native_paired,random,scibert,mpnet,2
0.5300431720063622,native_paired,random,scibert,minilm,2
0.7853382972401378,native_paired,random,scibert,pubmedbert,2
0.819897226154895,native_paired,random,scibert,biobert,2
0.6480355863177949,native_paired,random,scibert,simcse,2
0.48482757415272754,native_paired,random,bert,mpnet,2
0.5455913865729818,native_paired,random,bert,minilm,2
0.7093863282820339,native_paired,random,bert,pubmedbert,2
0.7753895093772395,native_paired,random,bert,biobert,2
0.7533060668029994,native_paired,random,bert,simcse,2
0.6068767587785994,native_paired,random,mpnet,minilm,2
0.40633457431003445,native_paired,random,mpnet,pubmedbert,2
0.5242686102808803,native_paired,random,mpnet,biobert,2
0.4284442347019034,native_paired,random,mpnet,simcse,2
0.506614231031409,native_paired,random,minilm,pubmedbert,2
0.6039414119168721,native_paired,random,minilm,biobert,2
0.4490283676786745,native_paired,random,minilm,simcse,2
0.813180221278381,native_paired,random,pubmedbert,biobert,2
0.632227640571199,native_paired,random,pubmedbert,simcse,2
0.6389072413612292,native_paired,random,biobert,simcse,2
0.7352010906612134,native_paired,random,specter,specter2,3
0.8144617482040796,native_paired,random,specter,scincl,3
0.613285442119798,native_paired,random,specter,scibert,3
0.7039693775890096,native_paired,random,specter,bert,3
0.6655081886983728,native_paired,random,specter,mpnet,3
0.6076482617586912,native_paired,random,specter,minilm,3
0.6179606033593764,native_paired,random,specter,pubmedbert,3
0.592769475468862,native_paired,random,specter,biobert,3
0.6221236432279378,native_paired,random,specter,simcse,3
0.7791945886424416,native_paired,random,specter2,scincl,3
0.6352615664272107,native_paired,random,specter2,scibert,3
0.635227658049744,native_paired,random,specter2,bert,3
0.6959739919249123,native_paired,random,specter2,mpnet,3
0.5320643909600966,native_paired,random,specter2,minilm,3
0.6645220491846259,native_paired,random,specter2,pubmedbert,3
0.5931896596927273,native_paired,random,specter2,biobert,3
0.5153108559243529,native_paired,random,specter2,simcse,3
0.6238431824934894,native_paired,random,scincl,scibert,3
0.6699645185534757,native_paired,random,scincl,bert,3
0.683367416496251,native_paired,random,scincl,mpnet,3
0.5802107912537361,native_paired,random,scincl,minilm,3
0.5858612553091082,native_paired,random,scincl,pubmedbert,3
0.5790411270165872,native_paired,random,scincl,biobert,3
0.5916309230419661,native_paired,random,scincl,simcse,3
0.7171188366280391,native_paired,random,scibert,bert,3
