centroid_edge_spearman,model_a,model_b,period_start
0.8127009595721253,specter2/cls,biobert/mean,2010
0.8505486515302467,specter2/cls,simcse/cls,2010
0.8573925506440845,scincl/cls,scibert/mean,2010
0.7064051876321815,scincl/cls,bert/mean,2010
0.797952563228637,scincl/cls,mpnet/mean,2010
0.7808029643612466,scincl/cls,minilm/mean,2010
0.7902637512453465,scincl/cls,pubmedbert/mean,2010
0.779225001310891,scincl/cls,biobert/mean,2010
0.8149340184923007,scincl/cls,simcse/cls,2010
0.92012409767011,scibert/mean,bert/mean,2010
0.8340628878052192,scibert/mean,mpnet/mean,2010
0.8671564154999739,scibert/mean,minilm/mean,2010
0.9659014559628059,scibert/mean,pubmedbert/mean,2010
0.9626050023596038,scibert/mean,biobert/mean,2010
0.9499173264817438,scibert/mean,simcse/cls,2010
0.8357593553912573,bert/mean,mpnet/mean,2010
0.8630650376662646,bert/mean,minilm/mean,2010
0.9165025431283101,bert/mean,pubmedbert/mean,2010
0.9232716340691802,bert/mean,biobert/mean,2010
0.9081236781850279,bert/mean,simcse/cls,2010
0.9605935713911176,mpnet/mean,minilm/mean,2010
0.818283606872564,mpnet/mean,pubmedbert/mean,2010
0.8039050565430934,mpnet/mean,biobert/mean,2010
0.8295583171656793,mpnet/mean,simcse/cls,2010
0.8625875238145178,minilm/mean,pubmedbert/mean,2010
0.8573041092059498,minilm/mean,biobert/mean,2010
0.8767619247373849,minilm/mean,simcse/cls,2010
0.985781902714418,pubmedbert/mean,biobert/mean,2010
0.9337587611207245,pubmedbert/mean,simcse/cls,2010
0.928434796287557,biobert/mean,simcse/cls,2010
0.8941293062765455,specter/cls,specter2/cls,2015
0.9241385699054412,specter/cls,scincl/cls,2015
0.7978840473319002,specter/cls,scibert/mean,2015
0.6343893870274239,specter/cls,bert/mean,2015
0.7200307622393514,specter/cls,mpnet/mean,2015
0.7110642686102809,specter/cls,minilm/mean,2015
0.6989313617534477,specter/cls,pubmedbert/mean,2015
0.6749350672050058,specter/cls,biobert/mean,2015
0.7662622131333789,specter/cls,simcse/cls,2015
0.9513631517312501,specter2/cls,scincl/cls,2015
0.8705161414363869,specter2/cls,scibert/mean,2015
0.7706678552077326,specter2/cls,bert/mean,2015
0.8412014751892054,specter2/cls,mpnet/mean,2015
0.847177389754077,specter2/cls,minilm/mean,2015
0.8086578225228532,specter2/cls,pubmedbert/mean,2015
0.7981091709926067,specter2/cls,biobert/mean,2015
0.863482774893818,specter2/cls,simcse/cls,2015
0.8530690577316346,scincl/cls,scibert/mean,2015
0.7142107562966459,scincl/cls,bert/mean,2015
0.7932560781640537,scincl/cls,mpnet/mean,2015
0.796692360127943,scincl/cls,minilm/mean,2015
0.789735899183752,scincl/cls,pubmedbert/mean,2015
0.7747232272385648,scincl/cls,biobert/mean,2015
0.8318595424116898,scincl/cls,simcse/cls,2015
0.9181318931012183,scibert/mean,bert/mean,2015
0.8148036285459599,scibert/mean,mpnet/mean,2015
0.8596553230909061,scibert/mean,minilm/mean,2015
0.9593679758096936,scibert/mean,pubmedbert/mean,2015
0.9577987520318809,scibert/mean,biobert/mean,2015
0.9521276632933076,scibert/mean,simcse/cls,2015
0.835990421757293,bert/mean,mpnet/mean,2015
0.8656924125635783,bert/mean,minilm/mean,2015
0.9128219111041197,bert/mean,pubmedbert/mean,2015
0.9147036512680685,bert/mean,biobert/mean,2015
0.9095729991435515,bert/mean,simcse/cls,2015
0.9683040567703147,mpnet/mean,minilm/mean,2015
0.800678517120235,mpnet/mean,pubmedbert/mean,2015
0.7807648611329593,mpnet/mean,biobert/mean,2015
0.8198231171237308,mpnet/mean,simcse/cls,2015
0.8528372922237953,minilm/mean,pubmedbert/mean,2015
0.84185552234632,minilm/mean,biobert/mean,2015
0.8708146749864543,minilm/mean,simcse/cls,2015
0.986562144967053,pubmedbert/mean,biobert/mean,2015
0.935229056333351,pubmedbert/mean,simcse/cls,2015
0.9279618268575325,biobert/mean,simcse/cls,2015
0.899571076503592,specter/cls,specter2/cls,2020
0.9365207208151995,specter/cls,scincl/cls,2020
0.8099868910911857,specter/cls,scibert/mean,2020
0.6541764983482775,specter/cls,bert/mean,2020
0.7496076066628214,specter/cls,mpnet/mean,2020
0.7602953874119519,specter/cls,minilm/mean,2020
0.7066991767605265,specter/cls,pubmedbert/mean,2020
0.6817558946393304,specter/cls,biobert/mean,2020
0.7973656336846522,specter/cls,simcse/cls,2020
0.9470802090433995,specter2/cls,scincl/cls,2020
0.8696984950972683,specter2/cls,scibert/mean,2020
0.7775942530543759,specter2/cls,bert/mean,2020
0.8655693636061734,specter2/cls,mpnet/mean,2020
0.8731134532361527,specter2/cls,minilm/mean,2020
0.7971419083075525,specter2/cls,pubmedbert/mean,2020
0.780646356597277,specter2/cls,biobert/mean,2020
0.8777683393634316,specter2/cls,simcse/cls,2020
0.8530526278992537,scincl/cls,scibert/mean,2020
0.7166144058168599,scincl/cls,bert/mean,2020
0.8110688130320033,scincl/cls,mpnet/mean,2020
0.8219834652963487,scincl/cls,minilm/mean,2020
0.7858920175484594,scincl/cls,pubmedbert/mean,2020
0.7647499694125461,scincl/cls,biobert/mean,2020
0.8473668571828084,scincl/cls,simcse/cls,2020
0.9097114292206318,scibert/mean,bert/mean,2020
0.8306269554122315,scibert/mean,mpnet/mean,2020
0.8758911436212051,scibert/mean,minilm/mean,2020
0.9528019855627219,scibert/mean,pubmedbert/mean,2020
0.9478580042997222,scibert/mean,biobert/mean,2020
0.9590816772411865,scibert/mean,simcse/cls,2020
0.8472906507262337,bert/mean,mpnet/mean,2020
0.8682061769178334,bert/mean,minilm/mean,2020
0.9066131823187039,bert/mean,pubmedbert/mean,2020
0.9015496478073166,bert/mean,biobert/mean,2020
0.9043685875587717,bert/mean,simcse/cls,2020
0.9759816824847501,mpnet/mean,minilm/mean,2020
0.805242514813067,mpnet/mean,pubmedbert/mean,2020
0.7805268033488894,mpnet/mean,biobert/mean,2020
0.8398007445860207,mpnet/mean,simcse/cls,2020
0.8519196686067853,minilm/mean,pubmedbert/mean,2020
0.8349976403964136,minilm/mean,biobert/mean,2020
0.877411777043679,minilm/mean,simcse/cls,2020
0.9887099085872093,pubmedbert/mean,biobert/mean,2020
0.9317309003198575,pubmedbert/mean,simcse/cls,2020
0.918670581860766,biobert/mean,simcse/cls,2020
