field_id,period_start,k,mean_chance_adjusted_overlap,mean_overlap,model_a,model_b,recipe
11,2000,10,0.3289483423846343,0.3322265625,specter,specter2,mean
11,2000,25,0.36478113795128586,0.3725390625000001,specter,specter2,mean
11,2000,50,0.39445706156891586,0.40924804687500005,specter,specter2,mean
11,2000,10,0.45897809470115364,0.46162109375000004,specter,scincl,mean
11,2000,25,0.5017864139002225,0.5078710937500001,specter,scincl,mean
11,2000,50,0.537201549394404,0.5485058593750001,specter,scincl,mean
11,2000,10,0.25161744062960234,0.25527343750000003,specter,scibert,mean
11,2000,25,0.2928874760447577,0.30152343750000005,specter,scibert,mean
11,2000,50,0.32152323700394336,0.33809570312500004,specter,scibert,mean
11,2000,10,0.2186929259864384,0.22250976562500002,specter,bert,mean
11,2000,25,0.2550622353332097,0.26416015625,specter,bert,mean
11,2000,50,0.28557685160553326,0.30302734375,specter,bert,mean
11,2000,10,0.4013233932023196,0.404248046875,specter,mpnet,mean
11,2000,25,0.4399570737512365,0.4467968750000001,specter,mpnet,mean
11,2000,50,0.4758794783972834,0.48868164062499997,specter,mpnet,mean
11,2000,10,0.3540220040577442,0.357177734375,specter,minilm,mean
11,2000,25,0.39493455775531655,0.4023242187500001,specter,minilm,mean
11,2000,50,0.42760060989922377,0.44158203125000006,specter,minilm,mean
11,2000,10,0.23581759902736865,0.23955078125,specter,pubmedbert,mean
11,2000,25,0.267914512626731,0.27685546875,specter,pubmedbert,mean
11,2000,50,0.29615756153761896,0.313349609375,specter,pubmedbert,mean
11,2000,10,0.24008650032983553,0.243798828125,specter,biobert,mean
11,2000,25,0.27776133430699806,0.28658203125000004,specter,biobert,mean
11,2000,50,0.3046061132714697,0.321591796875,specter,biobert,mean
11,2000,10,0.19337392515801421,0.197314453125,specter,simcse,mean
11,2000,25,0.22730131637920375,0.23673828125000004,specter,simcse,mean
11,2000,50,0.25318406320418124,0.27142578125000005,specter,simcse,mean
11,2000,10,0.3768385455019636,0.3798828125,specter2,scincl,mean
11,2000,25,0.410792290662092,0.41798828125000004,specter2,scincl,mean
11,2000,50,0.43913228240798696,0.45283203125000004,specter2,scincl,mean
11,2000,10,0.21457122817716004,0.218408203125,specter2,scibert,mean
11,2000,25,0.24509677724715628,0.25431640625000007,specter2,scibert,mean
11,2000,50,0.2709820785866299,0.2887890625,specter2,scibert,mean
11,2000,10,0.1662394145802651,0.17031250000000003,specter2,bert,mean
11,2000,25,0.19392494088464393,0.20376953125000002,specter2,bert,mean
11,2000,50,0.21689733330464445,0.23602539062500003,specter2,bert,mean
11,2000,10,0.3563772599487604,0.35952148437500003,specter2,mpnet,mean
11,2000,25,0.3836245537370178,0.3911523437500001,specter2,mpnet,mean
11,2000,50,0.4115944082138833,0.425966796875,specter2,mpnet,mean
11,2000,10,0.317564605578056,0.3208984375,specter2,minilm,mean
11,2000,25,0.34075726577955,0.34880859375000006,specter2,minilm,mean
11,2000,50,0.36458682652885577,0.380107421875,specter2,minilm,mean
11,2000,10,0.19047892312530681,0.19443359375000002,specter2,pubmedbert,mean
11,2000,25,0.2135790387765826,0.22318359375000005,specter2,pubmedbert,mean
11,2000,50,0.2370076892682774,0.25564453125000003,specter2,pubmedbert,mean
11,2000,10,0.19415901045501965,0.19809570312500002,specter2,biobert,mean
11,2000,25,0.219589950003091,0.22912109375000003,specter2,biobert,mean
11,2000,50,0.24364440704024787,0.262119140625,specter2,biobert,mean
11,2000,10,0.1542177959698699,0.15834960937500003,specter2,simcse,mean
11,2000,25,0.17784970790059346,0.18789062500000003,specter2,simcse,mean
11,2000,50,0.19579597423478967,0.21543945312500004,specter2,simcse,mean
11,2000,10,0.23400208927804367,0.237744140625,scincl,scibert,mean
11,2000,25,0.26896246754451036,0.27789062500000006,scincl,scibert,mean
11,2000,50,0.29590730822796696,0.31310546875,scincl,scibert,mean
11,2000,10,0.19931113271661757,0.20322265625000002,scincl,bert,mean
11,2000,25,0.2316117724561078,0.24099609375000003,scincl,bert,mean
11,2000,50,0.25957052766649974,0.27765625000000005,scincl,bert,mean
11,2000,10,0.44798690054307805,0.45068359375,scincl,mpnet,mean
11,2000,25,0.48658118122527205,0.49285156250000006,scincl,mpnet,mean
11,2000,50,0.5150090858944667,0.52685546875,scincl,mpnet,mean
11,2000,10,0.3936688115565169,0.396630859375,scincl,minilm,mean
11,2000,25,0.429418206370549,0.43638671875,scincl,minilm,mean
11,2000,50,0.4571305004381572,0.470390625,scincl,minilm,mean
11,2000,10,0.2104495303678817,0.21430664062500002,scincl,pubmedbert,mean
11,2000,25,0.2408456393731454,0.2501171875,scincl,pubmedbert,mean
