field_id,period_start,common_adjusted,common_overlap,delta_overlap,k,model_a,model_b,native_adjusted,native_overlap
11,2000,0.39457647814910024,0.40974999999999995,-0.009000000000000001,10,specter/cls,specter2/cls,0.40380784061696656,0.41875
11,2000,0.43574572192513367,0.4711000000000001,-0.0109,25,specter/cls,specter2/cls,0.4473743315508022,0.48200000000000004
11,2000,0.4567197707736389,0.5248,-0.0026999999999999993,50,specter/cls,specter2/cls,0.4598065902578796,0.5275
11,2000,0.5366368894601543,0.54825,0.00625,10,specter/cls,scincl/cls,0.5302262210796915,0.542
11,2000,0.5767826203208556,0.6033,-0.003899999999999999,25,specter/cls,scincl/cls,0.5809433155080214,0.6072
11,2000,0.6032865329512894,0.653,-0.003549999999999999,50,specter/cls,scincl/cls,0.6073451289398281,0.65655
11,2000,0.3391883033419023,0.35574999999999996,0.022249999999999995,10,specter/cls,scibert/mean,0.316366323907455,0.3335
11,2000,0.3668275401069519,0.4065000000000001,0.0161,25,specter/cls,scibert/mean,0.3496513368983958,0.3904000000000001
11,2000,0.39006733524355297,0.46649999999999997,0.019700000000000002,50,specter/cls,scibert/mean,0.3675449856733525,0.4468
11,2000,0.2912365038560411,0.309,0.0004999999999999996,10,specter/cls,bert/mean,0.29072365038560405,0.3085
11,2000,0.3284211229946524,0.37050000000000005,0.008199999999999999,25,specter/cls,bert/mean,0.3196729946524064,0.36230000000000007
11,2000,0.354797564469914,0.43565000000000004,0.006050000000000001,50,specter/cls,bert/mean,0.34788080229226365,0.4295999999999999
11,2000,0.47073521850899747,0.484,-0.0004999999999999999,10,specter/cls,mpnet/mean,0.4712480719794344,0.48450000000000004
11,2000,0.503703743315508,0.5348,-0.008400000000000003,25,specter/cls,mpnet/mean,0.5126652406417113,0.5432
11,2000,0.5427505730659026,0.60005,-0.006449999999999999,50,specter/cls,mpnet/mean,0.5501246418338108,0.6065
11,2000,0.43432262210796924,0.44849999999999995,0.006999999999999999,10,specter/cls,minilm/mean,0.42714267352185087,0.4415
11,2000,0.4684978609625668,0.5018,-0.0033999999999999976,25,specter/cls,minilm/mean,0.4721251336898396,0.5052000000000001
11,2000,0.5014214899713467,0.5639,0.0018499999999999973,50,specter/cls,minilm/mean,0.49930644699140403,0.5620499999999999
11,2000,0.30098071979434443,0.3185,0.010749999999999997,10,specter/cls,pubmedbert/mean,0.2899543701799486,0.30774999999999997
11,2000,0.34100989304812834,0.3823,0.0127,25,specter/cls,pubmedbert/mean,0.327460962566845,0.3696000000000001
11,2000,0.3649726361031519,0.44455,0.012549999999999999,50,specter/cls,pubmedbert/mean,0.350624641833811,0.43200000000000005
11,2000,0.30405784061696656,0.3215,0.004499999999999999,10,specter/cls,biobert/mean,0.29944215938303337,0.317
11,2000,0.34463716577540104,0.3857,0.0075,25,specter/cls,biobert/mean,0.33663582887700527,0.3782000000000001
11,2000,0.36605873925501436,0.44550000000000006,0.008050000000000003,50,specter/cls,biobert/mean,0.3568554441260745,0.43745000000000006
11,2000,0.2643116966580977,0.28275,0.0025,10,specter/cls,simcse/cls,0.26174742930591255,0.28025
11,2000,0.2908681818181818,0.3353,-0.0018999999999999998,25,specter/cls,simcse/cls,0.2928951871657754,0.3372
11,2000,0.3106103151862464,0.39699999999999996,-0.0014500000000000016,50,specter/cls,simcse/cls,0.31226805157593124,0.39844999999999997
11,2000,0.4476568123393316,0.4614999999999999,-0.006999999999999999,10,specter2/cls,scincl/cls,0.45483676092544983,0.4684999999999999
11,2000,0.48556737967914443,0.5178,-0.0049000000000000024,25,specter2/cls,scincl/cls,0.49079491978609624,0.5226999999999999
11,2000,0.5019359598853869,0.56435,-0.002649999999999999,50,specter2/cls,scincl/cls,0.5049656160458453,0.5670000000000001
11,2000,0.29559575835475577,0.31325,0.01925,10,specter2/cls,scibert/mean,0.27585089974293053,0.294
11,2000,0.3283144385026738,0.37040000000000006,0.0199,25,specter2/cls,scibert/mean,0.3070842245989305,0.35050000000000003
11,2000,0.34302191977077373,0.42534999999999995,0.023450000000000002,50,specter2/cls,scibert/mean,0.31621232091690543,0.4019
11,2000,0.23584832904884315,0.255,-0.0022499999999999994,10,specter2/cls,bert/mean,0.23815616966580977,0.25725000000000003
11,2000,0.2639836898395722,0.31010000000000004,0.0006000000000000003,25,specter2/cls,bert/mean,0.2633435828877005,0.30950000000000005
11,2000,0.2752833810888252,0.3661,0.0010999999999999983,50,specter2/cls,bert/mean,0.27402578796561605,0.365
11,2000,0.4227834190231362,0.43725,-0.0012500000000000011,10,specter2/cls,mpnet/mean,0.42406555269922874,0.4385000000000001
11,2000,0.4553756684491978,0.48950000000000005,-0.0066,25,specter2/cls,mpnet/mean,0.462416844919786,0.4961
11,2000,0.4662660458452722,0.53315,-0.007150000000000002,50,specter2/cls,mpnet/mean,0.4744404011461318,0.5403
11,2000,0.3848322622107969,0.40025,-0.0004999999999999988,10,specter2/cls,minilm/mean,0.3853451156812339,0.40075000000000005
11,2000,0.40342032085561497,0.44079999999999997,-0.0022999999999999974,25,specter2/cls,minilm/mean,0.405874064171123,0.44310000000000005
11,2000,0.4119037249283668,0.48560000000000003,-0.003350000000000004,50,specter2/cls,minilm/mean,0.4157336676217765,0.48895000000000005
11,2000,0.25943958868894595,0.27799999999999997,0.012999999999999998,10,specter2/cls,pubmedbert/mean,0.24610539845758353,0.265
11,2000,0.2953489304812834,0.3395,0.0177,25,specter2/cls,pubmedbert/mean,0.27646577540106954,0.3218000000000001
11,2000,0.30609441260744985,0.3930499999999999,0.014950000000000001,50,specter2/cls,pubmedbert/mean,0.2890025787965616,0.37810000000000005
11,2000,0.25456748071979435,0.27325,-0.001999999999999999,10,specter2/cls,biobert/mean,0.2566188946015424,0.27525
11,2000,0.28244010695187166,0.3274,0.007400000000000002,25,specter2/cls,biobert/mean,0.27454545454545454,0.32
11,2000,0.30003510028653296,0.38775000000000004,0.0056500000000000005,50,specter2/cls,biobert/mean,0.29357564469914044,0.3821
11,2000,0.21276992287917737,0.2325,-0.0032500000000000016,10,specter2/cls,simcse/cls,0.21610347043701797,0.23575000000000002
11,2000,0.23699251336898391,0.2848,-0.002200000000000001,25,specter2/cls,simcse/cls,0.23933957219251334,0.28700000000000003
11,2000,0.24292893982808025,0.3378,0.00044999999999999885,50,specter2/cls,simcse/cls,0.24241446991404011,0.33735
11,2000,0.3196998714652956,0.33675000000000005,0.0235,10,scincl/cls,scibert/mean,0.2955957583547557,0.31325
11,2000,0.34613074866310156,0.3871,0.020100000000000003,25,scincl/cls,scibert/mean,0.3246871657754011,0.36700000000000005
11,2000,0.3706889684813754,0.44955,0.022850000000000002,50,scincl/cls,scibert/mean,0.34456532951289404,0.4267
11,2000,0.2771330334190231,0.29525,0.006,10,scincl/cls,bert/mean,0.2709787917737789,0.28924999999999995
11,2000,0.3103914438502674,0.35359999999999997,0.011999999999999997,25,scincl/cls,bert/mean,0.2975893048128342,0.34159999999999996
11,2000,0.3318750716332379,0.41559999999999997,0.008,50,scincl/cls,bert/mean,0.32272893982808026,0.4076000000000001
11,2000,0.4994550128534705,0.512,-0.0024999999999999996,10,scincl/cls,mpnet/mean,0.5020192802056554,0.5145000000000001
11,2000,0.5348556149732621,0.564,-0.007399999999999998,25,scincl/cls,mpnet/mean,0.5427502673796791,0.5714
11,2000,0.5648727793696275,0.6194,-0.004199999999999998,50,scincl/cls,mpnet/mean,0.5696744985673352,0.6236
11,2000,0.4681709511568123,0.4815,0.0007499999999999993,10,scincl/cls,minilm/mean,0.4674016709511568,0.48074999999999996
11,2000,0.4927152406417112,0.5245000000000001,0.0007999999999999977,25,scincl/cls,minilm/mean,0.4918617647058823,0.5237
11,2000,0.5193707736389684,0.5796,0.0008500000000000017,50,scincl/cls,minilm/mean,0.5183989971346705,0.57875
11,2000,0.2850822622107969,0.303,0.017249999999999998,10,scincl/cls,pubmedbert/mean,0.26738881748071974,0.28575
11,2000,0.3186061497326203,0.3613,0.020900000000000002,25,scincl/cls,pubmedbert/mean,0.2963090909090909,0.34040000000000004
11,2000,0.3351905444126075,0.41850000000000004,0.0186,50,scincl/cls,pubmedbert/mean,0.3139257879656161,0.3998999999999999
11,2000,0.287133676092545,0.305,0.01175,10,scincl/cls,biobert/mean,0.27508161953727506,0.29325
11,2000,0.31220508021390375,0.3553,0.011700000000000002,25,scincl/cls,biobert/mean,0.29972299465240637,0.3436
11,2000,0.33873467048710604,0.4216,0.011900000000000004,50,scincl/cls,biobert/mean,0.32512979942693415,0.4097
11,2000,0.2527724935732648,0.27149999999999996,0.0032500000000000007,10,scincl/cls,simcse/cls,0.24943894601542416,0.26825000000000004
11,2000,0.2853205882352941,0.3301,0.0034000000000000007,25,scincl/cls,simcse/cls,0.2816933155080214,0.3267
11,2000,0.30272177650429805,0.39010000000000006,0.0009499999999999995,50,scincl/cls,simcse/cls,0.3016356733524355,0.38915
11,2000,0.45458033419023136,0.46825000000000006,0.004249999999999997,10,scibert/mean,bert/mean,0.45022107969151676,0.46399999999999997
11,2000,0.49858288770053477,0.53,0.013800000000000002,25,scibert/mean,bert/mean,0.4838604278074866,0.5162
11,2000,0.5217144699140401,0.5816500000000001,0.01255,50,scibert/mean,bert/mean,0.5073664756446992,0.5690999999999999
11,2000,0.30098071979434443,0.3185,0.011500000000000002,10,scibert/mean,mpnet/mean,0.28918508997429304,0.30699999999999994
11,2000,0.3389828877005347,0.3804,0.018200000000000004,25,scibert/mean,mpnet/mean,0.3195663101604278,0.36219999999999997
11,2000,0.3678308022922636,0.44705,0.02155,50,scibert/mean,mpnet/mean,0.3431934097421203,0.4255
11,2000,0.29482647814910024,0.3125,0.018,10,scibert/mean,minilm/mean,0.2763637532133676,0.2945
11,2000,0.3401564171122995,0.38150000000000006,0.023099999999999996,25,scibert/mean,minilm/mean,0.3155122994652406,0.35840000000000005
11,2000,0.3639436962750716,0.44364999999999993,0.025750000000000002,50,scibert/mean,minilm/mean,0.3345045845272206,0.4179
11,2000,0.5786908740359897,0.5892499999999999,-0.000499999999999999,10,scibert/mean,pubmedbert/mean,0.5792037275064267,0.58975
11,2000,0.6127352941176469,0.637,-0.0007000000000000012,25,scibert/mean,pubmedbert/mean,0.6134820855614973,0.6376999999999999
11,2000,0.6384991404011461,0.6838,0.0058999999999999955,50,scibert/mean,pubmedbert/mean,0.6317538681948424,0.6779
11,2000,0.5507403598971722,0.5619999999999999,-0.015499999999999998,10,scibert/mean,biobert/mean,0.5666388174807199,0.5775
11,2000,0.5840371657754011,0.6101,-0.0115,25,scibert/mean,biobert/mean,0.5963058823529411,0.6215999999999999
11,2000,0.61609111747851,0.6642,-0.005899999999999999,50,scibert/mean,biobert/mean,0.6228363896848138,0.6700999999999999
11,2000,0.316879177377892,0.33399999999999996,0.010249999999999999,10,scibert/mean,simcse/cls,0.30636568123393315,0.32375
11,2000,0.35093155080213906,0.39160000000000006,0.016800000000000002,25,scibert/mean,simcse/cls,0.33300855614973257,0.3748
11,2000,0.37326131805157586,0.4518000000000001,0.012799999999999999,50,scibert/mean,simcse/cls,0.3586275071633237,0.43900000000000006
11,2000,0.2899543701799486,0.30775,-0.0032499999999999994,10,bert/mean,mpnet/mean,0.29328791773778917,0.311
11,2000,0.3354622994652406,0.3771000000000001,0.004599999999999998,25,bert/mean,mpnet/mean,0.3305548128342246,0.3725
11,2000,0.37080329512893984,0.44964999999999994,0.005949999999999999,50,bert/mean,mpnet/mean,0.36400085959885387,0.4437
11,2000,0.2986728791773779,0.31625,0.0055000000000000005,10,bert/mean,minilm/mean,0.2930314910025707,0.31074999999999997
11,2000,0.3496513368983958,0.3904000000000001,0.0125,25,bert/mean,minilm/mean,0.33631577540106944,0.37790000000000007
11,2000,0.3914392550143267,0.4677,0.0142,50,bert/mean,minilm/mean,0.3752048710601719,0.45349999999999996
11,2000,0.4225269922879177,0.43699999999999994,-0.0032499999999999972,10,bert/mean,pubmedbert/mean,0.42586053984575833,0.44025000000000003
11,2000,0.4644438502673798,0.498,-0.0109,25,bert/mean,pubmedbert/mean,0.4760724598930481,0.5089
11,2000,0.49724856733524364,0.56025,-0.002250000000000002,50,bert/mean,pubmedbert/mean,0.49982091690544406,0.5625
11,2000,0.4420154241645244,0.456,-0.020499999999999997,10,bert/mean,biobert/mean,0.4630424164524422,0.4765
11,2000,0.4934620320855615,0.5252,-0.0108,25,bert/mean,biobert/mean,0.5049839572192514,0.536
11,2000,0.5134257879656161,0.5744,-0.0136,50,bert/mean,biobert/mean,0.528974212034384,0.588
