work_id,text_sha256,abstract_sha256,reason
W1979625150,b5987a8563890f1f9530f63b989bd31fa14e7007a2b688bf2c1b8534975778b3,b23dfd18daa8cd7b4aa27d11e2ac873f74d7d23e7b9ad91bc0f7b0d2043a164d,acs_webpage_instead_of_abstract
W1980862605,42aab30a6130baf400444de4b5164d4c2dc71a4ed694ba5b809c06abcbded499,fdafa4117a39859f9bcaa0b1a628527020142bce4c8b8f18676df99395e0ba2b,acs_webpage_instead_of_abstract
W1982248566,96dcbe9d49b8f2c1ec109a8b50ceef4769f59868373573f49ca713b77f13c264,c602c64e1e4b7af500c059c22a9cb7a1446aa4ff559a398644a85ced3a1d5b5f,acs_webpage_instead_of_abstract
W1984346071,c9e69e1ade82fd87233f5542520bf47789b3de2634bace2f29a6308b53883479,9ca162fc7638b1df27437b5ea88463039794a8e4ac61f379c674e6e885f21102,acs_webpage_instead_of_abstract
W1988419279,ad9eae2638b40d5e478817b415f99807d12f3d436c64455f7a5e57e7608ea72c,e8a1b24a10455c55fe44cef85cb060b9d92a4b67974ea6d15e14a8708cd6be80,publisher_navigation_instead_of_abstract
W1989661323,8ddfc6395cb1a3dc5231c756569924c032bd2c9aad615d6cf7be78c4b99a4491,2e07525f36adf7da6b546e80aae8cbc3430ac8e69fc7af0403ef736329993a56,acs_webpage_instead_of_abstract
W1990678182,3336c38792911f1357e8d3280fe62028b122cbb47cdd358cf58df4064b81733b,9282fb02ee6d8b53cf33c8db2f008757da4c86e13fb36beb0f35a2326451ac13,acs_webpage_instead_of_abstract
W1990830736,f26b5095b3442a2951823a50319a5a60d5fde9c949f44e0ae3973500fadcbbe7,6d6611192a0d1a8b46d9d57b262edcec6e5b6ee1bf3ac6036babfe2312629c7a,acs_webpage_instead_of_abstract
W1993360588,319f356b6fd6e50d175d38e79c0b3e6f4e37466edb148f6377134a1c7c824eab,df31388a43204f4f49b1e732d48f58ff91b709a7124a65f73e1a509dd8311c60,acs_webpage_instead_of_abstract
W1996004166,25ef089b5830c512d27e8f4aa381d553b808cfcfbb8914f076dd28c63b75cfcb,a6a6932c6955b4f5baad49a733e6c4b2c7a00bde77505e3f98622c24eea00acf,acs_webpage_instead_of_abstract
W1996898999,d073108cfbbb8de1d22b2d739cbe6bba3e812f6ff3eac3c73741a38f661d62c3,075ac789729a5165ab2114a7b877c1a1e78b084f0c55249a14060fb2467ee84d,acs_webpage_instead_of_abstract
W1996987732,dd18cddaa2a5760922b1b4c1c8ec668047200ec00a11f134a79e56f388158416,23ecdb5b576a0ca1b68f6b113281449b35903334f5a5bbf08821c4227a229926,publisher_navigation_instead_of_abstract
W1998576745,67866fc0f48664b4d8dba93b6693ff58ddc50ea1e6764bb1d69c153ecd9a7f82,71c30fe64d96f1ec1a71e545b63c7754292c57dc4d12e61541253b7824bccd04,acs_webpage_instead_of_abstract
W1999097311,99092bdc3cc3fd2948d89273da3d6c8dba17a6ae18c894bb3b5efc8774bda15a,e1c93fd13796ee1bc172fa39435ac68f99ea5c05f4059dd13871ee7653f77553,acs_webpage_instead_of_abstract
W1999469155,2f573a67385cd7e6721e40adcad0720bfe4ee891b999b0e7194654c4018518bb,69877ab7072c6d95b6e23f4486ed8be9dd72779c3f29e4cd32fc1472c0c2cdf9,acs_webpage_instead_of_abstract
W2000394742,b341459ca82a229273badbca834b221f22f5a3782674a3ed5d8c6f1e3d1ec41e,5ed2b9d7fa3c3690898a2a90cfdcf477e2e32ad6d12f895ed567d03e81ee3054,acs_webpage_instead_of_abstract
W2001093645,0db49542d00448501105e523fc5513b2240e9034650d372fc82f83a66d82e4ed,f1ddda3898e7b85b6f4b74137f013af7844599d70b9f1b0d066f3352eb307f78,acs_webpage_instead_of_abstract
W2001308271,81b188276480e30e3b2d84a3f4cfb9fd3a7bab38757402bde9d35ecc15159759,0bcb6b5a1fb52a75b809a9d6d87783a11a277224325fa4d08ac5b88cd378c477,acs_webpage_instead_of_abstract
W2001799426,bbcb87f1e4aad1e7fe5f6d4dcc14ffc19d4526dc0c7e345e8e8545f20e539685,af2824e9063485799086a2418452a1faee89895c7ea596a1e048734daecf3099,acs_webpage_instead_of_abstract
W2003566444,52daa75d34f6651753e3377f4a51621bd34e14851b27fc8b26b475a585fdbab7,354ca72e938f6a82302295cdea7ba6790ca17e3079cb54e1baf9013b8bcfa273,acs_webpage_instead_of_abstract
W2005492847,986421a0f6711b0e02ad4510a5b82f95c89a0e1263671cc4abade804f11a7446,b28ef89fcd72f7599e5682592333ad92944f1a17dfadec91951eb40691ff1fe9,acs_webpage_instead_of_abstract
