work_id,original_cohort,field_id,period_start,reason,text_sha256
W4200318176,base,18,2020,non_abstract:reviewed_non_abstract_template,66fd5b3ec3f581ff027e59bb50bf431fe99156d0b54eb452a4127532f2ec02f6
W2462045643,base,22,2000,clear_non_english_abstract,c65fc4d1de98d3c1e5fdf58548c0685cb8cb9d29796ff3e6082ee87a56183c17
W7209565908,base,11,2000,non_abstract:reviewed_non_abstract_template,2f444ae70807b7dca7598c33b92f4fa28c34ffc8340463ac0742409e294fbe5f
W2765614227,base,14,2015,clear_non_english_abstract,ae9e8c6676f6e2d0b771ccc73ebf259d2d91a2536b2027208dcf4de7a240c4aa
W2977645010,base,13,2015,non_abstract:reviewed_non_abstract_template;clear_non_english_abstract,9d3fe420e8f35e64f4fc3a24f9465adc67f3da8bd1af347248e2261b5fed6b97
W4395006129,base,22,2020,non_abstract:reviewed_non_abstract_template,9455270ab0947625da70282304f73fc5a4512ae1d62f7835e9bcb2c64a471058
W1578711211,base,33,2005,clear_non_english_abstract,63a362102a356abe392d3e7bedfbfabd9fc0eedfb7788d4a4834278dd0b9e135
W2554676111,base,27,2010,clear_non_english_abstract,e68069f031f1a907de6deb154b956dd01c635442b91c9fb86b20ecfdef6b29b0
W4385524141,base,17,2020,clear_non_english_abstract,7cbfb2adfc1f22d94140a514725f2bc35b0f5f1caa69872aac0a01c43619e93d
W4367628008,base,27,2020,non_abstract:reviewed_non_abstract_template,beb9cb118741ee180293e90a39edac687f6fbeb552a3eed473119394b513ff15
W3108994138,base,33,2020,clear_non_english_abstract,81789c49a468c531b6158d8fa39ce9b15d30d74e47b402d9ebe8b2c6e1f40b2f
W3006212050,base,27,2015,clear_non_english_abstract,f8122e8c674e6ee790371332082dce42ac89f97614f5862e31030265b0cada76
W4406484603,base,23,2020,clear_non_english_abstract,0ce16c7d47ec2037939fe9dd86b10691c2e301a8df3de0dcd93b39dbe72f6ac7
W4280612582,base,12,2020,clear_non_english_abstract,4003b41b5bee346c24b683208a6b6434035af45383e18656f72a26f4a0566270
W4205460874,base,14,2020,clear_non_english_abstract,6d1270b83c325430e71b82a9f8902f8fd66a6161a243f70d568c09631276278d
W2044674512,base,23,2010,non_abstract:acs_webpage_instead_of_abstract,4df0c3127965238e627a11a67790c3ed01aae534a3c72039f22245925cfbe289
W4233854772,base,28,2015,non_abstract:acs_webpage_instead_of_abstract,c4f47f35963117a79eb2047e56405771d817889fa79e67df7d41c94e65c5902d
W4249689553,base,16,2010,clear_non_english_abstract,a49a50a3c6b8be6f27e64bd7ec21d843b3d1538bbd5dd78c25be0052442592c1
