group,n,abstract_sha256,work_ids,action
0,61,022005457d7e85e01e9b0ad5c36d3c653c699a1d30091d5f5db75d8ace6e3dbc,"W2324603214,W4250236288,W3139769870,W4250008896,W3143597089,W4239927407,W4243404666,W4233015379,W4239352436,W2091959032,W4243263368,W4252423548,W2321977842,W1978429542,W4251405041,W4246570723,W2331268080,W4381307788,W3151458832,W2334798137,W4255828140,W4255859836,W3146986291,W4254037785,W4253153754,W4248785581,W4229448598,W4241988357,W4233315048,W4231415063,W4232451583,W2331053694,W3149023054,W2095494576,W4236657021,W4236581785,W4253078465,W4237992619,W2095180864,W4247775626,W4210861647,W4214728654,W4240025441,W4237235633,W4252474879,W4249103558,W4246079549,W4229742750,W4250033554,W4238280575,W4251043487,W4229716988,W4236860227,W4254514861,W4233413277,W4255304538,W3152130865,W2329434213,W4255645032,W4381307805,W4255145279",exclude_template
1,26,c3fbaddcc3f1dfa60ac39867b8fee65202bed81ee37c178a024de00dad3e62e1,"W2808142743,W2895907750,W2907026754,W2914926053,W2973189252,W4231008385,W2925906420,W2808504126,W2972806219,W2972325454,W2807919013,W2908070891,W4232996757,W2896270732,W2907370084,W4226395545,W2972662996,W4407445617,W2973015170,W2972872684,W2927051206,W2972673870,W4285485241,W2930414479,W2907885290,W4285457101",exclude_template
2,25,025234dbbcc09b48d6265c4638099a1ec9906d53cfd75112a21937a022a6f552,"W2977645010,W2089274564,W2152884691,W4387679100,W2329196486,W2590744669,W2114195014,W1985532294,W2112295463,W2898378479,W4291281917,W2033000606,W1975255848,W1980479994,W2006616301,W2044632318,W1646778491,W2045849322,W2031242736,W1490045542,W2072026813,W2017068055,W1965412708,W3123370103,W1570618834",exclude_template
3,20,5db56fb9eaba010c9389574630188b37085869fc0cc8bb178ba463ea8f42a657,"W7211521218,W7211559926,W7210590507,W7210856496,W7210674816,W7211723747,W7210448165,W7211615911,W7210494137,W7210848832,W7211839844,W7211005021,W7211286984,W7211537240,W7210904470,W7211289022,W7210889701,W7210839701,W7210490509,W7210890250",exclude_template
4,17,135a5ae59937f9428d941d7a4d9332adbf1ef1830714bd33bf0b8d2155b57770,"W4229801805,W2317091753,W2315743061,W2564029203,W2515968391,W2320321148,W2330950971,W2515594026,W2600246942,W2316147737,W2328096478,W2325017214,W2317373434,W2324176145,W2319948394,W4239300819,W2598914263",exclude_template
5,17,168425f9cd7271cca5f9be77a6fd2bd7c7cfe8380180571fd393fdeb91bc8e84,"W4392244116,W4385855118,W4403026332,W2069526268,W3049474463,W4388488013,W1965618007,W4404738856,W4283737933,W4401108217,W4200610218,W2004081018,W4243737901,W4390875008,W4293162569,W4400605323,W4390222775",exclude_template
6,16,78e62fa7bfa95d92c067f6d95944b7abbd34d76ffd552195e18bc1a3c2c89884,"W2298227355,W1977296748,W4243153970,W3147508767,W2015970546,W2910923778,W4249766055,W4254092253,W4239902228,W3210575762,W3159059171,W2083734829,W4246643286,W4254003113,W2109434556,W1982236932",exclude_template
7,15,ac6daa5087db5779dace65e62031f819b4a087a582e46cd4c0a42f3b209d4b00,"W4367628008,W4367624503,W4367624871,W4367628055,W4367602278,W4367625663,W4367603017,W4367625290,W4367625717,W4367626911,W4367602368,W4367603096,W4367626740,W4367626102,W4367627325",exclude_template
8,15,c14e47d697bf4a6aba575a0023a89776164f31aeca173d12f05d89cb7defcd50,"W4210521034,W4376545353,W2724117159,W4242779991,W4235401139,W4239511962,W4255089683,W4238503147,W4239460170,W4246079466,W4250592048,W4255412321,W4297969267,W4250651707,W4232922022",exclude_template
9,14,6a7b6011084d14ba785698e6df7729bfce387083bddab5a0ce2439c986632492,"W184350499,W2905130943,W57038021,W173369436,W33070518,W2345754734,W185663359,W2602714316,W1072977764,W7775221,W2902443492,W2751433327,W184832528,W25963034",exclude_template
10,14,83d8a49a95159fa5cdb3248f6a2ad61c89072ac94247e8f9cfd38381a0539882,"W2062419980,W2052125123,W4232446175,W4240749653,W3008432694,W2038836573,W4247611131,W4205174204,W1992353598,W1970249853,W1982175380,W4210900171,W1984514520,W2046693047",exclude_template
11,13,2d5624f5fd8d6914286db9d53dc1df9b68a682a03218c0190a0196e690e96158,"W3082065999,W1010057088,W2784099714,W2183937510,W966684232,W2592592113,W2808050600,W2136499611,W2140469732,W2518621338,W2061591313,W2120271441,W2157496057",exclude_template
12,11,a022f825f1a1b3e50bafd440a4ed1aa22aef363aecbce2119868c6b8d1cfcbac,"W4248824073,W2333779853,W2320946777,W3037372037,W3037229141,W2324218938,W2319121574,W2318408007,W3037374906,W2396601472,W2330679883",exclude_template
13,11,cf4644fd641c1a7fb4be53d34b2447ff10c0a2de7e4843083d3e97c6d67f6f58,"W4386435052,W3108107650,W3007812902,W2906577099,W2997864917,W2913090977,W2899271647,W4200366799,W2989932598,W4318064494,W3120085997",exclude_template
14,10,f586f02c31b91751554fed3e25801a11198aecb0b83e4c4572367255bcb7e10a,"W7211003271,W7209014593,W7209909558,W7210907347,W7209051544,W7210048908,W7209893669,W7210372352,W7210147354,W7210461259",exclude_template
15,9,137e509aa3e83d137b6224e1ad976e88b43535661133264ab3c6d9d87c4e4f39,"W4254487084,W4246795127,W3094598843,W4233424623,W4241975236,W4226119324,W2999998343,W4205810772,W4234328332",record_specific_decisions
16,9,6d6cf3c493eb81194c535416e3a00275e262e039e12d0dd06a1fc48f35377f97,"W2004218956,W2033303137,W2076463550,W2002826680,W2003710723,W2051125742,W2160293120,W4236195905,W2072441276",exclude_template
17,9,739f2a5d14aee03ffbc4558f047c173c19a2dba132f6d567622b88074f4506e6,"W2758986688,W7132985569,W1975890461,W2520491006,W1568588362,W2763049189,W2762131237,W184634745,W7132919214",exclude_template
18,9,8154f373740ee1db1f133e092658e8318fa58eb90ff1b295e97e1ab676a03271,"W2809147525,W2553279383,W4229927568,W2131573296,W2415415041,W4245349901,W2516878831,W4230350161,W2324174801",exclude_template
19,9,b6e9107001e0dd7abfe2514e346a47df5f234e8b6f02d20e8dcd0e02d8308b2e,"W2979772831,W3004524015,W4246272040,W3159287171,W2995766324,W2327096684,W2899687236,W4232436700,W3039593852",exclude_template
20,8,502126adbc5cdf2351dccf3ab635aab07efb43f907f2fef49dc1b2366b6b5ce5,"W2907225236,W2907209100,W2906774711,W2990276207,W2991495214,W2907653908,W3015956973,W2990574965",exclude_template
21,8,544946df770e9727a133edc24f5c73b1d1cb933dd9cba5ab2164d73b715e642d,"W2318248888,W2025648948,W2332858434,W2606643516,W2606791782,W2606650146,W2320762866,W4206319214",record_specific_decisions
22,8,57a45cce5ee92b627541855e7cb305c220f17ba6b53a464171af80441aaf3965,"W2902156810,W2321206770,W4234756940,W4243516808,W2314983538,W4232188089,W2332827238,W4253178146",exclude_template
23,8,6b31ffc4d5e5dd0771864dba8407e611d7442269f043a426a4deb385f08dfbb9,"W2768326954,W2767202040,W2796083086,W2795717256,W2795612430,W2796329473,W2541707309,W2795596509",exclude_template
24,7,10f0b6664f939f6e0bb55dfa737686e806f1de9b4826957b1a57743fd7c719f6,"W2904473662,W4210546379,W4205409682,W4234984995,W4309421213,W4232317281,W4239948998",exclude_template
25,7,5da0881448fe56d6650cb3705d64e2c0d80456fb3dc5822050872638f793c41f,"W4244566345,W4253003242,W4254054559,W4243506320,W4200200764,W4235113810,W4254112713",exclude_template
26,7,b3cd69d336b9f12f6e636a42a530139811e3bf483cc665c29dabc47a770817ae,"W2800861797,W2804284691,W3161413843,W4240773693,W2800461280,W2799385218,W2800737095",exclude_template
27,6,2389295c09d8777b769d8a0261e039c47bac8e149dcbb62aa390e2107064bb93,"W4235414452,W2953919610,W2955825355,W2955077626,W2954600867,W2954720306",exclude_template
28,6,613af694e91a27358824c706bb85fa8967a2f797af8c1f76f1221920b7cf3498,"W4200318176,W4200455572,W4206453924,W4207015177,W4236599424,W4225724822",exclude_template
29,6,8950033852c19d37f029c660300d6f0f9e9c4515d1d9ed533e5918c67b4ad8b3,"W2622156689,W2617999487,W2607705495,W2626803827,W2608051429,W2607792376",keep_flagged
30,6,8a0b8861993433c6c64e48b4aa71713a94be977fd48d1a57a1903108850c3bc8,"W4400011959,W2056621889,W2080288276,W1995580900,W2313757359,W12238598",exclude_template
31,6,9d60edfc5ecc57a0e35c7e624d1107d26a14203234cda8fff4b35df59d198e4a,"W4240646437,W2387921598,W2386842345,W2390708811,W2563653281,W2346707029",exclude_template
32,6,a2c686bc0a2dcef310e24172cbee9ae32cb835cc22587ff31334c7c9b8752aab,"W4249173137,W1823083443,W4244153733,W4248185957,W2268446481,W4238999141",exclude_template
33,6,ae31d598398f17d2c8522f3ba106fd90cb0a422cd331bfc6cf02c5500888f7db,"W4397693638,W4397298424,W4397588192,W4397848600,W4397194301,W4397848424",exclude_template
34,6,c08d1e7db67fceccaebe8f06e4a1c4199a9fe88980faff5c27c5c627c4f2bf73,"W1784270175,W3140899497,W4392651396,W60419814,W4386902367,W764310851",exclude_template
35,5,11e7aba6c7c2098a8bc8c6ed8ff239a5f8e303a7d8a32370657cf063350b3431,"W2768800574,W2906691695,W2769732337,W2906691768,W2906771650",exclude_template
36,5,2837e7d63bc48769124130b4323f03e9c3ff6388da6d28386f128c01cf77711a,"W2077039437,W2078517536,W2087110055,W2059882857,W1967101769",record_specific_decisions
37,5,37e52e143e6411d83d7dda72f6d1d88a3068960d9259a4499c3e448661bb9c4b,"W4405601181,W4405581439,W4405589656,W4405593640,W4405579872",exclude_template
38,5,5ee4b1cd8b36e8c944b3250318d4a167789a746dd5c0a347893eec37e692bd6d,"W970646976,W922186859,W949600911,W932806543,W1151566041",exclude_template
39,5,5fc07e1efe47e3da1297b5275d85364176ceb3d334cbe83b47f1abf4d5741e8c,"W4280593491,W3135849015,W1867650732,W4280549777,W2969024985",exclude_template
40,5,62da538acddf4287dbc2db79f697b4d77587f6731d1953bc0716c999d1950020,"W7211412604,W7210712661,W7211059514,W7211483518,W7211724154",exclude_template
41,5,bb85416dc2a14734ff47bd6bbf72f7195d4229e6ac356b9fe102d2655caae9fd,"W2243893090,W4299492408,W4301037780,W4298282463,W4200499081",exclude_template
42,5,c3e5f52d5f5a1b6da5a30afb376c3dc4ac949a547aa9695afa1e2b62a30326cc,"W2315324761,W4255262900,W2325068239,W4248158316,W2329339765",exclude_template
43,5,d0a93f6a3cd071011a054ec3005a5c6fe3b5a9a7c648d3428f7cf5e52d209f9b,"W2953956926,W4244837857,W4312910915,W4242900485,W4229723431",exclude_template
44,5,d1552443354e0907a30ab2d02dcf17af0d746643f38a0c117b9742f1131daa5f,"W1603754734,W1555626546,W1596023364,W1562289275,W2612127745",exclude_template
45,5,f178374f8b820d581be7f3280dc4447977b06ceacda4905c5cc52c00caa02c50,"W2133532763,W2604895520,W2605340317,W2604913905,W2605341678",exclude_template
46,4,0ba4b896aac9a0d4e9eb793751461469e64344e78a9691c2674435e3d1c592e3,"W1525947421,W151434586,W4232606588,W2215849570",exclude_template
47,4,16a5233a8736c67c408cc36fe97edf58fadcd60dfe85532485204bc326bff5b4,"W2327805453,W2313399887,W2411041673,W2330411208",exclude_template
48,4,3299146907120e6d6da8e9ad1e2696a976438d50fd91187434936b14d3ab3e10,"W4242083079,W4252410098,W4238676782,W4205606701",exclude_template
49,4,6b07208583e46e957b31635557a66ca14c4a515c2c6578b0a6b6966ae11a05ee,"W1964828101,W1988419279,W4247337941,W2093902734",exclude_template
50,4,8958a9a3f5c1a6fda18a4a3457619d5011d3d38f0463a4ed160d44071a0da9f8,"W3033577483,W2042248624,W2009413935,W2757058796",record_specific_decisions
51,4,8c7a0200089fad5316fca303c087eb26eeb6b43dafce82fb9f207ce73f208be2,"W7211601285,W7210745835,W7210972320,W7211769829",exclude_template
52,4,965639744c1d12b56bfbd42ebebb784a74a35a2f592bbed378f3fd4c69dbb6dc,"W4410292259,W4410291746,W4410291670,W4410291699",record_specific_decisions
53,4,98cc455b4d954367febcd51a83df2a9fe5e33cd1ad0bcc8c5a54163e0f159719,"W2971117007,W7210024568,W7209661023,W7207230671",exclude_template
54,4,cbb50942c12dc08fef8a443cbe85b73c32debdbb0d285b16f57a3e622549dfd9,"W7209565908,W7210700552,W7209303740,W7209468423",exclude_template
55,4,d3efd5bcd1ac1c9736606e39690ca214de219cc7619adbaf3d8e218d55418137,"W4297941862,W2741690896,W2595923307,W2980411773",exclude_template
56,4,e408cf25f56300a25a74cfbd26b90331a8b536dec13541e81583dce340f4cdac,"W4230419314,W2113551511,W2025810670,W2164262007",exclude_template
57,4,f8de537bd234428db0da4ab1fe082877932c5139797e31a99fda004e1ac2ce2d,"W2334767047,W2319861587,W2065595537,W2314137213",exclude_template
58,4,fa6b3de6fe7c53e074e5f1cc467b9866fb9b47af7eedf58223a1c0ed66d5f561,"W1496737878,W2100139909,W4298151661,W2595006119",exclude_template
59,3,0224b32c3a65c3243e44a5b6110971b5b2963395965e2bccbf991096cebc3800,"W7211320693,W7211526130,W7210834838",exclude_template
60,3,14e91ca0eef2b523a7640985feb3dea044c9a86d2aa65125cfd3b6a7ae7261cb,"W2510802312,W2049935584,W1976076303",exclude_template
61,3,1793f4a6aaedf91b3c70c9f7427d0e5d8a8bf6668bfaa7dbe76256ee5b633360,"W2790846834,W2789292434,W2791527270",exclude_template
62,3,1b7e8164b59ba066af069ea59e0ca84dffe1465b210b658dfb067006138a596f,"W4252247023,W4252292807,W4229531772",exclude_template
63,3,1f1f1756f26adabbcb803d38b7a0a5733b6fce53398265098e4e9f8828fa63b9,"W4293811159,W4247946830,W4253528005",exclude_template
64,3,3271a4fcca4af8d1fa31a588349deb221e9e0b2c6cf7487cf7b9db5a05a27e3b,"W4405581001,W4405581705,W4405581509",exclude_template
65,3,383352a2562f5b8478bb0049b5c28d01dd4b13f21588198e455d8e45e65d5b41,"W2808739279,W4387064683,W3135739418",exclude_template
66,3,39798359ef2ae9ba11506f427cb2855f8f64e57a6ba0ae2ad93fd04798b4cce0,"W2329287119,W2318975440,W2326093991",exclude_template
67,3,3d1de647b1a1c158a046d808fa739c8a43a1f61aa2f92613ffe2d350fd92fa99,"W599904648,W4313446823,W4293152403",exclude_template
68,3,46063de8b3e060b866e2c37e2204e0274c77d21ca18b313d22a19bf76b442b5a,"W2286245867,W3147424513,W2153882281",exclude_template
69,3,4b56d39ebac4bde432e5e37b6ed76e48f50213429529ca64a3ffe5a2c7bf3f07,"W3108616944,W2279192771,W2531357463",exclude_template
70,3,5d6a1291bf5c8c63aea04a4934e2df1fd278fe9d195dd9e64392216679d2cd77,"W7209143244,W7211415274,W7209210819",keep_flagged
71,3,5d727df5009682098a14b6f73c842dd6abd695a0d36d81dfad4705623e78dd22,"W4224299379,W1882604333,W1551129182",exclude_template
72,3,6042389ff5564f47726ad099ec97487f6fb18b13d285150ea795c31ccaae3e21,"W2970039393,W2915885908,W3084240125",exclude_template
73,3,676706c62acdaf952cddbbc7636a9d4838fbafde70886ee9bf7036f85cafb7ec,"W1964528133,W2315119475,W2134246832",exclude_template
74,3,6f93599fe5c0494e1f9a2e8f055f819f480235cd2e2d0005b5e2a74cbb46eff2,"W4253337999,W2333156402,W2314618661",exclude_template
75,3,76a397b3a912b4140cd6085feea3fd5ef622b625baf731c49b053024c5839e66,"W4387906795,W4387904731,W4387904630",exclude_template
76,3,7e0a76806b8999fc0bafd2046bd52c0f3ffff24fb365becfc38a1ea749ee9be9,"W4235781786,W4250954574,W4251192473",record_specific_decisions
77,3,7e89758fcdeee99e3e7dd71a0702c6ec35278df1fdd0be4cf29838d64cfa2422,"W4300812720,W2809168133,W4299353862",exclude_template
