group,n,abstract_sha256,work_ids,action
124,2,281fbc552219a767bbcc6e82155b0e3cbdf679b8ffad006c2b3aeb4265b63583,"W2792793074,W7149875434",retain_duplicate_group
125,2,287cd18c6f7b81fd4e1989e285c13fc23e08e567ec2639b4deed46f1b2c45447,"W7131275851,W7131215896",retain_duplicate_group
126,2,2a2f81e5b00b6b6eb14726b408690dd394c5cd56e68704bc523ce0953a9d786c,"W4241213524,W4235723242",exclude_template
127,2,2b5f1854d204ba5135eddba5a5e8f24e70c1b002a4d5a0041b93ccd697912b3c,"W3020243413,W3019735723",exclude_template
128,2,2cbfd7cb663da3243cda04d503e79176a4b93d29fce6dec34bffc99d57140242,"W7211257757,W7211655523",exclude_template
129,2,2cdd70945c50f302df7cbc5cf5d9bebf5fab74121179e89620a9ffa319254261,"W4391140038,W4391140076",exclude_template
130,2,2d79ee892d00def35e3f6556ed4da61ba42340ea8240e4b0caaca04b7a2ce222,"W2023104250,W2076710948",exclude_template
131,2,2eb3ea69af3bf3fcf62e946cff5bf4179608d057acfd107d116ce651f41eb4b8,"W2955729487,W2779054796",exclude_template
132,2,2edce82348ee85f1caa5db1a5c05a26ffdbfedd1ab98611ffb29afaaa147aeae,"W2085208129,W4235561832",retain_duplicate_group
133,2,2edec67d37434923da62f1004672f5e0c0a1e13d49d1a1f8040b368b04f8d718,"W4312072259,W4388975120",exclude_template
134,2,2efe870d5d51f8ded3006c7e7e49d454ce2b5580cf684f012a4aef19b5c5bad4,"W2285478652,W2579290143",retain_duplicate_group
135,2,3256a34ed453664a63a3501e8b400698f3a02d6a3864ad83eed05d69da576f99,"W2118811570,W2277300317",exclude_template
136,2,32bf535470106ff16be41b686ac6c93a572b0d34ca3ef6c3243c867e088e346b,"W7203508710,W7203516390",exclude_template
137,2,3361373f2b86509b70c774c1034c1a7d4ddaca4dfeda8c5a0c7b4696fdd702e5,"W4229725506,W4392918346",exclude_template
138,2,34b5c5dfed16b4f60aa3e8d85b62d8108f98342aa2eaefd44fafc793f47f3d58,"W7210672512,W7211502418",keep_flagged
139,2,353600c149cc1d7a40cc4cc202d2c71ae4c924726444dd677c66fb5614f7868d,"W2791955147,W2792954858",exclude_template
140,2,357391effd62abe16b3a5056e14af29eff89c16508a2ee71235f58f6102df6ab,"W7161727586,W7161691820",retain_duplicate_group
141,2,35b88d6f0c031b5489a2f15ecb47b02447ff2313238ded8cc571eb9d58a05a99,"W2603760508,W2731826856",exclude_template
142,2,36f1af680f33f2efd2161284a2ccbcf20da0d9d2b50f6dd49bc8d3ac531dfa3d,"W2183779608,W2187440035",exclude_template
143,2,39d41b83b060f613b8e8b3b57cf7f19d057b49566defee209386c13ed4e1c7ba,"W4284889899,W4288352386",exclude_template
144,2,3b3e2ce2125c731adceccaefa20491cfe3e794cc3425db52fecb5dc890f8fdd8,"W4241556067,W4232158633",keep_flagged
145,2,3e85debae784357f53f160b6e1979a8b0f855b9ef91d99938b5932488a2bc2ec,"W2733864492,W7132952382",retain_duplicate_group
146,2,41bc418ef6acc657c447a74d4b479c8b7f27bb8e6b280bc1164b2175133c8279,"W4397084047,W4397175755",exclude_template
147,2,420a336a661bf1848679446ab95da1aa5f9034753576226c41d76aaaa61854e2,"W4247801528,W4241515211",exclude_template
148,2,426749e34f4de377b3fa8aacf5dced1fda7ee7a9293489fc79fb7e5a15d9c106,"W2091584635,W4245031385",retain_duplicate_group
149,2,44489be6e8d88fef1ad11c42fc4600bf6b9582226b843252392c861f34468dcd,"W4246154681,W3154394738",exclude_template
150,2,44bb2bb2309bd19a81ec20bc534e249de84462d1cafa1f3e50c10be99b03c6f8,"W4310768954,W4310762143",keep_flagged
151,2,44ce84c65bcd0ddc357187cd912d9955a62e45d5272f60a7907bb6d38642743d,"W1582183500,W622595811",keep_flagged
152,2,4538883a58bdf90dd9bbe9adc444cd5fcad4c1f9738642067b694d9767755c14,"W4231405376,W2116125179",retain_duplicate_group
