normalized_text_sha,n,work_ids
b9d1a9ab06df03cd98f8ea0cc799a90c2c9dec10c32f3cd9fa34258320466e05,3,"W4246771658,W4250223270,W4246185356"
bd2539a28c07c499cabcff009179a67f6f769fb85c8d66ef8248dac9b220b536,2,"W4247186501,W2781690531"
be859d83952c0799b87061e567da6e0818490ac3dbd1c4f9860841986bd06bc2,2,"W7134127066,W7134111939"
bfdf3c4fd13de20a98d2a3e664fc99a65285ec3df7f08cdc17d6da8ed906c273,2,"W4399499374,W7145504317"
bff254c396fdccac412509784c0fb23dab3261ecd9099ceef4ac500607397fe6,2,"W4245848106,W2586851166"
c0b508383881ba91544fb52956fae1923fd90190915736f79332b8847b791504,2,"W2069111593,W4241972064"
c5d531412389b17fce426330a900a7bf47882901dd5866eb9549e205a2c9c230,2,"W4213007798,W4254331560"
c73d1817c31407b33b68ef872237810141e52f356cb9e2319bca887341046f4d,2,"W4249154896,W2531436773"
cb9a66a30e619d73261c54b116a0302a69a5027be2dc2dfaa53024a1f6cdaa77,2,"W1968518918,W3015546205"
cc7db1768641f30abd90db0fcf870a9de43c5c8c08beddf20871367ad89ceef6,2,"W7131064555,W7131102395"
cd4b80e2a40b98904f8573b079140d91bc20bde98b82e6aed17c5c8be7ff7c33,2,"W4375826842,W4413846930"
cf269c49d368e8b130889128e6bdb200987d1dee313c44b8a8a1e5307df991d1,2,"W2325918950,W4241791930"
d430c99cf3e0004d11d2e2280ae9f13f5ae3258c77575ecd99716f69f4b8c13d,2,"W7131109815,W7131066731"
d7835b35467098d1c8da7d2b58cb25ba366d077e00d4b482d976f49ebddd87a5,2,"W4242083079,W4252410098"
d89483420a515f6866935fbc56fccf898dd8249a442fa7f14c9d6ebcce183848,7,"W4244566345,W4253003242,W4254054559,W4243506320,W4200200764,W4235113810,W4254112713"
dd974f6602e966bd18a2ddf94d9637d382e687d486bd04c7ce029aecb83d3fa9,2,"W4205751415,W2003400791"
e345045d6c1e0e37ce45937874466e0d713566f1faed1cdce75ea0a1c1552b56,2,"W7131382996,W7131400534"
e6344300d6381a9ea1bc633b9f8d869d11e47b295529c75ff225f3f8bb505bad,2,"W4247801528,W4241515211"
e6ef130819c8328bca456e10846f44104e792e13ea3da75592a5d2e9fffd5254,2,"W7130721799,W7130706806"
e99b06abe70a7661e4d5439cd61312a64ed96df502bcbcd653ab55acbfea7bd0,2,"W4253034411,W2016162681"
e9db87dbcb022018c090f01e71c5826761538b146c148363c7f7b3aad7478719,2,"W4251140442,W4240831711"
ea23f4aa9c229f0c1694c349ef51aa960483235c823197e6f6d633ac9cba7765,3,"W4252247023,W4252292807,W4229531772"
eabc109edfa4f674110b76947735c05ff20c71db816186849322966ffae367c4,2,"W4213067410,W4232142642"
eb11b0833fecefc6aa33bbe2d54a3a43e0496a62d88d97a5591feaca72640545,2,"W7134039439,W7134063428"
eb423dd5edc7dfd18d576270a7ab21e8663ef024919a5a498d42d31f32a2a42d,2,"W4379617814,W4379624818"
ed3a37dc135a9973a011c503556d808a791ec3266d1b0b3975ff7a1dcef9ebcb,2,"W4252024189,W4249102563"
ef0aa52f8790011fae1bdcb5dd1adc5f2aded0650a09e08810542a1e9dca7d4d,2,"W4233037499,W4285602974"
f1acc724960fc91868190842487cd0fc53eee57b98757f6cbaff70eb28cb4407,2,"W4239310027,W4230852969"
fed6acca5cc2f523d9ffa3825923a9d5a1b694f75ad039ac028539daa68b6c00,2,"W4241556067,W4232158633"
fed97561fd59a96659c79f323f2da501bc3d31426c9d5bdcae0a607d27c574bf,2,"W4300802813,W2558343753"
