work_id,selection_order,cohort,text_sha256
W2198028705,1713,base,355fcd86328f41503ddf06008409421ace2a060e3f94d6af8ef807949cebab38
W2965104977,1739,base,023908185ce1894d090eaf79695043dd077f5e85b987f26b433fadc63255646f
W4411192366,1744,base,e3a0e86337f65fb6523931c87b3fd468c8a82664add145d5c205ea4f36d95373
W2438856762,1797,base,879ea91e6f91c802751342deaee2ab0a37e2ebc4490b8a5f9d639d8d63a98710
W2035175739,1828,base,62c6eac57757b047c5eb035967f79fc80e4c446100f54ca7f212e81dbc83b321
W4321600107,1840,base,014d8f691d7676ae59a150434f4ca6c276c0eee6198be684ecbfe00d2107dd8e
W2388192397,1976,base,8c8ac9823cbf694e8a57fb9d1f2055ef4567d09ea4e5bf5e728d803fa262caaa
W2386419512,1995,base,3dead6cae74787ba8de9b91f9e7fda9303166658e1511b0b7067d7489916af4f
W1504091351,2027,base,a64a18207867cedd931fecbb13a643d6f09a9ea421addf192ff19a2485484862
W4378229780,2096,base,ac1687f9bc03d724b4ccffa56aa1e3e7ddd46acca1616817126c7210830c4c85
W2358886641,2256,base,6f49e0498dcdccbc86bdde6a12f77f7967c37be5825d7b9418159d12dfcf2611
W2098648811,2259,base,ad80470d74b0d89931fe730654195adbf3b54845fe24da6c271c828fc13d9e57
W2108987968,2261,base,ef323f69d787b820db5c5cfb559d63f9bd59f73eed73018d3ccc1417abc8638e
W2065949134,2339,base,a7caa6412963bce4cc74a66c60aa19fd4b05b9f04626d95195035a583f5bf5ad
W2382066174,2441,base,2cc57d7947d8f0f1328ea77f8a6a035f4780c4f8e5273a5256922ccc683b7e5e
W4307940663,2577,base,9d16501bcc0caeeaf706238786b8cda627ce2703a0b6ca23df4ad90d5803f540
W2950758232,2629,base,fbfa4b687e822fa374b84e293db5510db8f40973f32bea2e42b4e6b660ef716a
W2136047624,2658,base,6e3ccc200b725312bc9b70cf4bd401f91c9a5705628c85105f1ba31cda0a943c
W2300567086,2662,base,c6e2cf8048e7ca886176e72c62a4aae73163e8a045cafeaeb06520bed415701b
W2313749914,2672,base,5547d4f4971bdfd415ea87caeda2615756594bee1548eced03d7b8088dff83f1
W7133948713,2685,base,fe383fbb2d86841d03e798b158de30a391539757e7c4d10c6011c96d08928b87
W4295777657,2688,base,ee4889434719f95f2cfa75f1d74b626486768caee0ca546b65b42f6418214a3b
W2122986658,2735,base,f0cc765d380d1024de23c445779d0b060a8615bba09174960a5f91b5940a5e70
W3158463007,2741,base,66083f3c5fe2006d8c59b9a991063d3cde2977790d68f658b396ba59a6bfe5ae
W2149740989,2775,base,d2b1e9cf45bc3cd699eafd63068fb85952bc7d1f169b83f424d037c672aab351
W2134816385,2788,base,c5e93e3e38f8cbc979bafafdc71c8c048e8610d8cc5c41654ae80c0a1e7ed5a7
W2157546459,2794,base,929e8f91ae477ac71a34e96caeecbcfe7f5af602d4a80559a0b5cb1382c49cd9
W2795993596,2898,base,601441485f00ced62929a9dba2ca6c86cfc2185a9d38dd9a52b9d6fc3d9a28f4
W2030360107,2915,base,ed4786efe254f64629cdbe80b50726f18f2cc7193ad5a53ac17c74b5df04439e
W3118709000,2928,base,99896ad59e1513a7185fc63fe58446420fa22ef910c5aaaf3c08bca5413b16b2
W2594107025,2929,base,885f008ea4cbf198b84d1c5c94490887e0bd737a3dcd3f3e21117f45a50a195d
W2118519334,3040,base,51d676e04464720387c6733d82a6fac3af0881b3bcc92f11e89da14e879a1af3
W7128497287,3060,base,d2833ddc4541c75e1499a65ad0c5e27c3346cecf5d25a4c36b0a109a5de78868
W2508233799,3075,base,e97f861a297f88170ecd6251d67e9cddb79355a81e26d0077c971ff12bf28a0e
W2393536324,3092,base,6d1c4974a0ac4d2b4289f0f382e65cfce9b3cc539bb86d36ea1600c2649f7bc8
W2021210700,3145,base,903169ac49918e6aa4fb592b94d4174d4789e462e3a3a020a1e6f2769d322ba6
W2334193537,3191,base,36e9c1963a223d4a7cec6630c9704cb8d3e51876b409f3a707283ea41b888b51
W2295339475,3234,base,54435335c12bc74ffe0284dbd19b5c5c864002369b53eff6491a166000d105ca
W2123903331,3281,base,1fef67acfc810c463e9aab0826b6642e2cd17100ea7ddbdbc13297c8107b1f31
W2591345674,3287,base,f3d2e19f965d2248a0d940833014ec8dc66cce045a6d01a38b06690278e3ca57
W2077870318,3288,base,325b72258c04920f57b609ff369a033dcedd65bb9fec5123e4a3e304860cfece
W203237085,3359,base,8793bee1b7fd352bf57749bd79193f8475b6312c0bd946d822fb53984b5f3957
W4280571424,3376,base,a1ba8782ede5e95545f6a87bb6367fdbb7dad614804564b9f989d97aa6061669
W2976476967,3384,base,fe3202d7a5717da3c49526ce79bfb134e703ee23656c5f916657d1304dce82c0
W1974191791,3398,base,afa860c0e152c577282330312e3800f0b16a5e475625252ed55e2122e178d703
W2385928292,3407,base,2239fcf2192ca100bf67adb5d11dad58692ed426b8ac2778e61ca5886a809411
W3166726909,3497,base,46a9c7a36946375e05fe542a77d0cd80e9d54ca640fe215849fca3f7c312aaaa
W2405677883,3543,base,1e5682eb38a03968e454a4ea6134c328c03bba0705e3fca5e0ace48078869991
W1183907286,3588,base,028fb4d054afc4c75697d4ede45762d8404e85d7400c08cf729acf50d29f00a3
W2023641155,3607,base,d6f380f4f31a1eed8665c2514a684ffd6919444903af6bba9ea9b76c3928a479
W2130505663,3655,base,4748d0ad9bcbeb51a2eea68d356262ce583c15b84d724d5ac3a06c63d3ef58ab
W2556375724,3660,base,6b3f250f4ec9a352f6e1af36a6208b5717c75b03270e240fe83079d64689b767
W2410199280,3693,base,98945d3dec4839155846a0e8c941037d92bdf7ad0193c3f32ad67218da5981e8
W2387812324,3749,base,b76f1b3f6ca87616d69fb955faf1c6adc5a09044a2b4f6aabc8854c3c1ea67f5
W2335993409,3781,base,c7f8cbc6063493beae576ac1e9cc99341cadc7610a06e650a7c43834128b3db5
W2887555092,3805,base,49e5ea6f82d6e5b47b1b53eb8111456dabde991f8ca725af7ee6ead4b2ab3576
W4401035540,3825,base,c07fbafca14e4ce4fd4240a79661a792a65539f3e8a778a16f8c41f87ee23e73
W1549873021,3836,base,2a3dd2c999446cffc1efb209924a24bf736963f29df212a9e926998426561f06
W2732290531,3856,base,9218dbda4553b87de18cde420f40cafcba9e835340664b5d0f550c314dfb8faf
W2372179592,3876,base,44e28d56d3fe759080799bcea970c61ddda48a209bde01b90a9dbba84d5474d6
W4239687716,3913,base,b772ae778576a7e9dd4894a29a1749512b59e9ee5a94f92ed0877364e9ec9912
W1978340143,3968,base,9d8249f966eac3f489dc7f95cd2d16398ac2155f4fc5eae013c3d42871f2fa52
W3036381409,3975,base,42ca13aeef5365012046c0af57a00169ddffeb6135760242a8e64c8e3306e386
W2124545762,3978,base,2910a7ee98eda9b07a0dd9dedbc8545f320e0b91028311bc6f5da1a1c2e43bb0
W4254044068,4060,base,546ee5f33dedb6a1c8eab0d67263c1d9beab8f079974066d9ab031f18abafba6
W3212059103,4232,base,8f2b7a37795e5540ae124147ccee59b4e0a44ade535395dc2ab3ad7410c6e2f6
W2428703862,4248,base,3691a99eed9607297f277d0a17458e656d42643b212475b9dec31b139f274477
W4407918602,4260,base,3a881dbc8a9b675d4baf59c2bacebe7783252c7c915293d8c095833a291be56f
W4400819932,4311,base,479ce3eeb70b960ea5d1650c1f2f098acff3f0e6be1d35d954900761567bdc22
W2093508368,4395,base,dbaf4ca4ce3e1aa8b2a04c51dd68772e2ea36b4e1a60ee33fd1eb76d55d2ab13
W4233854772,4434,base,c4f47f35963117a79eb2047e56405771d817889fa79e67df7d41c94e65c5902d
W2387226351,4447,base,c38932ecad9555ec46643514436bda014e4d373e1b84d3c92b0add51c2f9020c
W2104462834,4455,base,31f76cda5a941892e4318fca0915db031c855bab38845988be79049bc522ce6b
W2091847782,4510,base,acf3c0542d57bd1961f4e42425b7bc644961e2832b3251de0ad21c2400870c94
W2884159536,4522,base,16bf082206233a78daac8288a941c1f0e834e299da729866052a6da23ecf78eb
W1605537038,4528,base,d5dbfcadfb72f78d6363fe2335ad0e5ca6975d4067e918548cadcaf7d0273aab
W2207809468,4629,base,de94ea6592e2e5ae84ecd6216845c626272f4360ae70135a160fa19485aca07b
W2025172005,4726,base,2365d0616d012e089e40b0a2398530283c1f3c4b4e2bf8ff67604b1557291972
W1968888513,4727,base,9f235add38e4a5a95977660332123842b188fb4289095484565e6d92015402fe
W134822599,4809,base,fc63a96edf4aa6ab933beb02066d544e56f651a2695a2eba8cdc9486e23510a1
W3134848267,4846,base,70498fa928bbe519024a7b8d849214342fe71f8930774a1bc3d923194f877a80
W1966141505,4873,base,db875c6bdb235716fcb805cb4fb028ce51c5b7489250f51058b142d96767fb4c
W2143996419,4916,base,a8dec1af77d51a04653016b02d45986d51cc584f4e2268b58cfce7959ee6e1a5
W3187328624,4925,base,52cfdf2219d86b273e262864dd054913a20d1beee5300c3a104058e52ecdc3af
W2108729570,5003,base,0b3c35df23f40f99d0f179fc429efe237473f6183bfb4728f755f4e748f7bcab
W2119337287,5018,base,310778cbfefbed468079b629d8eb9c653f764b011d714e42b5600534098c0352
W2333508468,5034,base,d565b0d4dea0b1e5cf09ec8162913ced95c8e50f662fe792c1b3b7cb4bad24dd
W2147952797,5060,base,6b004a8f279d0ba64603c60096a80be5e5300a1a408bc907bbb66282fb3f916f
W4403441694,5075,base,5429457c95bdd91a30bab70f4a2e5da6d4b7ea475150ebdaf97f1779ffbc9dc0
W4404920477,5177,base,7a4ea899eabb61b8c9e545d1d6543d8b221b16e6d31f091699eb8fb36e297bb6
W2129599729,5186,base,dcd0d302ee57431fda62fd4b30f4f1f05c094fee8dc11ac7722a9ef6683a815a
W2360424146,5204,base,f6fd8c961aca234d0968f0a1e6acf884d7d31c1a4633eb5458029d803e86331c
W1941520214,5208,base,bc5d851fa4c1eceff29804b5a343e5aacad028263c3e1f78cf435b4cd87a9f7a
W2392843917,5209,base,913df3aba05413101cbf25db441d7aabd433aa54451c21ee10df546e862618fb
W2955925312,5263,base,697d2cf66bc2af06e04a32428d71b04deeaf32fa9b0cbe007285c13b3200857d
W1596967339,5312,base,771add83810f3b597e680eca9335cce9c7a1e0aedf39dec2a40de5df4a7030ba
W2150467201,5324,base,394b308438f5137e88a7b0267d7554ce072d68fcd4674c452935e8c51892b5fb
W4221127950,5328,base,bf92fb88b0bb366227a93686395d82a148daa7da08e7e93fe7a4c42b015e002b
W4379624277,5337,base,01843ad0a05a554987d4e5cb3bd20790d52df19babf31b39627bd311e6706520
W2188576788,5344,base,0adfb794c86a2ddf78f6b75c72829810e5ad801a9c119bd5b0f21936a8decd27
W1673561308,5387,base,42df0e3d98191e8f478ba1fddac6305eba3210463ca01828c8d90bb8038eaa1b
W2372755968,5413,base,ed1e791f218d879827a235c8f886de36a2855ef174e72f1a8c9ba5cff67d8c5a
W4401455418,5453,base,1aaef5c509eff720ccb56ab91b6a48b330a868e2b7afb6ba6a4db29c3f7258f1
W2039910849,5512,base,c3c81d8ac67ca3264d1a8d25726d0720e6a4b72652cc17ee0b18f3e56077efbb
W2794992549,5564,base,e5c4d1171219e9e1cb90281bc31387ff78c0741ba1232e865f680a2f604087e3
W4294094376,5590,base,d4596ab0dd7b36d469e4a890a288b0e19cdf864f0f4aa7296c09d2a358c1029e
W4280599700,5699,base,594ab0e7d9f42d31246f36587f6f2eb14c03865aa643065f2af4eb7397c02a40
