field_id,repeat,model,input_condition,model_change_at_full,input_change_from_full,model_minus_input
11,0,specter,title,0.3588694515913813,0.18529094172952043,0.17357850986186085
11,0,specter,abstract,0.3588694515913813,0.04587173861581828,0.312997712975563
11,0,specter2,title,0.3962040721366584,0.18779649921592922,0.2084075729207292
11,0,specter2,abstract,0.3962040721366584,0.05069176312680779,0.34551230900985064
11,0,scincl,title,0.364112016191346,0.18916008040073584,0.17495193579061014
11,0,scincl,abstract,0.364112016191346,0.03144461849941904,0.33266739769192694
11,0,scibert,title,0.36423309398050857,0.5487029307923157,-0.18446983681180712
11,0,scibert,abstract,0.36423309398050857,0.017897194044217857,0.3463358999362907
11,0,bert,title,0.3634905719585496,0.42839522367439176,-0.06490465171584214
11,0,bert,abstract,0.3634905719585496,0.013997848896876941,0.34949272306167267
11,0,mpnet,title,0.3605799472052414,0.16504811104021666,0.19553183616502473
11,0,mpnet,abstract,0.3605799472052414,0.02813547724010801,0.3324444699651334
11,0,minilm,title,0.3810895102365803,0.23873857968325796,0.14235093055332232
11,0,minilm,abstract,0.3810895102365803,0.03858991971962933,0.34249959051695095
11,0,pubmedbert,title,0.402478843678984,0.5137220793802579,-0.11124323570127392
11,0,pubmedbert,abstract,0.402478843678984,0.02013036887885622,0.3823484748001278
11,0,biobert,title,0.3820858721420757,0.6717241842952,-0.2896383121531243
11,0,biobert,abstract,0.3820858721420757,0.026769655237133705,0.355316216904942
11,0,simcse,title,0.43989391464599154,0.5251594791985539,-0.08526556455256235
11,0,simcse,abstract,0.43989391464599154,0.029494828877024815,0.4103990857689667
11,1,specter,title,0.3618103493379193,0.18542940611192216,0.17638094322599712
11,1,specter,abstract,0.3618103493379193,0.043643870870828105,0.3181664784670912
11,1,specter2,title,0.3996322414417714,0.19409144871473105,0.20554079272704034
11,1,specter2,abstract,0.3996322414417714,0.05340917712999382,0.3462230643117776
11,1,scincl,title,0.3614301898440552,0.19869363784024152,0.1627365520038137
11,1,scincl,abstract,0.3614301898440552,0.029649009619359012,0.3317811802246962
11,1,scibert,title,0.3657419019046022,0.5551442155691062,-0.189402313664504
11,1,scibert,abstract,0.3657419019046022,0.01503951509320356,0.35070238681139865
11,1,bert,title,0.37001793200557337,0.40603346406642127,-0.0360155320608479
11,1,bert,abstract,0.37001793200557337,0.012782886055760168,0.3572350459498132
11,1,mpnet,title,0.36381660073837285,0.17484843840700603,0.18896816233136682
11,1,mpnet,abstract,0.36381660073837285,0.027681605937812548,0.3361349948005603
11,1,minilm,title,0.38243115991905907,0.24127947734223032,0.14115168257682875
11,1,minilm,abstract,0.38243115991905907,0.036550506166726615,0.34588065375233246
11,1,pubmedbert,title,0.4046721123621433,0.5166751045585473,-0.11200299219640397
11,1,pubmedbert,abstract,0.4046721123621433,0.017267299622179322,0.38740481273996397
11,1,biobert,title,0.36598975606487616,0.65017552341798,-0.28418576735310386
11,1,biobert,abstract,0.36598975606487616,0.023156951608488296,0.34283280445638786
11,1,simcse,title,0.440556674430711,0.5175063105681093,-0.07694963613739825
11,1,simcse,abstract,0.440556674430711,0.029069812764817238,0.41148686166589377
11,2,specter,title,0.3604773831879222,0.1794903351214968,0.1809870480664254
11,2,specter,abstract,0.3604773831879222,0.03965285204055513,0.3208245311473671
11,2,specter2,title,0.4017805187467369,0.18890016779884944,0.2128803509478875
11,2,specter2,abstract,0.4017805187467369,0.049002280359201955,0.35277823838753497
11,2,scincl,title,0.35821736910608243,0.18577447252194257,0.17244289658413986
11,2,scincl,abstract,0.35821736910608243,0.027930306921533088,0.33028706218454934
11,2,scibert,title,0.36876319365860283,0.5568996478770895,-0.18813645421848663
11,2,scibert,abstract,0.36876319365860283,0.01625553555516257,0.35250765810344026
11,2,bert,title,0.36765304942596094,0.41977783464522134,-0.052124785219260394
11,2,bert,abstract,0.36765304942596094,0.012973814803416528,0.3546792346225444
11,2,mpnet,title,0.35993108869157614,0.1697359137710447,0.19019517492053145
11,2,mpnet,abstract,0.35993108869157614,0.02777949228642207,0.33215159640515407
11,2,minilm,title,0.3803229782303521,0.23318848289450345,0.14713449533584866
11,2,minilm,abstract,0.3803229782303521,0.036420306762421806,0.3439026714679303
11,2,pubmedbert,title,0.4155625407149496,0.5225591929372609,-0.10699665222231136
11,2,pubmedbert,abstract,0.4155625407149496,0.018665432706079566,0.39689710800887
11,2,biobert,title,0.38263193988620803,0.6498498670598023,-0.26721792717359427
11,2,biobert,abstract,0.38263193988620803,0.021257131634880744,0.3613748082513273
11,2,simcse,title,0.4373900130871615,0.521365630502973,-0.0839756174158115
11,2,simcse,abstract,0.4373900130871615,0.030498351408855817,0.4068916616783057
11,3,specter,title,0.35619317103832165,0.1766818744729507,0.17951129656537096
11,3,specter,abstract,0.35619317103832165,0.0417936592276148,0.31439951181070686
11,3,specter2,title,0.39364249381082533,0.1859121856190824,0.20773030819174293
11,3,specter2,abstract,0.39364249381082533,0.04631884870298386,0.34732364510784147
11,3,scincl,title,0.36025085620077274,0.1852753216127545,0.17497553458801823
11,3,scincl,abstract,0.36025085620077274,0.0265245102397913,0.33372634596098144
11,3,scibert,title,0.3618148909041173,0.5535225745762027,-0.1917076836720854
11,3,scibert,abstract,0.3618148909041173,0.015464997293980542,0.34634989361013674
11,3,bert,title,0.365251047499309,0.4204700489305254,-0.05521900143121644
11,3,bert,abstract,0.365251047499309,0.0136892118812727,0.3515618356180363
11,3,mpnet,title,0.3590663247610991,0.1681291595471477,0.19093716521395143
11,3,mpnet,abstract,0.3590663247610991,0.023337699521007838,0.3357286252400913
11,3,minilm,title,0.3766577169013503,0.23765700920649857,0.13900070769485173
11,3,minilm,abstract,0.3766577169013503,0.03579163029128396,0.34086608661006634
11,3,pubmedbert,title,0.41040957997262556,0.5100361905714834,-0.09962661059885786
11,3,pubmedbert,abstract,0.41040957997262556,0.01745524550831612,0.39295433446430944
11,3,biobert,title,0.36743656842974776,0.6399091946703659,-0.27247262624061813
11,3,biobert,abstract,0.36743656842974776,0.02330786990550926,0.3441286985242385
11,3,simcse,title,0.4413429597142237,0.5221090705488396,-0.08076611083461588
11,3,simcse,abstract,0.4413429597142237,0.029247737090847603,0.4120952226233761
11,4,specter,title,0.3626238703627496,0.17337980797934516,0.18924406238340447
11,4,specter,abstract,0.3626238703627496,0.04374795219369754,0.3188759181690521
11,4,specter2,title,0.39963560067661696,0.18102276765613878,0.21861283302047818
11,4,specter2,abstract,0.39963560067661696,0.04891582749795331,0.35071977317866365
11,4,scincl,title,0.3648144005558087,0.18090694104140237,0.18390745951440635
11,4,scincl,abstract,0.3648144005558087,0.02896294424320356,0.33585145631260516
11,4,scibert,title,0.3693139025927453,0.5679973242509078,-0.19868342165816244
11,4,scibert,abstract,0.3693139025927453,0.01751787973066521,0.3517960228620801
11,4,bert,title,0.37471266508607215,0.43731788905709,-0.06260522397101786
11,4,bert,abstract,0.37471266508607215,0.012980069617155032,0.3617325954689171
11,4,mpnet,title,0.36534994653283115,0.16919186784814244,0.1961580786846887
11,4,mpnet,abstract,0.36534994653283115,0.028179698557134203,0.33717024797569695
11,4,minilm,title,0.3822146093040664,0.2398295310406111,0.1423850782634553
11,4,minilm,abstract,0.3822146093040664,0.03929063977022251,0.3429239695338439
11,4,pubmedbert,title,0.41666555528152316,0.5545847272407408,-0.13791917195921766
11,4,pubmedbert,abstract,0.41666555528152316,0.018627747287149443,0.3980378079943737
11,4,biobert,title,0.38660715041504573,0.6757868820184733,-0.2891797316034275
11,4,biobert,abstract,0.38660715041504573,0.021906664697920908,0.3647004857171248
11,4,simcse,title,0.4494261995824876,0.5408770878902209,-0.09145088830773335
11,4,simcse,abstract,0.4494261995824876,0.030744542933814123,0.41868165664867346
11,5,specter,title,0.35524869609776705,0.17283481845426774,0.1824138776434993
11,5,specter,abstract,0.35524869609776705,0.04503935522538283,0.3102093408723842
11,5,specter2,title,0.39956274220890975,0.18061278344653486,0.21894995876237489
11,5,specter2,abstract,0.39956274220890975,0.04940742736778525,0.3501553148411245
11,5,scincl,title,0.3619964316710026,0.1779427648555878,0.1840536668154148
11,5,scincl,abstract,0.3619964316710026,0.030053174940532612,0.33194325673047
11,5,scibert,title,0.36522049537348883,0.5438202473821669,-0.17859975200867811
11,5,scibert,abstract,0.36522049537348883,0.01680478555531295,0.3484157098181759
11,5,bert,title,0.36654606687222274,0.4234995103668294,-0.05695344349460668
11,5,bert,abstract,0.36654606687222274,0.013171819055028067,0.3533742478171947
11,5,mpnet,title,0.36341071564903854,0.16141165097505905,0.2019990646739795
11,5,mpnet,abstract,0.36341071564903854,0.027560905844393302,0.33584980980464524
11,5,minilm,title,0.3785914377399624,0.23041802428513203,0.14817341345483037
11,5,minilm,abstract,0.3785914377399624,0.03596355822030772,0.3426278795196547
11,5,pubmedbert,title,0.41575456641716907,0.5233598341238832,-0.10760526770671414
11,5,pubmedbert,abstract,0.41575456641716907,0.018178502350393866,0.3975760640667752
11,5,biobert,title,0.3797628616186114,0.6567600893615346,-0.27699722774292324
11,5,biobert,abstract,0.3797628616186114,0.020786990037555575,0.3589758715810558
11,5,simcse,title,0.43744695856642724,0.5122759387575597,-0.07482898019113249
11,5,simcse,abstract,0.43744695856642724,0.027950439917428294,0.40949651864899894
11,6,specter,title,0.3511468047850934,0.1827360656411896,0.1684107391439038
11,6,specter,abstract,0.3511468047850934,0.04119739182596949,0.3099494129591239
11,6,specter2,title,0.3911990216378139,0.1883260122450936,0.2028730093927203
11,6,specter2,abstract,0.3911990216378139,0.04660584385250599,0.3445931777853079
11,6,scincl,title,0.3539419138943794,0.19100200123608213,0.16293991265829727
11,6,scincl,abstract,0.3539419138943794,0.02516207321892472,0.3287798406754547
11,6,scibert,title,0.3574429749216537,0.5577921601419287,-0.20034918522027495
11,6,scibert,abstract,0.3574429749216537,0.01657289052221278,0.34087008439944094
11,6,bert,title,0.3614063999243917,0.40494140048785776,-0.04353500056346604
11,6,bert,abstract,0.3614063999243917,0.013195182409369788,0.34821121751502193
11,6,mpnet,title,0.35807378439758825,0.172215816149624,0.18585796824796424
11,6,mpnet,abstract,0.35807378439758825,0.0222470449354798,0.33582673946210845
11,6,minilm,title,0.3736765201532731,0.2390864228081253,0.13459009734514776
11,6,minilm,abstract,0.3736765201532731,0.03315492025026634,0.34052159990300673
11,6,pubmedbert,title,0.3984539460464885,0.518990461467686,-0.12053651542119753
11,6,pubmedbert,abstract,0.3984539460464885,0.01754284664859096,0.3809110993978975
11,6,biobert,title,0.36109897668585617,0.6423315366671092,-0.281232559981253
11,6,biobert,abstract,0.36109897668585617,0.023532397129485183,0.337566579556371
11,6,simcse,title,0.4348359944451779,0.512904315207964,-0.07806832076278608
11,6,simcse,abstract,0.4348359944451779,0.030728566010720826,0.40410742843445707
11,7,specter,title,0.3596161638241422,0.17949356823289886,0.18012259559124333
11,7,specter,abstract,0.3596161638241422,0.04027640895166762,0.31933975487247457
11,7,specter2,title,0.39849684308953687,0.1911029712357103,0.20739387185382657
11,7,specter2,abstract,0.39849684308953687,0.04618682379720829,0.3523100192923286
11,7,scincl,title,0.36272600501229246,0.18922532212163645,0.173500682890656
11,7,scincl,abstract,0.36272600501229246,0.025864947156547746,0.3368610578557447
11,7,scibert,title,0.363528318984497,0.5562280260902688,-0.19269970710577178
11,7,scibert,abstract,0.363528318984497,0.017587950068041147,0.34594036891645585
11,7,bert,title,0.368340351558531,0.4254451490211215,-0.057104797462590506
11,7,bert,abstract,0.368340351558531,0.012018781080541774,0.35632157047798924
11,7,mpnet,title,0.36231927744142495,0.16825374421190797,0.19406553322951697
11,7,mpnet,abstract,0.36231927744142495,0.022619289866135928,0.339699987575289
11,7,minilm,title,0.376201337559444,0.23646260702215893,0.13973873053728508
