field_id,metric,model_change_all_inputs,input_change_all_transitions,model_minus_input
11,cka,0.42106987164203213,0.2770720859206354,0.1439977857213967
11,rsa,0.4999730880399772,0.2907178867739447,0.20925520126603248
11,neighbors25,0.6674035555555555,0.5180173333333333,0.1493862222222222
12,cka,0.46672280148337075,0.369466948416188,0.09725585306718276
12,rsa,0.5081378360677888,0.34272741193591816,0.16541042413187068
12,neighbors25,0.7399620740740742,0.6093293333333333,0.13063274074074094
13,cka,0.4362402338081733,0.25776578394754457,0.17847444986062871
13,rsa,0.5171108693922553,0.273468178127871,0.24364269126438426
13,neighbors25,0.6792915555555555,0.500124,0.17916755555555552
14,cka,0.46174182877649633,0.3373622687061298,0.12437956007036655
14,rsa,0.4999572656144931,0.32962950842917377,0.17032775718531934
14,neighbors25,0.7066074074074075,0.5592066666666666,0.14740074074074083
15,cka,0.32365836589298463,0.22116685027097807,0.10249151562200656
15,rsa,0.4162843046688996,0.2651186648588972,0.15116563981000242
15,neighbors25,0.648733925925926,0.5296439999999999,0.11908992592592615
16,cka,0.359642712582754,0.23938925063596778,0.12025346194678621
16,rsa,0.4383437236340926,0.24916563578186438,0.1891780878522282
16,neighbors25,0.6958346666666667,0.556936,0.13889866666666673
17,cka,0.4276504555316478,0.2858934498111277,0.14175700572052014
17,rsa,0.557255265771538,0.3006326809252826,0.25662258484625544
17,neighbors25,0.6795641481481483,0.5274626666666667,0.1521014814814815
18,cka,0.4289827588103492,0.3061031549516296,0.1228796038587196
18,rsa,0.5447144654490536,0.3287629310302015,0.21595153441885206
18,neighbors25,0.6817540740740743,0.5416106666666668,0.1401434074074075
19,cka,0.36391639727493064,0.25714665774301043,0.1067697395319202
19,rsa,0.45535865630352995,0.285756299371041,0.16960235693248893
19,neighbors25,0.6541398518518518,0.5273893333333334,0.12675051851851837
20,cka,0.45920465171714564,0.3420280520679657,0.11717659964917992
20,rsa,0.4987985245530964,0.33528717127161717,0.16351135328147925
20,neighbors25,0.707365037037037,0.568548,0.13881703703703696
21,cka,0.2633164452474439,0.1734128857539333,0.08990355949351062
21,rsa,0.3716232202564136,0.21306493773001328,0.1585582825264003
21,neighbors25,0.6375496296296296,0.515792,0.12175762962962955
22,cka,0.4132466780895575,0.2633282724979426,0.1499184055916149
22,rsa,0.5313982015561624,0.28913823923929555,0.2422599623168668
22,neighbors25,0.6689315555555555,0.5123586666666667,0.15657288888888876
23,cka,0.387662259629123,0.2589914528664836,0.12867080676263937
23,rsa,0.4775878045631397,0.2719272831348634,0.2056605214282763
23,neighbors25,0.652631111111111,0.5095,0.1431311111111111
24,cka,0.42294485228414763,0.2579782255702226,0.16496662671392504
24,rsa,0.5120211048215306,0.28211100810177797,0.22991009671975265
24,neighbors25,0.6916266666666667,0.5074106666666667,0.18421600000000005
25,cka,0.4225864629837448,0.28603393842076413,0.13655252456298067
25,rsa,0.46926197204261055,0.28158617425711535,0.1876757977854952
25,neighbors25,0.6973078518518518,0.5399693333333334,0.15733851851851843
26,cka,0.3891777516106414,0.26594083215923436,0.12323691945140702
26,rsa,0.46246515733347415,0.28613251609823115,0.176332641235243
26,neighbors25,0.6932512592592591,0.5594813333333332,0.13376992592592596
27,cka,0.4788658440522709,0.27794139728317785,0.20092444676909305
27,rsa,0.5626200522236279,0.2905610721457021,0.2720589800779258
27,neighbors25,0.6987822222222221,0.49567333333333335,0.20310888888888873
28,cka,0.3809146430795145,0.2433340412042218,0.1375806018752927
28,rsa,0.48518371457389253,0.27430629500121584,0.2108774195726767
28,neighbors25,0.6470512592592592,0.4950173333333334,0.1520339259259258
29,cka,0.3662502833466784,0.23234267392536653,0.13390760942131189
29,rsa,0.4665270245610203,0.2674015986876244,0.19912542587339588
29,neighbors25,0.6347244444444443,0.48013999999999996,0.15458444444444436
30,cka,0.3886605754592004,0.23874466037405853,0.14991591508514188
30,rsa,0.4764480907163649,0.25676249409620616,0.21968559662015874
30,neighbors25,0.6498370370370369,0.4986879999999999,0.15114903703703697
31,cka,0.38970881446439826,0.27132741253448256,0.1183814019299157
31,rsa,0.5031145752424422,0.29880960975087395,0.20430496549156824
31,neighbors25,0.6709546666666667,0.54166,0.12929466666666667
32,cka,0.42547578984005396,0.2869935884202712,0.1384822014197828
32,rsa,0.5261131563416941,0.30825584778294046,0.21785730855875363
32,neighbors25,0.6876228148148148,0.5265920000000001,0.16103081481481474
33,cka,0.43541258349533507,0.34310022317573524,0.09231236031959983
33,rsa,0.5586301209842418,0.3696951668741379,0.18893495411010391
33,neighbors25,0.7056980740740741,0.5787906666666667,0.12690740740740747
34,cka,0.4248521053189169,0.27109160637348456,0.1537604989454323
34,rsa,0.5309984082772737,0.3033335112054839,0.22766489707178983
34,neighbors25,0.6590628148148148,0.498512,0.16055081481481476
35,cka,0.4120712395768978,0.2854194445396159,0.1266517950372819
35,rsa,0.4624621216610443,0.309289852296225,0.15317226936481926
35,neighbors25,0.6705955555555556,0.5251746666666667,0.14542088888888893
36,cka,0.45876497981085057,0.3138650837812433,0.1448998960296073
36,rsa,0.5502043350878887,0.31145679669684223,0.23874753839104645
36,neighbors25,0.6974885925925927,0.537072,0.16041659259259267
