metric,model,input_condition,field_model_cells,model_change_at_full,input_change_from_full,model_minus_input,cells_model_change_larger
cka,specter,title,26,0.36205915130997784,0.2075151304597385,0.15454402085023933,26
cka,specter,abstract,26,0.36205915130997784,0.044662853527773855,0.3173962977822039,26
cka,specter2,title,26,0.37365168821929484,0.20327087271038424,0.17038081550891063,26
cka,specter2,abstract,26,0.37365168821929484,0.04812202109681871,0.32552966712247616,26
cka,scincl,title,26,0.35965108599252016,0.2053150277594626,0.15433605823305757,26
cka,scincl,abstract,26,0.35965108599252016,0.028361903686807573,0.3312891823057126,26
cka,scibert,title,26,0.356145646539813,0.5310266189133112,-0.1748809723734982,0
cka,scibert,abstract,26,0.356145646539813,0.013683812575792183,0.34246183396402075,26
cka,bert,title,26,0.35789627422722453,0.4185301443716932,-0.060633870144468735,8
cka,bert,abstract,26,0.35789627422722453,0.012529849637971645,0.3453664245892529,26
cka,mpnet,title,26,0.3562753329936361,0.18997345089228262,0.16630188210135352,26
cka,mpnet,abstract,26,0.3562753329936361,0.022072497312031505,0.33420283568160464,26
cka,minilm,title,26,0.37074762199111905,0.24735312934099923,0.12339449265011983,26
cka,minilm,abstract,26,0.37074762199111905,0.03079865749905205,0.339948964492067,26
cka,pubmedbert,title,26,0.38532330127621095,0.5264935522243991,-0.1411702509481882,0
cka,pubmedbert,abstract,26,0.38532330127621095,0.016833336354448027,0.36848996492176284,26
cka,biobert,title,26,0.362586244326427,0.6351181455307289,-0.2725319012043018,0
cka,biobert,abstract,26,0.362586244326427,0.023592501436123323,0.3389937428903037,26
cka,simcse,title,26,0.40989032866199465,0.49406914218312364,-0.084178813521129,0
cka,simcse,abstract,26,0.40989032866199465,0.027792771108903498,0.3820975575530911,26
cka,mean_of_ten_fixed_models,title,260,0.3694226675538218,0.3658665214386123,0.0035561461152094883,138
cka,mean_of_ten_fixed_models,abstract,260,0.3694226675538218,0.02684502042357224,0.3425776471302496,260
rsa,specter,title,26,0.46664762255242054,0.24119210926962295,0.22545551328279753,26
rsa,specter,abstract,26,0.46664762255242054,0.052303874333452696,0.41434374821896786,26
rsa,specter2,title,26,0.5352325455586645,0.25402601982558376,0.28120652573308086,26
rsa,specter2,abstract,26,0.5352325455586645,0.06289540463748883,0.47233714092117585,26
rsa,scincl,title,26,0.4937768252970446,0.21571487906385745,0.27806194623318714,26
rsa,scincl,abstract,26,0.4937768252970446,0.030569002395614997,0.46320782290142964,26
rsa,scibert,title,26,0.43753012214048564,0.6249801026507724,-0.18744998051028675,0
rsa,scibert,abstract,26,0.43753012214048564,0.013611065685220084,0.4239190564552656,26
rsa,bert,title,26,0.4178839431333315,0.43711894046204836,-0.01923499732871685,10
rsa,bert,abstract,26,0.4178839431333315,0.011636004437031482,0.4062479386963001,26
rsa,mpnet,title,26,0.432606619271818,0.21070251451611377,0.22190410475570416,26
rsa,mpnet,abstract,26,0.432606619271818,0.025323946829385494,0.40728267244243244,26
rsa,minilm,title,26,0.4333102523194103,0.26337032424898255,0.16993992807042763,26
rsa,minilm,abstract,26,0.4333102523194103,0.03175300904255596,0.4015572432768542,26
rsa,pubmedbert,title,26,0.4429711944582678,0.5747137048424634,-0.13174251038419577,0
rsa,pubmedbert,abstract,26,0.4429711944582678,0.014828363877436383,0.4281428305808313,26
rsa,biobert,title,26,0.4397424178707663,0.6206986181838834,-0.18095620031311702,0
rsa,biobert,abstract,26,0.4397424178707663,0.02098920487404972,0.4187532129967166,26
rsa,simcse,title,26,0.5028232865053723,0.4826971218606222,0.020126164644750207,19
rsa,simcse,abstract,26,0.5028232865053723,0.022390075803879143,0.4804332107014932,26
rsa,mean_of_ten_fixed_models,title,260,0.46025248291075815,0.39252143349239504,0.06773104941836312,159
rsa,mean_of_ten_fixed_models,abstract,260,0.46025248291075815,0.028629995191611475,0.4316224877191467,260
neighbors25,specter,title,26,0.644454358974359,0.5645138461538461,0.07994051282051284,26
neighbors25,specter,abstract,26,0.644454358974359,0.28036307692307694,0.364091282051282,26
neighbors25,specter2,title,26,0.6691261538461538,0.5660507692307692,0.10307538461538462,26
neighbors25,specter2,abstract,26,0.6691261538461538,0.28583230769230766,0.3832938461538461,26
neighbors25,scincl,title,26,0.6391343589743589,0.5326584615384615,0.10647589743589742,25
neighbors25,scincl,abstract,26,0.6391343589743589,0.21454307692307692,0.42459128205128205,26
neighbors25,scibert,title,26,0.6343876923076923,0.8017969230769231,-0.16740923076923073,0
neighbors25,scibert,abstract,26,0.6343876923076923,0.14115076923076925,0.49323692307692313,26
neighbors25,bert,title,26,0.6596133333333333,0.7882107692307693,-0.12859743589743589,0
neighbors25,bert,abstract,26,0.6596133333333333,0.1586769230769231,0.5009364102564103,26
neighbors25,mpnet,title,26,0.6199023931623933,0.4826092307692307,0.13729316239316242,26
neighbors25,mpnet,abstract,26,0.6199023931623933,0.15964461538461538,0.4602577777777777,26
neighbors25,minilm,title,26,0.632991282051282,0.5461184615384616,0.08687282051282048,26
neighbors25,minilm,abstract,26,0.632991282051282,0.19506307692307695,0.43792820512820513,26
neighbors25,pubmedbert,title,26,0.647123418803419,0.7891292307692308,-0.14200581196581197,0
neighbors25,pubmedbert,abstract,26,0.647123418803419,0.14527230769230767,0.5018511111111111,26
neighbors25,biobert,title,26,0.6382499145299145,0.797716923076923,-0.15946700854700854,0
neighbors25,biobert,abstract,26,0.6382499145299145,0.17123999999999995,0.4670099145299146,26
neighbors25,simcse,title,26,0.7072694017094018,0.7951353846153846,-0.08786598290598291,0
neighbors25,simcse,abstract,26,0.7072694017094018,0.23319846153846158,0.47407094017094015,26
neighbors25,mean_of_ten_fixed_models,title,260,0.6492252307692308,0.666394,-0.017168769230769227,129
neighbors25,mean_of_ten_fixed_models,abstract,260,0.6492252307692308,0.19849846153846154,0.45072676923076926,260
