field_id,recipe,metric,model,input_condition,model_change_at_full,input_change_from_full,model_minus_input
11,mean,cka,specter,title,0.36090062315558097,0.17769024905847264,0.18321037409710833
11,mean,cka,specter,abstract,0.36090062315558097,0.04344819811591161,0.31745242503966936
11,mean,cka,specter2,title,0.3980715706974903,0.1853157870111306,0.21275578368635967
11,mean,cka,specter2,abstract,0.3980715706974903,0.04973152190797636,0.3483400487895139
11,mean,cka,scincl,title,0.36329924693620375,0.1841946457543151,0.17910460118188865
11,mean,cka,scincl,abstract,0.36329924693620375,0.029428812161955253,0.3338704347742485
11,mean,cka,scibert,title,0.3664411427340943,0.5574630991115107,-0.19102195637741642
11,mean,cka,scibert,abstract,0.3664411427340943,0.0163435196833549,0.3500976230507394
11,mean,cka,bert,title,0.3692818789639213,0.42532107049949697,-0.05603919153557568
11,mean,cka,bert,abstract,0.3692818789639213,0.01310997394415958,0.3561719050197617
11,mean,cka,mpnet,title,0.3633105328096203,0.16745567494660918,0.1958548578630111
11,mean,cka,mpnet,abstract,0.3633105328096203,0.026856601509236522,0.33645393130038376
11,mean,cka,minilm,title,0.3803686919195066,0.23523841275744228,0.14513027916206434
11,mean,cka,minilm,abstract,0.3803686919195066,0.037385846502761,0.3429828454167456
11,mean,cka,pubmedbert,title,0.41354440401547987,0.5333890226298301,-0.11984461861435025
11,mean,cka,pubmedbert,abstract,0.41354440401547987,0.017881078483884538,0.39566332553159533
11,mean,cka,biobert,title,0.38667835961110036,0.6671734288788893,-0.28049506926778894
11,mean,cka,biobert,abstract,0.38667835961110036,0.021666084227677462,0.3650122753834229
11,mean,cka,simcse,title,0.4418073375026015,0.5220569941852973,-0.08024965668269579
11,mean,cka,simcse,abstract,0.4418073375026015,0.029342594423902857,0.4124647430786986
11,mean,neighbors10,specter,title,0.6754666666666665,0.5887,0.08676666666666655
11,mean,neighbors10,specter,abstract,0.6754666666666665,0.3325,0.34296666666666653
11,mean,neighbors10,specter2,title,0.7166777777777777,0.6099,0.10677777777777775
11,mean,neighbors10,specter2,abstract,0.7166777777777777,0.32630000000000003,0.3903777777777777
11,mean,neighbors10,scincl,title,0.6781444444444444,0.5679000000000001,0.11024444444444437
11,mean,neighbors10,scincl,abstract,0.6781444444444444,0.2612,0.41694444444444445
11,mean,neighbors10,scibert,title,0.6728222222222223,0.8482000000000001,-0.17537777777777774
11,mean,neighbors10,scibert,abstract,0.6728222222222223,0.16510000000000002,0.5077222222222223
11,mean,neighbors10,bert,title,0.7025555555555555,0.8388,-0.1362444444444445
11,mean,neighbors10,bert,abstract,0.7025555555555555,0.1874,0.5151555555555555
11,mean,neighbors10,mpnet,title,0.6639666666666666,0.5105999999999999,0.15336666666666665
11,mean,neighbors10,mpnet,abstract,0.6639666666666666,0.1976000000000001,0.4663666666666665
11,mean,neighbors10,minilm,title,0.6886999999999999,0.5946,0.09409999999999985
11,mean,neighbors10,minilm,abstract,0.6886999999999999,0.24459999999999993,0.44409999999999994
11,mean,neighbors10,pubmedbert,title,0.6835,0.8094,-0.1259
11,mean,neighbors10,pubmedbert,abstract,0.6835,0.16790000000000005,0.5156
11,mean,neighbors10,biobert,title,0.6772555555555555,0.8360000000000001,-0.15874444444444458
11,mean,neighbors10,biobert,abstract,0.6772555555555555,0.1986000000000001,0.4786555555555554
11,mean,neighbors10,simcse,title,0.7618666666666667,0.8506,-0.08873333333333333
11,mean,neighbors10,simcse,abstract,0.7618666666666667,0.27390000000000003,0.48796666666666666
11,mean,neighbors25,specter,title,0.6187244444444444,0.5152000000000001,0.10352444444444431
11,mean,neighbors25,specter,abstract,0.6187244444444444,0.27056,0.3481644444444444
11,mean,neighbors25,specter2,title,0.6670666666666667,0.54452,0.12254666666666669
11,mean,neighbors25,specter2,abstract,0.6670666666666667,0.2872,0.3798666666666667
11,mean,neighbors25,scincl,title,0.6232933333333333,0.50392,0.11937333333333322
11,mean,neighbors25,scincl,abstract,0.6232933333333333,0.21736,0.40593333333333326
11,mean,neighbors25,scibert,title,0.6176266666666667,0.7986,-0.18097333333333332
11,mean,neighbors25,scibert,abstract,0.6176266666666667,0.13796000000000008,0.4796666666666666
11,mean,neighbors25,bert,title,0.6444177777777778,0.7702,-0.12578222222222224
11,mean,neighbors25,bert,abstract,0.6444177777777778,0.1522,0.49221777777777775
11,mean,neighbors25,mpnet,title,0.6118888888888888,0.46084,0.1510488888888888
11,mean,neighbors25,mpnet,abstract,0.6118888888888888,0.16571999999999998,0.44616888888888884
11,mean,neighbors25,minilm,title,0.6370622222222222,0.5436,0.09346222222222222
11,mean,neighbors25,minilm,abstract,0.6370622222222222,0.21336,0.4237022222222222
