input_condition,mean_cka,mean_rsa,mean_neighbors25
title,0.5227466257708733,0.44304090351624115,0.271122188034188
abstract,0.6225904972665648,0.5307585340401847,0.34459090598290604
title_abstract,0.6305773324461782,0.5397475170892418,0.3507747692307692
