field_id,field_name,cka_primary,cka_quality,cka_cls,cka_sep,neighbors_2048_mean_k25
11,Agricultural and Biological Sciences,0.618462411663424,0.6379591446807916,0.5271365853554453,0.5467738892645386,0.33226762152777783
12,Arts and Humanities,0.5839256274587381,0.6280866370256311,0.509618556935672,0.484126676080846,0.2640633680555556
13,"Biochemistry, Genetics and Molecular Biology",0.6101860254803195,0.6204439799315236,0.5137199939961504,0.5427772552433016,0.32928715277777787
14,"Business, Management and Accounting",0.5803858925143162,0.5992830879564544,0.4943079902264495,0.490422355632548,0.2842342013888889
15,Chemical Engineering,0.7055739988450223,0.7223437972573199,0.5787519482078924,0.6045690013228873,0.330511545138889
16,Chemistry,0.6779773925169634,0.6777353748739111,0.5955384039988453,0.5917004913305475,0.3006311631944445
17,Computer Science,0.6280606348990578,0.6394430855675415,0.5409569505162697,0.5450796795829052,0.32344800347222225
18,Decision Sciences,0.6285507002960264,0.6412252764379976,0.5405621718562902,0.5435106623768083,0.32927013888888895
19,Earth and Planetary Sciences,0.6770512559094535,0.698563663947778,0.5722475295456532,0.5748839078643002,0.33984236111111116
20,"Economics, Econometrics and Finance",0.5965681671165799,0.6238796760611398,0.5198438059443997,0.5090236174981161,0.3024520833333334
21,Energy,0.7831750286089306,0.7954910739480493,0.6924449314839916,0.684105756199606,0.33969809027777775
22,Engineering,0.6231435199863642,0.6377934806157352,0.5196081395085247,0.5309883657490418,0.32572829861111113
23,Environmental Science,0.6476515119515149,0.6677479419833647,0.5573708153761825,0.5782716535565254,0.3403096354166667
24,Immunology and Microbiology,0.6419521437590641,0.6524492467959393,0.5274534140090852,0.5680139978504387,0.31024383680555556
25,Materials Science,0.6299221592420226,0.640479074068503,0.5172812708396884,0.5306274410035065,0.3047686631944445
26,Mathematics,0.671352412747927,0.7189335591710867,0.6078604767460343,0.5693966515429891,0.2913875000000001
27,Medicine,0.5538020180634821,0.5664994254376186,0.4622192539868032,0.4849353233149453,0.29816032986111113
28,Neuroscience,0.6561636908911221,0.6670608010754934,0.5417026467887341,0.5805570116246218,0.34866380208333336
29,Nursing,0.6682194766831454,0.6826383974290182,0.5685995557050679,0.6010477976844809,0.3438388020833334
30,"Pharmacology, Toxicology and Pharmaceutics",0.6490608015134164,0.6470448513889957,0.5590931152821119,0.5665968733244107,0.33468862847222225
31,Physics and Astronomy,0.6666338272980586,0.6843558205534717,0.5694467672463508,0.5501900359261086,0.33265
32,Psychology,0.6079966117254658,0.6233369367995688,0.5172447517770812,0.5306958151144188,0.3108683159722223
33,Social Sciences,0.6054145261833048,0.6331314725526316,0.527638130344433,0.5118195588255797,0.28414097222222223
34,Veterinary,0.622173685000815,0.6349811564570356,0.5131993512189076,0.5444239209029076,0.3444631944444445
35,Dentistry,0.6348024680799674,0.6504748142158167,0.5039863145045143,0.5422072764512269,0.33202803819444443
36,Health Professions,0.5808056314562667,0.5989013979793995,0.49423193501022694,0.5022633973159766,0.30584678819444444
