field_id,period_start,model_a,model_b,k,all_candidates,fixed_queries,all_queries_all_candidates,fixed_queries_all_candidates,fixed_queries_2048_candidates,query_selection_change,candidate_change_same_queries
11,2000,specter,specter2,10,2166,2048,0.32585410895660205,0.327685546875,0.3322265625,0.00183143791839796,0.004541015624999978
11,2000,specter,specter2,25,2166,2048,0.367202216066482,0.3680859375,0.3725390625000001,0.0008837214335180033,0.004453125000000058
11,2000,specter,specter2,50,2166,2048,0.40529085872576176,0.4058984375,0.40924804687500005,0.0006075787742382266,0.003349609375000062
11,2000,specter,scincl,10,2166,2048,0.45554016620498616,0.4568359375,0.46162109375000004,0.0012957712950138478,0.004785156250000033
11,2000,specter,scincl,25,2166,2048,0.5028993536472761,0.5037109375,0.5078710937500001,0.0008115838527238406,0.004160156250000102
11,2000,specter,scincl,50,2166,2048,0.5447553093259464,0.545205078125,0.5485058593750001,0.0004497687990535626,0.0033007812500001066
11,2000,specter,scibert,10,2166,2048,0.2496768236380425,0.25185546875,0.25527343750000003,0.002178645111957478,0.0034179687500000555
11,2000,specter,scibert,25,2166,2048,0.29484764542936287,0.296875,0.30152343750000005,0.00202735457063713,0.004648437500000047
11,2000,specter,scibert,50,2166,2048,0.3325023084025854,0.333876953125,0.33809570312500004,0.0013746447224146086,0.004218750000000049
11,2000,specter,bert,10,2166,2048,0.21735918744228994,0.218994140625,0.22250976562500002,0.0016349531827100638,0.003515625000000022
11,2000,specter,bert,25,2166,2048,0.2600184672206833,0.2608203125,0.26416015625,0.0008018452793167041,0.0033398437500000155
11,2000,specter,bert,50,2166,2048,0.29857802400738687,0.2995703125,0.30302734375,0.0009922884926131248,0.00345703125000002
11,2000,specter,mpnet,10,2166,2048,0.3997691597414589,0.4013671875,0.404248046875,0.0015980277585411207,0.002880859374999989
11,2000,specter,mpnet,25,2166,2048,0.4437119113573407,0.44453125,0.4467968750000001,0.0008193386426592619,0.0022656250000001044
11,2000,specter,mpnet,50,2166,2048,0.4857710064635273,0.48552734375,0.48868164062499997,-0.00024366271352727065,0.0031542968749999623
11,2000,specter,minilm,10,2166,2048,0.35290858725761776,0.353955078125,0.357177734375,0.0010464908673822326,0.003222656250000011
11,2000,specter,minilm,25,2166,2048,0.40022160664819945,0.4003125,0.4023242187500001,9.089335180056946e-05,0.0020117187500000577
11,2000,specter,minilm,50,2166,2048,0.4380332409972299,0.438330078125,0.44158203125000006,0.00029683712777012206,0.00325195312500004
11,2000,specter,pubmedbert,10,2166,2048,0.23333333333333334,0.235009765625,0.23955078125,0.0016764322916666685,0.0045410156250000056
11,2000,specter,pubmedbert,25,2166,2048,0.2706555863342567,0.27212890625,0.27685546875,0.001473319915743343,0.004726562499999976
11,2000,specter,pubmedbert,50,2166,2048,0.30740535549399817,0.308857421875,0.313349609375,0.0014520663810018153,0.004492187500000022
11,2000,specter,biobert,10,2166,2048,0.23822714681440443,0.239990234375,0.243798828125,0.0017630875605955665,0.0038085937500000056
11,2000,specter,biobert,25,2166,2048,0.2795567867036011,0.28125,0.28658203125000004,0.0016932132963988766,0.0053320312500000355
11,2000,specter,biobert,50,2166,2048,0.3159279778393352,0.317021484375,0.321591796875,0.0010935065356648122,0.004570312500000007
11,2000,specter,simcse,10,2166,2048,0.19330563250230842,0.19443359375,0.197314453125,0.0011279612476915724,0.0028808593750000167
11,2000,specter,simcse,25,2166,2048,0.2336657433056325,0.23416015625,0.23673828125000004,0.0004944129443675005,0.002578125000000042
11,2000,specter,simcse,50,2166,2048,0.2690304709141274,0.268828125,0.27142578125000005,-0.00020234591412743308,0.00259765625000008
