field_id,recipe,k,model_a,input_a,model_b,input_b,kind,mean_overlap
11,mean,10,scibert,abstract,minilm,abstract,model,0.22879999999999998
11,mean,10,scibert,abstract,pubmedbert,abstract,model,0.5365
11,mean,10,scibert,abstract,biobert,abstract,model,0.5384
11,mean,10,scibert,abstract,simcse,abstract,model,0.2492
11,mean,10,scibert,abstract,scibert,title_abstract,input,0.8349
11,mean,10,bert,abstract,mpnet,abstract,model,0.23620000000000002
11,mean,10,bert,abstract,minilm,abstract,model,0.23479999999999998
11,mean,10,bert,abstract,pubmedbert,abstract,model,0.38180000000000003
11,mean,10,bert,abstract,biobert,abstract,model,0.4204
11,mean,10,bert,abstract,simcse,abstract,model,0.3606
11,mean,10,bert,abstract,bert,title_abstract,input,0.8126
11,mean,10,mpnet,abstract,minilm,abstract,model,0.5226
11,mean,10,mpnet,abstract,pubmedbert,abstract,model,0.2332
11,mean,10,mpnet,abstract,biobert,abstract,model,0.2387
11,mean,10,mpnet,abstract,simcse,abstract,model,0.21269999999999997
11,mean,10,mpnet,abstract,mpnet,title_abstract,input,0.8023999999999999
11,mean,10,minilm,abstract,pubmedbert,abstract,model,0.2198
11,mean,10,minilm,abstract,biobert,abstract,model,0.23079999999999998
11,mean,10,minilm,abstract,simcse,abstract,model,0.2204
11,mean,10,minilm,abstract,minilm,title_abstract,input,0.7554000000000001
11,mean,10,pubmedbert,abstract,biobert,abstract,model,0.5509999999999999
11,mean,10,pubmedbert,abstract,simcse,abstract,model,0.2453
11,mean,10,pubmedbert,abstract,pubmedbert,title_abstract,input,0.8321
11,mean,10,biobert,abstract,simcse,abstract,model,0.2652
11,mean,10,biobert,abstract,biobert,title_abstract,input,0.8013999999999999
11,mean,10,simcse,abstract,simcse,title_abstract,input,0.7261
11,mean,10,specter,title_abstract,specter2,title_abstract,model,0.3694
11,mean,10,specter,title_abstract,scincl,title_abstract,model,0.4873
11,mean,10,specter,title_abstract,scibert,title_abstract,model,0.2763
11,mean,10,specter,title_abstract,bert,title_abstract,model,0.244
11,mean,10,specter,title_abstract,mpnet,title_abstract,model,0.434
11,mean,10,specter,title_abstract,minilm,title_abstract,model,0.37770000000000004
11,mean,10,specter,title_abstract,pubmedbert,title_abstract,model,0.2561
11,mean,10,specter,title_abstract,biobert,title_abstract,model,0.2616
11,mean,10,specter,title_abstract,simcse,title_abstract,model,0.2144
11,mean,10,specter2,title_abstract,scincl,title_abstract,model,0.4141
11,mean,10,specter2,title_abstract,scibert,title_abstract,model,0.2314
11,mean,10,specter2,title_abstract,bert,title_abstract,model,0.1928
11,mean,10,specter2,title_abstract,mpnet,title_abstract,model,0.398
11,mean,10,specter2,title_abstract,minilm,title_abstract,model,0.34740000000000004
11,mean,10,specter2,title_abstract,pubmedbert,title_abstract,model,0.2109
11,mean,10,specter2,title_abstract,biobert,title_abstract,model,0.209
11,mean,10,specter2,title_abstract,simcse,title_abstract,model,0.1769
11,mean,10,scincl,title_abstract,scibert,title_abstract,model,0.24889999999999998
11,mean,10,scincl,title_abstract,bert,title_abstract,model,0.21669999999999998
