metric,field_id,input_condition,model_change_at_full,input_change_from_full,model_minus_input
cka,11,title,0.3843703788345558,0.3655298384832994,0.018840540351256374
cka,11,abstract,0.3843703788345558,0.02851942309608201,0.3558509557384738
cka,12,title,0.426597431552763,0.4909935529099725,-0.06439612135720944
cka,12,abstract,0.426597431552763,0.041271725532260786,0.3853257060205022
cka,13,title,0.4008996684175118,0.34243363505785473,0.05846603335965719
cka,13,abstract,0.4008996684175118,0.02503022739524935,0.3758694410222625
cka,14,title,0.42247751574930853,0.44680350699061694,-0.024325991241308426
cka,14,abstract,0.42247751574930853,0.033184335147216394,0.38929318060209206
cka,15,title,0.2901586244015108,0.28716233926541584,0.002996285136095017
cka,15,abstract,0.2901586244015108,0.024938021005533127,0.2652206033959777
cka,16,title,0.3250385198391421,0.2968362009480744,0.028202318891067685
cka,16,abstract,0.3250385198391421,0.03700733189819799,0.288031187940944
cka,17,title,0.38120615462582247,0.386256675526589,-0.0050505209007665084
cka,17,abstract,0.38120615462582247,0.022864729941059057,0.35834142468476343
cka,18,title,0.3830803485312711,0.4085234322405866,-0.02544308370931552
cka,18,abstract,0.3830803485312711,0.028525604244973933,0.35455474428629713
cka,19,title,0.3216465261919309,0.3392552585092677,-0.01760873231733674
cka,19,abstract,0.3216465261919309,0.026142435015725562,0.29550409117620535
cka,20,title,0.41521446219601127,0.4534580199051095,-0.03824355770909816
cka,20,abstract,0.41521446219601127,0.035926802496594266,0.379287659699417
cka,21,title,0.22483888350150502,0.22486906661466258,-3.0183113157528085e-05
cka,21,abstract,0.22483888350150502,0.019038597522454893,0.20580028597905015
cka,22,title,0.37555615424805,0.34751576293900077,0.02804039130904924
cka,22,abstract,0.37555615424805,0.02641517980185587,0.34914097444619413
cka,23,title,0.3462564361149726,0.3460175591646092,0.00023887695036329816
cka,23,abstract,0.3462564361149726,0.02260596376692391,0.3236504723480486
cka,24,title,0.38945739581751815,0.3472252085487929,0.042232187268725255
cka,24,abstract,0.38945739581751815,0.021896816345375547,0.36756057947214266
cka,25,title,0.3824755569363469,0.37303923832345875,0.009436318612888133
cka,25,abstract,0.3824755569363469,0.032154236313891825,0.3503213206224551
cka,26,title,0.33538098246653714,0.35351971778972113,-0.01813873532318396
cka,26,abstract,0.33538098246653714,0.024911677322436276,0.31046930514410087
cka,27,title,0.444369200243292,0.3775942349518368,0.06677496529145524
cka,27,abstract,0.444369200243292,0.022183007387106667,0.42218619285618536
cka,28,title,0.3396592308346917,0.33010961772297537,0.009549613111716315
cka,28,abstract,0.3396592308346917,0.017960693782529902,0.3216985370521618
cka,29,title,0.3326691729871804,0.3115494109114133,0.02111976207576711
cka,29,abstract,0.3326691729871804,0.020558556730006783,0.3121106162571736
cka,30,title,0.35231620958239995,0.3149038047893435,0.03741240479305655
cka,30,abstract,0.35231620958239995,0.024666706293520045,0.32764950328888
cka,31,title,0.34172108742203894,0.3607243128925659,-0.01900322547052701
