outcome,period_start,comparisons,mean,median,min,max,q05,q95
cka_primary,2000,1170,0.6281051768038047,0.6008557708845236,0.34082613214991236,0.901923461094055,0.4333636263285809,0.8429152858101674
cka_primary,2005,1170,0.6309941003434619,0.6044532561468108,0.3384813679247646,0.9172921181359941,0.4325999735331288,0.8473939775977067
cka_primary,2010,1170,0.6328118183517535,0.6049629242002873,0.34837795398436583,0.9196748027619358,0.43901833347878794,0.8520707253650781
cka_primary,2015,1170,0.64174831626156,0.6128259381299959,0.36223190733285393,0.9198809999461295,0.44656441045048395,0.8493898319391224
cka_primary,2020,1170,0.6488428228337982,0.6225235235835659,0.3549338320166256,0.9192780603707931,0.45275797772214105,0.8566189097010064
rsa_spearman_primary,2000,1170,0.5363148736227867,0.5065303542220776,0.0789519964546894,0.9016602213536498,0.25856116986912187,0.8458381449221998
rsa_spearman_primary,2005,1170,0.5394377253053199,0.5116552993151371,0.09519851814999622,0.9024300675390842,0.26321371473343397,0.8467316783095026
rsa_spearman_primary,2010,1170,0.5436403805434914,0.5103049377318962,0.09715291039502813,0.9013030518302615,0.2703104505244761,0.8475942558654849
rsa_spearman_primary,2015,1170,0.5555228517656324,0.5241062657325186,0.1296166332855415,0.9058268062690636,0.2838867086092415,0.8430779209576739
rsa_spearman_primary,2020,1170,0.5666663162212465,0.5362451459141109,0.19502514566856413,0.9160174642450444,0.31458180931620516,0.8449683899531751
procrustes_similarity_primary,2000,1170,0.6661540978237452,0.6476033344247303,0.4959103069968293,0.8478110241399888,0.5619514334017942,0.8144905597163266
procrustes_similarity_primary,2005,1170,0.6649276296461094,0.6469729417732399,0.4913919592831931,0.8482252070838745,0.5580132562933755,0.8142367016094425
procrustes_similarity_primary,2010,1170,0.6646497879126959,0.6480240680777283,0.49031148856442575,0.8488065455617695,0.5572355557494494,0.8174102313105641
procrustes_similarity_primary,2015,1170,0.666187105543069,0.6485364578455051,0.4926631050380375,0.8516651054103603,0.5584342307845033,0.8159150592165697
procrustes_similarity_primary,2020,1170,0.668084528444335,0.6519874180001148,0.49498794680863806,0.8529783458836818,0.5597750280588448,0.8183412892675871
cka_raw,2000,1170,0.6182577044617834,0.5912058072677809,0.33683440717145524,0.8924543307512588,0.4194451319730589,0.8321234380850416
cka_raw,2005,1170,0.6205586649199797,0.5938610456534963,0.33648231379673366,0.9132068300859015,0.42261850673038215,0.8351256826988824
cka_raw,2010,1170,0.6213419434072117,0.5945550356325447,0.3458967339674101,0.9147749698610543,0.42717410058771704,0.8403615772228468
cka_raw,2015,1170,0.6296348232683896,0.5997468254156471,0.3400283768242944,0.9103006390521307,0.4351514135766417,0.8411748874008601
cka_raw,2020,1170,0.6383733762638226,0.6130474421251115,0.3178961998867059,0.913610043238679,0.4416186289138708,0.8491068827696865
