field_id,recipe,model_a,input_a,model_b,input_b,kind,cka_debiased
11,mean,bert,abstract,bert,title_abstract,input,0.9868900260558404
11,mean,mpnet,abstract,minilm,abstract,model,0.8082082325333786
11,mean,mpnet,abstract,pubmedbert,abstract,model,0.4623652727363523
11,mean,mpnet,abstract,biobert,abstract,model,0.5046045007259881
11,mean,mpnet,abstract,simcse,abstract,model,0.5174691863565272
11,mean,mpnet,abstract,mpnet,title_abstract,input,0.9731433984907635
11,mean,minilm,abstract,pubmedbert,abstract,model,0.4562131572027677
11,mean,minilm,abstract,biobert,abstract,model,0.4955550422160811
11,mean,minilm,abstract,simcse,abstract,model,0.5411186134449025
11,mean,minilm,abstract,minilm,title_abstract,input,0.962614153497239
11,mean,pubmedbert,abstract,biobert,abstract,model,0.8453313657475147
11,mean,pubmedbert,abstract,simcse,abstract,model,0.5618668952226581
11,mean,pubmedbert,abstract,pubmedbert,title_abstract,input,0.9821189215161155
11,mean,biobert,abstract,simcse,abstract,model,0.5868710706569322
11,mean,biobert,abstract,biobert,title_abstract,input,0.9783339157723225
11,mean,simcse,abstract,simcse,title_abstract,input,0.9706574055760971
11,mean,specter,title_abstract,specter2,title_abstract,model,0.7288868130194162
11,mean,specter,title_abstract,scincl,title_abstract,model,0.8339136226399926
11,mean,specter,title_abstract,scibert,title_abstract,model,0.572400606506828
11,mean,specter,title_abstract,bert,title_abstract,model,0.5608380286326626
11,mean,specter,title_abstract,mpnet,title_abstract,model,0.7820953021537367
11,mean,specter,title_abstract,minilm,title_abstract,model,0.724145185490481
11,mean,specter,title_abstract,pubmedbert,title_abstract,model,0.49648530707405375
11,mean,specter,title_abstract,biobert,title_abstract,model,0.5334547448113716
11,mean,specter,title_abstract,simcse,title_abstract,model,0.5196747812712286
11,mean,specter2,title_abstract,scincl,title_abstract,model,0.7971805857104475
11,mean,specter2,title_abstract,scibert,title_abstract,model,0.5435367436475907
11,mean,specter2,title_abstract,bert,title_abstract,model,0.5127597530985966
11,mean,specter2,title_abstract,mpnet,title_abstract,model,0.7451919352637492
11,mean,specter2,title_abstract,minilm,title_abstract,model,0.6892900431914495
11,mean,specter2,title_abstract,pubmedbert,title_abstract,model,0.45755758831858817
11,mean,specter2,title_abstract,biobert,title_abstract,model,0.4878477545900008
11,mean,specter2,title_abstract,simcse,title_abstract,model,0.45510464688274893
11,mean,scincl,title_abstract,scibert,title_abstract,model,0.5519752791113851
11,mean,scincl,title_abstract,bert,title_abstract,model,0.5481499545763434
11,mean,scincl,title_abstract,mpnet,title_abstract,model,0.7944445863786355
11,mean,scincl,title_abstract,minilm,title_abstract,model,0.7351140377423836
11,mean,scincl,title_abstract,pubmedbert,title_abstract,model,0.46524665344419663
11,mean,scincl,title_abstract,biobert,title_abstract,model,0.5036108169724074
11,mean,scincl,title_abstract,simcse,title_abstract,model,0.5006712409983749
11,mean,scibert,title_abstract,bert,title_abstract,model,0.7245557938063846
11,mean,scibert,title_abstract,mpnet,title_abstract,model,0.5353538762876519
11,mean,scibert,title_abstract,minilm,title_abstract,model,0.527226521214699
11,mean,scibert,title_abstract,pubmedbert,title_abstract,model,0.8250601604414642
11,mean,scibert,title_abstract,biobert,title_abstract,model,0.8206018133409431
11,mean,scibert,title_abstract,simcse,title_abstract,model,0.6013189210362045
11,mean,bert,title_abstract,mpnet,title_abstract,model,0.5634238826046137
11,mean,bert,title_abstract,minilm,title_abstract,model,0.584942986676173
11,mean,bert,title_abstract,pubmedbert,title_abstract,model,0.6986656445174547
11,mean,bert,title_abstract,biobert,title_abstract,model,0.7372504289979522
11,mean,bert,title_abstract,simcse,title_abstract,model,0.7458766164145281
11,mean,mpnet,title_abstract,minilm,title_abstract,model,0.8124618829355557
11,mean,mpnet,title_abstract,pubmedbert,title_abstract,model,0.47050561914443095
11,mean,mpnet,title_abstract,biobert,title_abstract,model,0.5113583196083
11,mean,mpnet,title_abstract,simcse,title_abstract,model,0.5153698003367438
11,mean,minilm,title_abstract,pubmedbert,title_abstract,model,0.46348776734377994
11,mean,minilm,title_abstract,biobert,title_abstract,model,0.5030955216748992
11,mean,minilm,title_abstract,simcse,title_abstract,model,0.5369178264550193
11,mean,pubmedbert,title_abstract,biobert,title_abstract,model,0.8374834289995979
11,mean,pubmedbert,title_abstract,simcse,title_abstract,model,0.5636081945771142
11,mean,biobert,title_abstract,simcse,title_abstract,model,0.5851919345046248
11,cls,specter,title,specter2,title,model,0.6855926823473547
11,cls,specter,title,scincl,title,model,0.7478716742386604
11,cls,specter,title,scibert,title,model,0.541942983418383
11,cls,specter,title,bert,title,model,0.35066820264126214
11,cls,specter,title,mpnet,title,model,0.666426898667159
11,cls,specter,title,minilm,title,model,0.6138630943281637
11,cls,specter,title,pubmedbert,title,model,0.41505522278724766
11,cls,specter,title,biobert,title,model,0.33758007195301404
11,cls,specter,title,simcse,title,model,0.47133570217357795
11,cls,specter,title,specter,abstract,input,0.728902441964843
11,cls,specter,title,specter,title_abstract,input,0.8223097509415274
11,cls,specter2,title,scincl,title,model,0.7798579227522489
11,cls,specter2,title,scibert,title,model,0.5093348626472473
11,cls,specter2,title,bert,title,model,0.33118240113801944
11,cls,specter2,title,mpnet,title,model,0.6863591271093221
11,cls,specter2,title,minilm,title,model,0.6293841822596403
11,cls,specter2,title,pubmedbert,title,model,0.374097250693318
11,cls,specter2,title,biobert,title,model,0.30188790944133115
11,cls,specter2,title,simcse,title,model,0.43514489702861525
11,cls,specter2,title,specter2,abstract,input,0.7139017860004094
11,cls,specter2,title,specter2,title_abstract,input,0.8146842129888694
11,cls,scincl,title,scibert,title,model,0.5349528022458414
11,cls,scincl,title,bert,title,model,0.32987933882195125
11,cls,scincl,title,mpnet,title,model,0.6761126084870793
11,cls,scincl,title,minilm,title,model,0.624289866431201
11,cls,scincl,title,pubmedbert,title,model,0.3898121307592928
11,cls,scincl,title,biobert,title,model,0.3155190835966332
11,cls,scincl,title,simcse,title,model,0.45664964312079653
11,cls,scincl,title,scincl,abstract,input,0.7404000706361827
11,cls,scincl,title,scincl,title_abstract,input,0.8158053542456849
11,cls,scibert,title,bert,title,model,0.46856150983768335
11,cls,scibert,title,mpnet,title,model,0.45775473001494393
11,cls,scibert,title,minilm,title,model,0.43369288507979253
11,cls,scibert,title,pubmedbert,title,model,0.5677925073275014
11,cls,scibert,title,biobert,title,model,0.37787316098712354
11,cls,scibert,title,simcse,title,model,0.42569436471968614
11,cls,scibert,title,scibert,abstract,input,0.3384986056650174
11,cls,scibert,title,scibert,title_abstract,input,0.3564264613503066
11,cls,bert,title,mpnet,title,model,0.33052263686806255
11,cls,bert,title,minilm,title,model,0.33723334792748877
11,cls,bert,title,pubmedbert,title,model,0.38129883162447104
11,cls,bert,title,biobert,title,model,0.2624841137666244
11,cls,bert,title,simcse,title,model,0.5121180260715711
11,cls,bert,title,bert,abstract,input,0.26775844086677714
11,cls,bert,title,bert,title_abstract,input,0.28539094962714684
11,cls,mpnet,title,minilm,title,model,0.7505083888545061
11,cls,mpnet,title,pubmedbert,title,model,0.36443964807078766
11,cls,mpnet,title,biobert,title,model,0.2946020320704841
11,cls,mpnet,title,simcse,title,model,0.480578173256011
11,cls,mpnet,title,mpnet,abstract,input,0.7705540017775279
11,cls,mpnet,title,mpnet,title_abstract,input,0.8325443250533908
11,cls,minilm,title,pubmedbert,title,model,0.34346786841911586
11,cls,minilm,title,biobert,title,model,0.2782634063158811
11,cls,minilm,title,simcse,title,model,0.48944419231867814
11,cls,minilm,title,minilm,abstract,input,0.6841899941191488
11,cls,minilm,title,minilm,title_abstract,input,0.7647615872425577
11,cls,pubmedbert,title,biobert,title,model,0.30313508294418684
11,cls,pubmedbert,title,simcse,title,model,0.34821077794761174
11,cls,pubmedbert,title,pubmedbert,abstract,input,0.2644861345594675
11,cls,pubmedbert,title,pubmedbert,title_abstract,input,0.2786868398100711
11,cls,biobert,title,simcse,title,model,0.2631557566137224
11,cls,biobert,title,biobert,abstract,input,0.243378983159576
11,cls,biobert,title,biobert,title_abstract,input,0.26732428682561643
11,cls,simcse,title,simcse,abstract,input,0.4215384204330171
11,cls,simcse,title,simcse,title_abstract,input,0.4779430058147027
11,cls,specter,abstract,specter2,abstract,model,0.7296784832328872
