outcome,field_id,model_a,model_b,first,last,endpoint_change,slope_per_five_years,increasing_steps,decreasing_steps
cka_primary,11,specter,specter2,0.7106489702168494,0.7392044263798732,0.028555456163023796,0.007933128004297841,3,1
cka_primary,11,specter,scincl,0.8355608919338784,0.8443789154169892,0.008818023483110782,0.002575127638413299,2,2
cka_primary,11,specter,scibert,0.5436471494610364,0.5710907603427391,0.027443610881702662,0.009956981587624236,2,2
cka_primary,11,specter,bert,0.5434142807232268,0.5544501509606546,0.011035870237427803,0.005077297493415167,2,2
cka_primary,11,specter,mpnet,0.7728974500185749,0.7933920091543292,0.020494559135754264,0.005378246467095993,2,2
cka_primary,11,specter,minilm,0.7076537872306045,0.7319581475034335,0.024304360272829006,0.006637623824098915,3,1
cka_primary,11,specter,pubmedbert,0.4751538367312943,0.5192731941914849,0.04411935746019058,0.012855330757978355,2,2
cka_primary,11,specter,biobert,0.5114747170548818,0.5518238212546582,0.04034910419977644,0.012369455126227358,2,2
cka_primary,11,specter,simcse,0.4999972500722478,0.5242133689436191,0.024216118871371317,0.007886334965531339,2,2
cka_primary,11,specter2,scincl,0.7788275334523628,0.8125499791586804,0.03372244570631766,0.009240414412687881,4,0
cka_primary,11,specter2,scibert,0.5262563656891183,0.5285042989687684,0.002247933279650116,0.0016462202093722623,2,2
cka_primary,11,specter2,bert,0.4884523274431655,0.5067284884862712,0.018276161043105643,0.0059737780473500535,2,2
cka_primary,11,specter2,mpnet,0.7318683314378559,0.766762255486678,0.03489392404882208,0.00967813813963465,4,0
cka_primary,11,specter2,minilm,0.6725803987710574,0.7125340487029794,0.039953649931922075,0.011373613583375542,4,0
cka_primary,11,specter2,pubmedbert,0.4450261624161957,0.46503397462496593,0.020007812208770237,0.005827391878533772,2,2
cka_primary,11,specter2,biobert,0.47543026233317587,0.49728574027139677,0.021855477938220902,0.006371509247095575,2,2
cka_primary,11,specter2,simcse,0.4308238437136267,0.4539587940509522,0.02313495033732549,0.007000568129990415,2,2
cka_primary,11,scincl,scibert,0.5183432552374787,0.5540097919142608,0.0356665366767821,0.011540728145146095,2,2
cka_primary,11,scincl,bert,0.5227773652683412,0.5442680855017329,0.021490720233391714,0.007878494113417988,2,2
cka_primary,11,scincl,mpnet,0.7940017166719836,0.8099291130796836,0.015927396407700023,0.004549665766215516,4,0
cka_primary,11,scincl,minilm,0.7255175388997491,0.75056843459843,0.02505089569868091,0.007106613482176849,3,1
cka_primary,11,scincl,pubmedbert,0.44106349525851263,0.49124907530010614,0.050185580041593514,0.014575590403826045,2,2
cka_primary,11,scincl,biobert,0.48122606152427577,0.5258138266594277,0.04458776513515189,0.013212623773321896,2,2
cka_primary,11,scincl,simcse,0.4702611258989925,0.5043671029501986,0.034105977051206104,0.010766413967982391,2,2
cka_primary,11,scibert,bert,0.7239665635246065,0.7580911849524005,0.03412462142779393,0.009249547776723755,2,2
cka_primary,11,scibert,mpnet,0.502867832032622,0.5490637132642902,0.04619588123166818,0.013214569980053149,2,2
cka_primary,11,scibert,minilm,0.49579278743190935,0.5373453259920618,0.0415525385601524,0.012455735349828212,2,2
cka_primary,11,scibert,pubmedbert,0.8205079917167187,0.8563806513981067,0.035872659681387975,0.008314245702182577,3,1
cka_primary,11,scibert,biobert,0.8184691124237629,0.8438949315743115,0.025425819150548645,0.006267644696850904,2,2
cka_primary,11,scibert,simcse,0.591203817252353,0.6338893277236165,0.042685510471263455,0.012003478164134385,2,2
cka_primary,11,bert,mpnet,0.539853392553155,0.5697440880844776,0.02989069553132262,0.00970909784471603,2,2
cka_primary,11,bert,minilm,0.5659396205988177,0.5853529027328256,0.019413282134007837,0.006926559836840851,2,2
cka_primary,11,bert,pubmedbert,0.7030853460528722,0.7442105362022532,0.041125190149380986,0.009489233524912044,3,1
cka_primary,11,bert,biobert,0.7372238392612926,0.768357638699389,0.031133799438096355,0.00736762089756271,2,2
cka_primary,11,bert,simcse,0.7480478090065106,0.756839449363207,0.00879164035669644,0.002176353522249497,2,2
cka_primary,11,mpnet,minilm,0.803761399764019,0.8256107108215519,0.02184931105753296,0.006309890485204606,4,0
cka_primary,11,mpnet,pubmedbert,0.44414267603024354,0.5041309914166454,0.05998831538640187,0.01580825434598525,2,2
cka_primary,11,mpnet,biobert,0.48565245671806584,0.5449791757357175,0.059326719017651686,0.016046652196131085,2,2
cka_primary,11,mpnet,simcse,0.4880178303000401,0.5221277262028247,0.03410989590278457,0.010295934110924054,2,2
cka_primary,11,minilm,pubmedbert,0.44145554770092593,0.4928681680352819,0.05141262033435595,0.014204241680192686,2,2
cka_primary,11,minilm,biobert,0.48002787417314,0.5330590849283141,0.053031210755174085,0.014896907407693161,2,2
cka_primary,11,minilm,simcse,0.5241162610321374,0.5406534129400082,0.016537151907870862,0.0061291168901794315,2,2
cka_primary,11,pubmedbert,biobert,0.8463092346752873,0.8526470667864866,0.006337832111199315,0.001207168878695808,2,2
cka_primary,11,pubmedbert,simcse,0.5626765579732765,0.6085842717299688,0.045907713756692226,0.010614478580344412,2,2
cka_primary,11,biobert,simcse,0.5751424820869974,0.6197506555231905,0.044608173436193166,0.010814211735584634,2,2
cka_primary,12,specter,specter2,0.6655934620196073,0.7075164696558888,0.04192300763628143,0.009497276599305349,3,1
cka_primary,12,specter,scincl,0.7500016346753253,0.7904264391700156,0.040424804494690325,0.009398696899761094,4,0
cka_primary,12,specter,scibert,0.451371136303386,0.5041623395935488,0.05279120329016285,0.016105196236346143,3,1
cka_primary,12,specter,bert,0.46057451693848783,0.5085512715071098,0.04797675456862194,0.012815571795053793,4,0
cka_primary,12,specter,mpnet,0.5890457884447747,0.6641060800212898,0.07506029157651506,0.017175880873550663,4,0
cka_primary,12,specter,minilm,0.5802847257546555,0.651465934384632,0.07118120862997646,0.01641318834521892,4,0
cka_primary,12,specter,pubmedbert,0.3907528091482116,0.44431153739987217,0.05355872825166058,0.014006747388504538,4,0
cka_primary,12,specter,biobert,0.3731799024940757,0.4292272373112067,0.056047334817131034,0.01685534841982065,3,1
