outcome,omitted_model,feature,coefficient,r_squared,design_rank,coefficients_identified
cka_primary,specter,intercept,0.5986915316642626,0.3909138309347314,4,True
cka_primary,specter,same_objective,0.18048740097798285,0.3909138309347314,4,True
cka_primary,specter,same_broad_domain,-0.01007281111841972,0.3909138309347314,4,True
cka_primary,specter,same_primary_pooling,-0.02299801130470612,0.3909138309347314,4,True
cka_primary,specter2,intercept,0.6042597587388285,0.3822123170432232,4,True
cka_primary,specter2,same_objective,0.17844309637807437,0.3822123170432232,4,True
cka_primary,specter2,same_broad_domain,-0.0156425634431105,0.3822123170432232,4,True
cka_primary,specter2,same_primary_pooling,-0.023949501887153623,0.3822123170432232,4,True
cka_primary,scincl,intercept,0.6024527799625854,0.3875773659950795,4,True
cka_primary,scincl,same_objective,0.17509643203550462,0.3875773659950795,4,True
cka_primary,scincl,same_broad_domain,-0.015083685015250273,0.3875773659950795,4,True
cka_primary,scincl,same_primary_pooling,-0.025262791129623527,0.3875773659950795,4,True
cka_primary,scibert,intercept,0.6038151272098684,0.30268985931523895,4,True
cka_primary,scibert,same_objective,0.1436942811942509,0.30268985931523895,4,True
cka_primary,scibert,same_broad_domain,0.026201315204895947,0.30268985931523895,4,True
cka_primary,scibert,same_primary_pooling,-0.03158673316394452,0.30268985931523895,4,True
cka_primary,bert,intercept,0.6112416043174163,0.3980980808883301,4,True
cka_primary,bert,same_objective,0.22934908922536834,0.3980980808883301,4,True
cka_primary,bert,same_broad_domain,-0.06482224051614185,0.3980980808883301,4,True
cka_primary,bert,same_primary_pooling,-0.037661877280555346,0.3980980808883301,4,True
cka_primary,mpnet,intercept,0.5832703126813066,0.5568801503216023,4,True
cka_primary,mpnet,same_objective,0.20439664601266302,0.5568801503216023,4,True
cka_primary,mpnet,same_broad_domain,0.01132245396104707,0.5568801503216023,4,True
cka_primary,mpnet,same_primary_pooling,-0.02215361388275149,0.5568801503216023,4,True
cka_primary,minilm,intercept,0.5911112332919866,0.48277831010911265,4,True
cka_primary,minilm,same_objective,0.19973386811134428,0.48277831010911265,4,True
cka_primary,minilm,same_broad_domain,0.0035722296483750426,0.48277831010911265,4,True
cka_primary,minilm,same_primary_pooling,-0.023741031357009897,0.48277831010911265,4,True
cka_primary,pubmedbert,intercept,0.6233788656336063,0.2948948348148269,4,True
cka_primary,pubmedbert,same_objective,0.15930340241287674,0.2948948348148269,4,True
cka_primary,pubmedbert,same_broad_domain,-0.025161498553965784,0.2948948348148269,4,True
cka_primary,pubmedbert,same_primary_pooling,-0.032805673669850204,0.2948948348148269,4,True
cka_primary,biobert,intercept,0.6155432728305553,0.2874774746042622,4,True
cka_primary,biobert,same_objective,0.16038525555973746,0.2874774746042622,4,True
cka_primary,biobert,same_broad_domain,-0.017134114141546922,0.2874774746042622,4,True
cka_primary,biobert,same_primary_pooling,-0.03427111003544706,0.2874774746042622,4,True
cka_primary,simcse,intercept,0.6110247651945687,0.6361051920951342,4,True
cka_primary,simcse,same_objective,0.2651748551346842,0.6361051920951342,4,True
cka_primary,simcse,same_broad_domain,-0.00019345863895664454,0.6361051920951342,4,True
cka_primary,simcse,same_primary_pooling,-0.0761179081441912,0.6361051920951342,4,True
cka_equal2048,specter,intercept,0.5987197726248354,0.3909133188153806,4,True
cka_equal2048,specter,same_objective,0.18045683414518324,0.3909133188153806,4,True
cka_equal2048,specter,same_broad_domain,-0.010083283400561145,0.3909133188153806,4,True
cka_equal2048,specter,same_primary_pooling,-0.022993467235232806,0.3909133188153806,4,True
cka_equal2048,specter2,intercept,0.6042987484342556,0.38216833091569835,4,True
cka_equal2048,specter2,same_objective,0.17840306470402476,0.38216833091569835,4,True
cka_equal2048,specter2,same_broad_domain,-0.015661339566310793,0.38216833091569835,4,True
cka_equal2048,specter2,same_primary_pooling,-0.023943419996377495,0.38216833091569835,4,True
cka_equal2048,scincl,intercept,0.6024608611059183,0.38756458140060546,4,True
cka_equal2048,scincl,same_objective,0.17507041012558708,0.38756458140060546,4,True
cka_equal2048,scincl,same_broad_domain,-0.01509587982266254,0.38756458140060546,4,True
cka_equal2048,scincl,same_primary_pooling,-0.025245868826869685,0.38756458140060546,4,True
cka_equal2048,scibert,intercept,0.6038376126030522,0.3026579607193306,4,True
cka_equal2048,scibert,same_objective,0.14366821503763935,0.3026579607193306,4,True
cka_equal2048,scibert,same_broad_domain,0.02618529190009199,0.3026579607193306,4,True
cka_equal2048,scibert,same_primary_pooling,-0.03157237336822488,0.3026579607193306,4,True
cka_equal2048,bert,intercept,0.6112739225683173,0.3981088578116758,4,True
cka_equal2048,bert,same_objective,0.2293200226809906,0.3981088578116758,4,True
cka_equal2048,bert,same_broad_domain,-0.06484150177035258,0.3981088578116758,4,True
cka_equal2048,bert,same_primary_pooling,-0.03765132328262947,0.3981088578116758,4,True
cka_equal2048,mpnet,intercept,0.5832938223489569,0.5568453945844497,4,True
cka_equal2048,mpnet,same_objective,0.2043440654821466,0.5568453945844497,4,True
cka_equal2048,mpnet,same_broad_domain,0.01131002682187284,0.5568453945844497,4,True
cka_equal2048,mpnet,same_primary_pooling,-0.022127703843893377,0.5568453945844497,4,True
cka_equal2048,minilm,intercept,0.5911345347031685,0.48273487327633124,4,True
cka_equal2048,minilm,same_objective,0.1997067454361004,0.48273487327633124,4,True
cka_equal2048,minilm,same_broad_domain,0.003553231309193568,0.48273487327633124,4,True
cka_equal2048,minilm,same_primary_pooling,-0.02374124195784339,0.48273487327633124,4,True
cka_equal2048,pubmedbert,intercept,0.6233946825421556,0.2948769715001598,4,True
cka_equal2048,pubmedbert,same_objective,0.15927333985932401,0.2948769715001598,4,True
cka_equal2048,pubmedbert,same_broad_domain,-0.02517007410708442,0.2948769715001598,4,True
cka_equal2048,pubmedbert,same_primary_pooling,-0.03278530381969625,0.2948769715001598,4,True
cka_equal2048,biobert,intercept,0.6155468610338237,0.2874851971816508,4,True
cka_equal2048,biobert,same_objective,0.16037525454130125,0.2874851971816508,4,True
cka_equal2048,biobert,same_broad_domain,-0.01713738740194862,0.2874851971816508,4,True
cka_equal2048,biobert,same_primary_pooling,-0.03425694889528135,0.2874851971816508,4,True
cka_equal2048,simcse,intercept,0.6110341304082447,0.6360801348794896,4,True
cka_equal2048,simcse,same_objective,0.26512359093986515,0.6360801348794896,4,True
cka_equal2048,simcse,same_broad_domain,-0.00021249418765245144,0.6360801348794896,4,True
cka_equal2048,simcse,same_primary_pooling,-0.0760814764454717,0.6360801348794896,4,True
cka_cls,specter,intercept,0.4956336179410955,0.28978398454310783,4,True
cka_cls,specter,same_objective,0.187944698033601,0.28978398454310783,4,True
cka_cls,specter,same_broad_domain,-0.01679961733363174,0.28978398454310783,4,True
cka_cls,specter,same_primary_pooling,-0.019762656445982928,0.28978398454310783,4,True
cka_cls,specter2,intercept,0.49919980315864515,0.27735251178943543,4,True
cka_cls,specter2,same_objective,0.18551261754268888,0.27735251178943543,4,True
cka_cls,specter2,same_broad_domain,-0.02072428512819268,0.27735251178943543,4,True
cka_cls,specter2,same_primary_pooling,-0.018755052674737382,0.27735251178943543,4,True
cka_cls,scincl,intercept,0.49556569422978713,0.2853869219512458,4,True
cka_cls,scincl,same_objective,0.17956674146478882,0.2853869219512458,4,True
cka_cls,scincl,same_broad_domain,-0.019975017881450664,0.2853869219512458,4,True
cka_cls,scincl,same_primary_pooling,-0.014654407569076934,0.2853869219512458,4,True
cka_cls,scibert,intercept,0.5467984852820872,0.2672652153316667,4,True
cka_cls,scibert,same_objective,0.18904179619021017,0.2672652153316667,4,True
cka_cls,scibert,same_broad_domain,-0.0032138467154231094,0.2672652153316667,4,True
cka_cls,scibert,same_primary_pooling,-0.060274288709579356,0.2672652153316667,4,True
cka_cls,bert,intercept,0.5426420595806313,0.3744623539774872,4,True
cka_cls,bert,same_objective,0.2712215152729742,0.3744623539774872,4,True
cka_cls,bert,same_broad_domain,-0.07764663688132428,0.3744623539774872,4,True
cka_cls,bert,same_primary_pooling,-0.04631262333723945,0.3744623539774872,4,True
cka_cls,mpnet,intercept,0.5098740725278854,0.42502918826410985,4,True
cka_cls,mpnet,same_objective,0.21072396470316926,0.42502918826410985,4,True
cka_cls,mpnet,same_broad_domain,0.005249222066892508,0.42502918826410985,4,True
cka_cls,mpnet,same_primary_pooling,-0.051342723302956035,0.42502918826410985,4,True
cka_cls,minilm,intercept,0.5302493694252175,0.3829438748138615,4,True
cka_cls,minilm,same_objective,0.20742816522114865,0.3829438748138615,4,True
cka_cls,minilm,same_broad_domain,-0.0022482024164797976,0.3829438748138615,4,True
cka_cls,minilm,same_primary_pooling,-0.06851653480010367,0.3829438748138615,4,True
cka_cls,pubmedbert,intercept,0.5568162457294603,0.28023147970122364,4,True
cka_cls,pubmedbert,same_objective,0.20716786384324198,0.28023147970122364,4,True
cka_cls,pubmedbert,same_broad_domain,-0.05012193447381873,0.28023147970122364,4,True
cka_cls,pubmedbert,same_primary_pooling,-0.060951967850454716,0.28023147970122364,4,True
cka_cls,biobert,intercept,0.5369494018089893,0.2868417556390507,4,True
cka_cls,biobert,same_objective,0.21745374599367132,0.2868417556390507,4,True
cka_cls,biobert,same_broad_domain,-0.031007931184879264,0.2868417556390507,4,True
cka_cls,biobert,same_primary_pooling,-0.06753711851597884,0.2868417556390507,4,True
cka_cls,simcse,intercept,0.5449414036098645,0.46313034416289145,4,True
cka_cls,simcse,same_objective,0.30069317415686486,0.46313034416289145,4,True
cka_cls,simcse,same_broad_domain,0.0015919115658852832,0.46313034416289145,4,True
cka_cls,simcse,same_primary_pooling,-0.14282128657226442,0.46313034416289145,4,True
cka_sep,specter,intercept,0.5367813579190719,0.022166105174251105,4,True
cka_sep,specter,same_objective,0.07521432683784701,0.022166105174251105,4,True
cka_sep,specter,same_broad_domain,-0.05966888803941107,0.022166105174251105,4,True
cka_sep,specter,same_primary_pooling,-0.024599861608581852,0.022166105174251105,4,True
cka_sep,specter2,intercept,0.5409864288554562,0.022040708969957135,4,True
cka_sep,specter2,same_objective,0.06639363274735971,0.022040708969957135,4,True
cka_sep,specter2,same_broad_domain,-0.06274410012856542,0.022040708969957135,4,True
cka_sep,specter2,same_primary_pooling,-0.016936007802289328,0.022040708969957135,4,True
cka_sep,scincl,intercept,0.5391513377844875,0.022404639215307776,4,True
cka_sep,scincl,same_objective,0.06962899127933465,0.022404639215307776,4,True
cka_sep,scincl,same_broad_domain,-0.06394043244059858,0.022404639215307776,4,True
cka_sep,scincl,same_primary_pooling,-0.025344678557099796,0.022404639215307776,4,True
cka_sep,scibert,intercept,0.5592760419327449,0.04074894040634203,4,True
cka_sep,scibert,same_objective,0.12809276968387912,0.04074894040634203,4,True
cka_sep,scibert,same_broad_domain,-0.07741055564619088,0.04074894040634203,4,True
cka_sep,scibert,same_primary_pooling,0.0022378078362471033,0.04074894040634203,4,True
cka_sep,bert,intercept,0.6194172698726061,0.19587805774815203,4,True
cka_sep,bert,same_objective,0.1554259074143488,0.19587805774815203,4,True
cka_sep,bert,same_broad_domain,-0.07953123622097888,0.19587805774815203,4,True
cka_sep,bert,same_primary_pooling,-0.001000963373252123,0.19587805774815203,4,True
cka_sep,mpnet,intercept,0.5108637350730965,0.02267967920353331,4,True
cka_sep,mpnet,same_objective,0.04905756546798381,0.02267967920353331,4,True
cka_sep,mpnet,same_broad_domain,0.011113824159175764,0.02267967920353331,4,True
cka_sep,mpnet,same_primary_pooling,0.016276615522695003,0.02267967920353331,4,True
cka_sep,minilm,intercept,0.520255291875839,0.015554350991516142,4,True
cka_sep,minilm,same_objective,0.04464261502886133,0.015554350991516142,4,True
cka_sep,minilm,same_broad_domain,0.00296411435234037,0.015554350991516142,4,True
cka_sep,minilm,same_primary_pooling,0.012912841484906139,0.015554350991516142,4,True
cka_sep,pubmedbert,intercept,0.515153591280449,0.06540400007634206,4,True
cka_sep,pubmedbert,same_objective,0.11668275883835108,0.06540400007634206,4,True
cka_sep,pubmedbert,same_broad_domain,-0.059026474565372675,0.06540400007634206,4,True
cka_sep,pubmedbert,same_primary_pooling,0.02159467154387256,0.06540400007634206,4,True
cka_sep,biobert,intercept,0.525694865177061,0.050874202219830855,4,True
cka_sep,biobert,same_objective,0.11005683897161088,0.050874202219830855,4,True
cka_sep,biobert,same_broad_domain,-0.06277753929619845,0.050874202219830855,4,True
cka_sep,biobert,same_primary_pooling,0.01116292384662451,0.050874202219830855,4,True
