field_id,period_start,rows,distinct_subfields,effective_subfields,largest_subfield_share,mean_abstract_words,mean_title_words,duplicate_doi_rate,duplicate_text_rate,ambiguous_language_rate,short_abstract_rate,type_counts_json
11,2000,2166,11,6.383620072180776,0.415050784856879,189.93213296398892,13.585872576177286,0.0,0.0009233610341643582,0.03462603878116344,0.1084949215143121,"{""article"": 2090, ""conference-paper"": 70, ""review"": 6}"
11,2005,2528,11,6.606842312772423,0.39319620253164556,191.7709651898734,13.759889240506329,0.00039556962025316455,0.0,0.03916139240506329,0.0981012658227848,"{""article"": 2457, ""conference-paper"": 63, ""review"": 8}"
11,2010,3940,11,6.578505868771928,0.41269035532994924,199.68451776649746,14.179949238578681,0.0,0.0,0.03401015228426396,0.06370558375634518,"{""article"": 3801, ""conference-paper"": 127, ""review"": 12}"
11,2015,4298,11,7.098889205662851,0.37505816658911123,218.01302931596092,14.90367612843183,0.0,0.0,0.023964634713820383,0.043973941368078175,"{""article"": 4054, ""conference-paper"": 235, ""review"": 9}"
11,2020,6491,11,7.065086390124747,0.37220767216145434,230.79479279001694,15.340009243568018,0.0,0.0,0.01694654136496688,0.028655060853489445,"{""article"": 6040, ""conference-paper"": 408, ""review"": 43}"
12,2000,2166,13,9.534346132770155,0.19575253924284394,185.76869806094183,9.896583564173591,0.0,0.0009233610341643582,0.1061865189289012,0.20544783010156972,"{""article"": 2114, ""conference-paper"": 46, ""review"": 6}"
12,2005,2166,13,9.624141407193394,0.18467220683287167,197.1759002770083,10.496306555863342,0.0004616805170821791,0.0,0.07617728531855955,0.19067405355494,"{""article"": 2101, ""conference-paper"": 64, ""review"": 1}"
12,2010,2186,13,9.893941697536933,0.18206770356816102,203.37740164684354,11.177493138151876,0.0004574565416285453,0.0,0.05626715462031107,0.1221408966148216,"{""article"": 2075, ""conference-paper"": 108, ""review"": 3}"
12,2015,2732,13,10.009266703865997,0.18777452415812593,212.67935578330892,11.506222547584187,0.0,0.0,0.04319180087847731,0.07942898975109809,"{""article"": 2581, ""conference-paper"": 144, ""review"": 7}"
12,2020,3380,13,9.417371593389975,0.21420118343195266,239.18224852071006,12.96360946745562,0.0002958579881656805,0.001183431952662722,0.057692307692307696,0.06420118343195266,"{""article"": 3218, ""conference-paper"": 156, ""review"": 6}"
13,2000,2739,14,4.650094110363656,0.570281124497992,200.95180722891567,13.728368017524645,0.0,0.0,0.017889740781307048,0.06754289886820007,"{""article"": 2662, ""conference-paper"": 61, ""review"": 16}"
13,2005,4071,14,4.428654890021316,0.5814296241709653,201.98599852616064,13.535740604274134,0.0,0.0,0.019651191353475806,0.06853352984524687,"{""article"": 3900, ""conference-paper"": 147, ""review"": 24}"
13,2010,5251,14,4.7867118892383855,0.5617977528089888,208.461245477052,13.664444867644258,0.0,0.0,0.012949914302037707,0.059988573605027615,"{""article"": 5019, ""conference-paper"": 190, ""review"": 42}"
13,2015,5596,14,5.050569805545066,0.5364546104360257,220.02626876340244,14.175482487491065,0.0,0.00035739814152966406,0.010721944245889922,0.038777698355968546,"{""article"": 5349, ""conference-paper"": 192, ""review"": 55}"
13,2020,6840,14,4.877331314155451,0.5554093567251462,223.08625730994152,14.849122807017544,0.0,0.0,0.00760233918128655,0.03084795321637427,"{""article"": 6549, ""conference-paper"": 191, ""review"": 100}"
14,2000,2166,9,6.049979352276173,0.2853185595567867,142.73407202216066,10.21791320406279,0.0,0.0009233610341643582,0.02169898430286242,0.21283471837488457,"{""article"": 1971, ""conference-paper"": 190, ""review"": 5}"
14,2005,2166,8,6.254023119993915,0.27793167128347185,149.62373037857802,11.000923361034165,0.0,0.0,0.02077562326869806,0.18882733148661127,"{""article"": 1944, ""conference-paper"": 220, ""review"": 2}"
14,2010,2186,8,6.409371225714802,0.26029277218664226,162.96386093321135,11.790484903934127,0.0,0.0,0.018298261665141813,0.11436413540713632,"{""article"": 1955, ""conference-paper"": 227, ""review"": 4}"
14,2015,2660,9,6.505140288126238,0.25225563909774434,185.89473684210526,12.475563909774436,0.0,0.00037593984962406017,0.02142857142857143,0.0462406015037594,"{""article"": 2364, ""conference-paper"": 283, ""review"": 13}"
14,2020,4040,9,6.363923813380132,0.2524752475247525,196.1450495049505,13.659405940594059,0.0,0.0,0.016336633663366337,0.02599009900990099,"{""article"": 3578, ""conference-paper"": 414, ""review"": 48}"
15,2000,2166,6,4.322236231968629,0.43536472760849493,158.06048014773776,13.167128347183748,0.0,0.002770083102493075,0.024007386888273315,0.1352723915050785,"{""article"": 1705, ""conference-paper"": 460, ""review"": 1}"
15,2005,2166,6,4.484758120363924,0.38134810710988,163.432594644506,13.447368421052632,0.0,0.0,0.02169898430286242,0.11357340720221606,"{""article"": 1729, ""conference-paper"": 436, ""review"": 1}"
