field_id,model_a,input_a,model_b,input_b,kind,rows,cka_debiased,rsa_spearman
11,specter2,abstract,biobert,abstract,model,1000,0.4788016565388659,0.2081186650917966
11,specter2,abstract,simcse,abstract,model,1000,0.4480376585738957,0.16140329725500932
11,specter2,abstract,specter2,title_abstract,input,1000,0.9502684780920236,0.9345876715254704
11,scincl,abstract,scibert,abstract,model,1000,0.5219588107289694,0.37394085549785205
11,scincl,abstract,bert,abstract,model,1000,0.5355275298720618,0.38105546020963876
11,scincl,abstract,mpnet,abstract,model,1000,0.7903492280386731,0.7701495347993741
11,scincl,abstract,minilm,abstract,model,1000,0.7268005401358444,0.7213711685374325
11,scincl,abstract,pubmedbert,abstract,model,1000,0.4523257997327375,0.32394046805235177
11,scincl,abstract,biobert,abstract,model,1000,0.49216243679103144,0.330448033061622
11,scincl,abstract,simcse,abstract,model,1000,0.49445947926260564,0.34365398040863393
11,scincl,abstract,scincl,title_abstract,input,1000,0.9705711878380447,0.9694643215076643
11,scibert,abstract,bert,abstract,model,1000,0.716166952285538,0.7335624751389063
11,scibert,abstract,mpnet,abstract,model,1000,0.5107607207329002,0.4124715237771781
11,scibert,abstract,minilm,abstract,model,1000,0.5050883289551783,0.4221263333948154
11,scibert,abstract,pubmedbert,abstract,model,1000,0.8253334415692988,0.8449382551293443
11,scibert,abstract,biobert,abstract,model,1000,0.8296633328322367,0.8452491482771203
11,scibert,abstract,simcse,abstract,model,1000,0.5925276169713137,0.5382634800736613
11,scibert,abstract,scibert,title_abstract,input,1000,0.9836564803166451,0.9862034811265059
11,bert,abstract,mpnet,abstract,model,1000,0.5604043533524448,0.481457119868143
11,bert,abstract,minilm,abstract,model,1000,0.5819352246718879,0.5262391802461001
11,bert,abstract,pubmedbert,abstract,model,1000,0.695272119418641,0.7900740633761837
11,bert,abstract,biobert,abstract,model,1000,0.7389494086842783,0.804040419594103
11,bert,abstract,simcse,abstract,model,1000,0.7537434617218532,0.8057172919872911
11,bert,abstract,bert,title_abstract,input,1000,0.9868900260558404,0.9895150056797902
11,mpnet,abstract,minilm,abstract,model,1000,0.8082082325333786,0.8161091783432717
11,mpnet,abstract,pubmedbert,abstract,model,1000,0.4623652727363523,0.3931961689954902
11,mpnet,abstract,biobert,abstract,model,1000,0.5046045007259881,0.40877011134192526
11,mpnet,abstract,simcse,abstract,model,1000,0.5174691863565272,0.44771496419128587
11,mpnet,abstract,mpnet,title_abstract,input,1000,0.9731433984907635,0.9680279551775726
11,minilm,abstract,pubmedbert,abstract,model,1000,0.45621315720277106,0.4147865433934663
11,minilm,abstract,biobert,abstract,model,1000,0.49555504221608887,0.42340810574502025
11,minilm,abstract,simcse,abstract,model,1000,0.5411186134449083,0.49561840933954604
11,minilm,abstract,minilm,title_abstract,input,1000,0.962614153497239,0.9628044438520128
11,pubmedbert,abstract,biobert,abstract,model,1000,0.8453313657474724,0.8802927411242317
11,pubmedbert,abstract,simcse,abstract,model,1000,0.5618668952226518,0.6170176866530448
11,pubmedbert,abstract,pubmedbert,title_abstract,input,1000,0.9821189215161155,0.984194755075985
11,biobert,abstract,simcse,abstract,model,1000,0.5868710706569262,0.6279654644694143
