field_id,metric,model,input_condition,model_change_at_full,input_change_from_full,model_minus_input
11,cka,specter,title,0.36090062315558125,0.17769024905847264,0.1832103740971086
11,cka,specter,abstract,0.36090062315558125,0.04344819811591161,0.31745242503966964
11,cka,specter2,title,0.3980715706974956,0.1853157870111306,0.212755783686365
11,cka,specter2,abstract,0.3980715706974956,0.04973152190797636,0.34834004878951924
11,cka,scincl,title,0.36329924693620325,0.1841946457543151,0.17910460118188815
11,cka,scincl,abstract,0.36329924693620325,0.029428812161955253,0.333870434774248
11,cka,scibert,title,0.3664411427340908,0.5574630991115107,-0.19102195637741992
11,cka,scibert,abstract,0.3664411427340908,0.0163435196833549,0.3500976230507359
11,cka,bert,title,0.3692818789639112,0.42532107049949697,-0.056039191535585786
11,cka,bert,abstract,0.3692818789639112,0.01310997394415958,0.3561719050197516
11,cka,mpnet,title,0.36331053280961345,0.16745567494660918,0.19585485786300427
11,cka,mpnet,abstract,0.36331053280961345,0.026856601509236522,0.33645393130037693
11,cka,minilm,title,0.38036869191950684,0.23523841275744228,0.14513027916206456
11,cka,minilm,abstract,0.38036869191950684,0.037385846502761,0.34298284541674584
11,cka,pubmedbert,title,0.41354440401547515,0.5333890226298301,-0.11984461861435497
11,cka,pubmedbert,abstract,0.41354440401547515,0.017881078483884538,0.3956633255315906
11,cka,biobert,title,0.38667835961108654,0.6671734288788893,-0.28049506926780277
11,cka,biobert,abstract,0.38667835961108654,0.021666084227677462,0.3650122753834091
11,cka,simcse,title,0.44180733750259393,0.5220569941852973,-0.08024965668270334
11,cka,simcse,abstract,0.44180733750259393,0.029342594423902857,0.4124647430786911
11,rsa,specter,title,0.46658919987997305,0.224048461256123,0.24254073862385006
11,rsa,specter,abstract,0.46658919987997305,0.048098946385751296,0.41849025349422175
11,rsa,specter2,title,0.6074869298655502,0.23047822370119397,0.3770087061643562
11,rsa,specter2,abstract,0.6074869298655502,0.0654123284745296,0.5420746013910206
11,rsa,scincl,title,0.47440430322934407,0.19956356837640854,0.27484073485293553
11,rsa,scincl,abstract,0.47440430322934407,0.03053567849233574,0.44386862473700833
11,rsa,scibert,title,0.44631839735296314,0.6782503792026268,-0.23193198184966363
11,rsa,scibert,abstract,0.44631839735296314,0.01379651887349409,0.43252187847946905
11,rsa,bert,title,0.42362056451438534,0.42628625573471535,-0.002665691220330002
11,rsa,bert,abstract,0.42362056451438534,0.010484994320209773,0.41313557019417557
11,rsa,mpnet,title,0.4341782402161119,0.1793642436074142,0.2548139966086977
11,rsa,mpnet,abstract,0.4341782402161119,0.03197204482242744,0.40220619539368446
11,rsa,minilm,title,0.43376080102973497,0.23182924418907525,0.20193155684065972
11,rsa,minilm,abstract,0.43376080102973497,0.0371955561479872,0.39656524488174777
11,rsa,pubmedbert,title,0.4527063231569325,0.5930120226245326,-0.14030569946760008
11,rsa,pubmedbert,abstract,0.4527063231569325,0.015805244924015027,0.43690107823291746
11,rsa,biobert,title,0.44703381837608486,0.6217230891228078,-0.17468927074672297
11,rsa,biobert,abstract,0.44703381837608486,0.02171633678728646,0.4253174815887984
11,rsa,simcse,title,0.5067592268963976,0.48425644011914193,0.0225027867772557
11,rsa,simcse,abstract,0.5067592268963976,0.01991525569978747,0.48684397119661016
11,neighbors25,specter,title,0.6187244444444444,0.5152000000000001,0.10352444444444431
11,neighbors25,specter,abstract,0.6187244444444444,0.27056,0.3481644444444444
11,neighbors25,specter2,title,0.6670666666666667,0.54452,0.12254666666666669
11,neighbors25,specter2,abstract,0.6670666666666667,0.2872,0.3798666666666667
11,neighbors25,scincl,title,0.6232933333333333,0.50392,0.11937333333333322
11,neighbors25,scincl,abstract,0.6232933333333333,0.21736,0.40593333333333326
11,neighbors25,scibert,title,0.6176266666666667,0.7986,-0.18097333333333332
