field_id,model,input_condition,effect_full1000,median_effect500,absolute_median_change,central95_width500,passes_operational_screen
11,specter,title,0.1832103740971086,0.1831545553859306,5.58187111780184e-05,0.024204525872249166,True
11,specter,abstract,0.31745242503966964,0.31910783652076335,0.001655411481093716,0.017489703831858716,True
11,specter2,title,0.212755783686365,0.21527856337485646,0.002522779688491461,0.018425001520677137,True
11,specter2,abstract,0.34834004878951924,0.3502013023979923,0.0018612536084730569,0.014024082421446704,True
11,scincl,title,0.17910460118188815,0.17865474561580685,0.00044985556608129196,0.028229925119774374,True
11,scincl,abstract,0.333870434774248,0.33549520292702206,0.0016247681527740698,0.01521929412082429,True
11,scibert,title,-0.19102195637741992,-0.19133954834595954,0.0003175919685396156,0.023915314878323324,True
11,scibert,abstract,0.3500976230507359,0.35225999292459104,0.0021623698738551522,0.02083807805460547,True
11,bert,title,-0.056039191535585786,-0.05509739781436135,0.0009417937212244376,0.03281355720152974,True
11,bert,abstract,0.3561719050197516,0.3581885525675367,0.0020166475477850776,0.020449510266512316,True
11,mpnet,title,0.19585485786300427,0.196168549716368,0.00031369185336371785,0.01793215174602536,True
11,mpnet,abstract,0.33645393130037693,0.33599240230260274,0.00046152899777418543,0.014516304230796528,True
11,minilm,title,0.14513027916206456,0.14765395439533952,0.002523675233274958,0.019882139492860773,True
11,minilm,abstract,0.34298284541674584,0.34348430104557853,0.0005014556288326921,0.01364408958384361,True
11,pubmedbert,title,-0.11984461861435497,-0.11578841860133457,0.0040562000130204,0.037039492469230176,True
11,pubmedbert,abstract,0.3956633255315906,0.395261512476213,0.00040181305537762,0.035383305217161376,True
11,biobert,title,-0.28049506926780277,-0.28160882735230824,0.0011137580845054784,0.04548002819645336,False
11,biobert,abstract,0.3650122753834091,0.36111840305528137,0.003893872328127712,0.05411498300758755,False
11,simcse,title,-0.08024965668270334,-0.07938155857490606,0.0008680981077972827,0.02131133456400995,True
11,simcse,abstract,0.4124647430786911,0.4117659415877417,0.0006988014909493634,0.022135675997222326,True
11,mean_of_ten_fixed_models,title,0.018840540351256374,0.01860540161358832,0.00023513873766805443,0.014690439799376427,True
11,mean_of_ten_fixed_models,abstract,0.3558509557384738,0.35621560666470087,0.0003646509262270614,0.01986671838873011,True
12,specter,title,0.10226814942308948,0.10585478787438762,0.003586638451298141,0.04987437752806535,False
12,specter,abstract,0.38882411984479204,0.3851147797319601,0.003709340112831916,0.02590880290124059,True
12,specter2,title,0.13501493286039484,0.1314491560241498,0.003565776836245038,0.02920751138134589,True
12,specter2,abstract,0.3393599669060528,0.338377778792618,0.000982188113434812,0.030723515559039793,True
12,scincl,title,0.02358772482046939,0.02278263944628256,0.0008050853741868313,0.039451707688044166,True
12,scincl,abstract,0.37436221842730893,0.3723739615303201,0.001988256896988838,0.029686744767261797,True
12,scibert,title,-0.26926612280242207,-0.2699005412836688,0.0006344184812467346,0.026487215064860015,True
12,scibert,abstract,0.3673506484992222,0.36466580720871367,0.002684841290508555,0.031209702770142678,True
12,bert,title,-0.20584460937233806,-0.20463944240586898,0.001205166966469079,0.04298226458559165,False
12,bert,abstract,0.35745869827386667,0.3550044183668339,0.002454279907032786,0.01965083267779888,True
12,mpnet,title,0.16480884389968187,0.1623375378848618,0.0024713060148200683,0.0303216720757013,True
12,mpnet,abstract,0.40374494650301274,0.40313205445480643,0.0006128920482063038,0.025098632458956438,True
12,minilm,title,0.10368867572717844,0.09982418631186302,0.0038644894153154197,0.02613206350940063,True
12,minilm,abstract,0.39654191846486553,0.395903391603027,0.0006385268618385176,0.02315776666811764,True
12,pubmedbert,title,-0.22206988194191168,-0.2180210127912209,0.004048869150690776,0.06489742853302694,False
12,pubmedbert,abstract,0.4221646191977705,0.4101437061548414,0.012020913042929071,0.037168308680183004,True
12,biobert,title,-0.2990691097478488,-0.3007635893833911,0.001694479635542312,0.045899070585664836,False
12,biobert,abstract,0.40736110562289335,0.40247178440810694,0.004889321214786413,0.03014475648675602,True
12,simcse,title,-0.17707981643838788,-0.1793952820574245,0.0023154656190366163,0.03549047972902475,True
12,simcse,abstract,0.39608881846523714,0.39264716200380034,0.003441656461436793,0.016798682782215524,True
12,mean_of_ten_fixed_models,title,-0.06439612135720944,-0.06510213336060494,0.0007060120033954981,0.020661115535938905,True
12,mean_of_ten_fixed_models,abstract,0.3853257060205022,0.38201561515327576,0.003310090867226445,0.025456003932817772,True
13,specter,title,0.21253770020509827,0.21146248404481963,0.0010752161602786414,0.014451584332778544,True
13,specter,abstract,0.3449214810642904,0.3442535693588624,0.0006679117054279593,0.011756039592230372,True
13,specter2,title,0.236605271854897,0.23836469330383925,0.0017594214489422555,0.01895287231281087,True
13,specter2,abstract,0.38843738498431957,0.3889380240901327,0.0005006391058131054,0.01422205877584487,True
13,scincl,title,0.21122432595929846,0.21260422634915918,0.0013799003898607165,0.025790171351595004,True
13,scincl,abstract,0.3511611880923858,0.351351712017505,0.00019052392511920146,0.01307529345606051,True
13,scibert,title,-0.148608557243104,-0.14934124323878176,0.0007326859956777454,0.025648966587616367,True
13,scibert,abstract,0.36456524175704236,0.36352967915560264,0.0010355626014397212,0.016549297886698677,True
13,bert,title,0.04554258932430827,0.0473515018284176,0.0018089125041093335,0.04552023909313131,False
13,bert,abstract,0.3890017001352472,0.38753520923746415,0.001466490897783057,0.014104456488679362,True
13,mpnet,title,0.19338569159644836,0.1965152033421591,0.0031295117457107446,0.023863056049602455,True
13,mpnet,abstract,0.3675010391671989,0.3673640800501825,0.00013695911701638863,0.013918904417534683,True
13,minilm,title,0.15408093663122674,0.15621852567282962,0.002137589041602883,0.021636216011533177,True
13,minilm,abstract,0.36958564316464143,0.3693203680295424,0.0002652751350990523,0.012586817980850151,True
13,pubmedbert,title,-0.0639022389351715,-0.06571869757436197,0.0018164586391904713,0.03927228065551975,True
13,pubmedbert,abstract,0.3953185159117782,0.3933298800616295,0.00198863585014869,0.01658661302913028,True
13,biobert,title,-0.23898067099608733,-0.24044824870271014,0.0014675777066228135,0.04695358290955795,False
13,biobert,abstract,0.3539354258638171,0.3488773860284774,0.0050580398353397005,0.0315811004109276,True
13,simcse,title,-0.017224714800342378,-0.01624005303430584,0.0009846617660365375,0.023790460843568395,True
13,simcse,abstract,0.43426679008190416,0.4338365758199627,0.00043021426194145285,0.01613808003067624,True
13,mean_of_ten_fixed_models,title,0.05846603335965719,0.05899187221332727,0.0005258388536700867,0.02175694462818721,True
13,mean_of_ten_fixed_models,abstract,0.3758694410222625,0.37423131651606983,0.001638124506192662,0.011302343692698391,True
14,specter,title,0.17371421432126832,0.1776289988515929,0.0039147845303245665,0.037658131779135795,True
14,specter,abstract,0.38652418720370174,0.38874940824293847,0.0022252210392367244,0.012448571065351743,True
14,specter2,title,0.16548240437417527,0.16540232976767175,8.007460650352738e-05,0.023258732881711708,True
14,specter2,abstract,0.33742833432216335,0.33758375271844987,0.00015541839628652188,0.01275371707626094,True
14,scincl,title,0.13326611060833488,0.13513526079100327,0.0018691501826683943,0.03758632938122268,True
14,scincl,abstract,0.37688756302021836,0.37768443359896786,0.0007968705787494978,0.014773525049395775,True
14,scibert,title,-0.18951040575353434,-0.18734016204492826,0.002170243708606079,0.03642631303055821,True
14,scibert,abstract,0.4049216582706667,0.4060252459785419,0.0011035877078752199,0.023511136324189552,True
14,bert,title,-0.182599465702309,-0.1802789303158072,0.0023205353865018152,0.0352974958964945,True
14,bert,abstract,0.38887046264334013,0.390025404053752,0.0011549414104118916,0.022178209014364403,True
14,mpnet,title,0.1713302588971244,0.17294066303393782,0.0016104041368134314,0.03245097541488018,True
14,mpnet,abstract,0.3716861217029477,0.3739331020411598,0.0022469803382121345,0.01293921887227023,True
14,minilm,title,0.12266971623826872,0.12457483930084329,0.0019051230625745652,0.028706747237402908,True
14,minilm,abstract,0.3794332286823924,0.3805075964877451,0.0010743678053527494,0.015915659721979558,True
14,pubmedbert,title,-0.22303749553946106,-0.22009864969355986,0.0029388458459012057,0.04399904098962176,False
14,pubmedbert,abstract,0.4341318815152686,0.43366560973275114,0.0004662717825174578,0.02189720179329202,True
14,biobert,title,-0.2996145378228917,-0.2971145006078154,0.0025000372150763006,0.040014811737014155,False
14,biobert,abstract,0.4003889073883218,0.39998975583370644,0.00039915155461534013,0.03769137087757074,True
14,simcse,title,-0.11496071203405972,-0.11351873329822018,0.0014419787358395386,0.03327899053409776,True
14,simcse,abstract,0.41265946127190006,0.41381451973083533,0.0011550584589352653,0.01814065001441395,True
14,mean_of_ten_fixed_models,title,-0.024325991241308426,-0.02174807973375717,0.0025779115075512567,0.021382185707355103,True
14,mean_of_ten_fixed_models,abstract,0.38929318060209206,0.3899952909844304,0.0007021103823383612,0.017036837035115993,True
15,specter,title,0.12005108969818334,0.12154369877068691,0.0014926090725035646,0.02282738170669231,True
15,specter,abstract,0.21312020198542492,0.21419662453125343,0.0010764225458285148,0.018093374143282964,True
15,specter2,title,0.12484879547958105,0.12526457700584484,0.0004157815262637865,0.01930887915990631,True
15,specter2,abstract,0.2570532292703047,0.25684799781808176,0.0002052314522229537,0.01583706394361592,True
15,scincl,title,0.13594224366828228,0.13687136112118242,0.0009291174529001411,0.022265043418814384,True
