field_id,k,model_a,input_a,model_b,input_b,kind,mean_overlap,chance_adjusted
11,10,specter2,abstract,minilm,abstract,model,0.3324,0.32564974721941353
11,10,specter2,abstract,pubmedbert,abstract,model,0.2016,0.19352719919110212
11,10,specter2,abstract,biobert,abstract,model,0.2032,0.19514337714863497
11,10,specter2,abstract,simcse,abstract,model,0.1673,0.15888038422649142
11,10,specter2,abstract,specter2,title_abstract,input,0.6737,0.670400707785642
11,10,scincl,abstract,scibert,abstract,model,0.23279999999999998,0.22504266936299291
11,10,scincl,abstract,bert,abstract,model,0.20539999999999997,0.19736562184024264
11,10,scincl,abstract,mpnet,abstract,model,0.4582,0.4527217391304348
11,10,scincl,abstract,minilm,abstract,model,0.3972,0.39110495449949445
11,10,scincl,abstract,pubmedbert,abstract,model,0.2212,0.21332537917087968
11,10,scincl,abstract,biobert,abstract,model,0.2205,0.21261830131445905
11,10,scincl,abstract,simcse,abstract,model,0.19019999999999998,0.18201193124368048
11,10,scincl,abstract,scincl,title_abstract,input,0.7388,0.7361589484327604
11,10,scibert,abstract,bert,abstract,model,0.3816,0.37534721941354904
11,10,scibert,abstract,mpnet,abstract,model,0.2334,0.22564873609706773
11,10,scibert,abstract,minilm,abstract,model,0.22879999999999998,0.22100222446916074
11,10,scibert,abstract,pubmedbert,abstract,model,0.5365,0.5318134479271992
11,10,scibert,abstract,biobert,abstract,model,0.5384,0.5337326592517695
11,10,scibert,abstract,simcse,abstract,model,0.2492,0.24160849342770477
11,10,scibert,abstract,scibert,title_abstract,input,0.8349,0.8332306370070778
11,10,bert,abstract,mpnet,abstract,model,0.23620000000000002,0.22847704752275028
11,10,bert,abstract,minilm,abstract,model,0.23479999999999998,0.227062891809909
11,10,bert,abstract,pubmedbert,abstract,model,0.38180000000000003,0.37554924165824066
11,10,bert,abstract,biobert,abstract,model,0.4204,0.4145395348837209
11,10,bert,abstract,simcse,abstract,model,0.3606,0.3541348837209302
11,10,bert,abstract,bert,title_abstract,input,0.8126,0.8107051567239636
11,10,mpnet,abstract,minilm,abstract,model,0.5226,0.5177729019211325
11,10,mpnet,abstract,pubmedbert,abstract,model,0.2332,0.22544671385237613
11,10,mpnet,abstract,biobert,abstract,model,0.2387,0.23100232558139536
11,10,mpnet,abstract,simcse,abstract,model,0.21269999999999997,0.20473943377148632
11,10,mpnet,abstract,mpnet,title_abstract,input,0.8023999999999999,0.8004020222446915
11,10,minilm,abstract,pubmedbert,abstract,model,0.2198,0.21191122345803842
11,10,minilm,abstract,biobert,abstract,model,0.23079999999999998,0.22302244691607684
11,10,minilm,abstract,simcse,abstract,model,0.2204,0.21251729019211327
11,10,minilm,abstract,minilm,title_abstract,input,0.7554000000000001,0.7529267947421638
11,10,pubmedbert,abstract,biobert,abstract,model,0.5509999999999999,0.5464600606673407
11,10,pubmedbert,abstract,simcse,abstract,model,0.2453,0.2376690596562184
11,10,pubmedbert,abstract,pubmedbert,title_abstract,input,0.8321,0.8304023255813953
11,10,biobert,abstract,simcse,abstract,model,0.2652,0.25777027300303335
11,10,biobert,abstract,biobert,title_abstract,input,0.8013999999999999,0.7993919110212334
11,10,simcse,abstract,simcse,title_abstract,input,0.7261,0.7233305358948432
11,10,specter,title_abstract,specter2,title_abstract,model,0.3694,0.36302386248736096
11,10,specter,title_abstract,scincl,title_abstract,model,0.4873,0.4821159757330637
