outcome,field_id,period_start,mean,median
cka_primary,11,2000,0.6000258788837164,0.5434142807232268
cka_primary,11,2005,0.6153633234666663,0.5513586506558481
cka_primary,11,2010,0.6035479189613328,0.5281727410056378
cka_primary,11,2015,0.6422431854940881,0.5865601035247852
cka_primary,11,2020,0.6311317515113165,0.5697440880844776
cka_primary,12,2000,0.5534094186707468,0.4962409005910598
cka_primary,12,2005,0.5694025905707751,0.52454615103779
cka_primary,12,2010,0.5872284766820995,0.5516429067214295
cka_primary,12,2015,0.5956708432616827,0.5676974639797724
cka_primary,12,2020,0.6139168081083862,0.6026911839935102
cka_primary,13,2000,0.5997223278977106,0.5540722377659579
cka_primary,13,2005,0.6008883316536929,0.5448720724167814
cka_primary,13,2010,0.6100943042332089,0.552389107461005
cka_primary,13,2015,0.6159162150707771,0.5665771841938619
cka_primary,13,2020,0.6243089485462084,0.5767981118951976
cka_primary,14,2000,0.5853607908954749,0.5483383483572831
cka_primary,14,2005,0.5780925054916954,0.5408294578291618
cka_primary,14,2010,0.5711725227966316,0.5289229584555194
cka_primary,14,2015,0.5803316479093769,0.5221974758524144
cka_primary,14,2020,0.586971995478402,0.5301354386292119
cka_primary,15,2000,0.6883782200463102,0.6567319807492844
cka_primary,15,2005,0.697767929564407,0.6587855442014615
cka_primary,15,2010,0.7087573900825034,0.6715404240073534
cka_primary,15,2015,0.7225219256557911,0.6916157541505669
cka_primary,15,2020,0.7104445288760988,0.6705419989854507
cka_primary,16,2000,0.6516125382941648,0.6498249236591369
cka_primary,16,2005,0.6758478482103933,0.6738905618257691
cka_primary,16,2010,0.6801820585946506,0.668411030147892
cka_primary,16,2015,0.6879242158540997,0.6686320825632223
cka_primary,16,2020,0.694320301631509,0.6614538727495226
cka_primary,17,2000,0.6305297287965101,0.5631221792701954
cka_primary,17,2005,0.6269482329265655,0.573383747914332
cka_primary,17,2010,0.6148802109830935,0.556999186177955
cka_primary,17,2015,0.6208143666377586,0.5523621442917653
cka_primary,17,2020,0.6471306351513613,0.5795339557556051
cka_primary,18,2000,0.6270649563985461,0.5708155027743165
cka_primary,18,2005,0.6189710642770728,0.5624196497928853
cka_primary,18,2010,0.616327025182893,0.552843349474491
cka_primary,18,2015,0.6384498225900624,0.57625684401026
cka_primary,18,2020,0.6419406330315578,0.5792193759600084
cka_primary,19,2000,0.6604492826000805,0.6284321139603573
cka_primary,19,2005,0.6812124764804476,0.6426338790837154
cka_primary,19,2010,0.6756703070666228,0.6292569666889529
cka_primary,19,2015,0.680584286042483,0.6450679230523781
cka_primary,19,2020,0.6873399273576328,0.6566523969927083
cka_primary,20,2000,0.6008627056011702,0.5528247691575885
cka_primary,20,2005,0.6009187217056007,0.5561592694044271
cka_primary,20,2010,0.5971433297766204,0.5499204126348796
cka_primary,20,2015,0.5917126996200134,0.5533187506730851
cka_primary,20,2020,0.5922033788794951,0.5548655817061943
cka_primary,21,2000,0.7514839275015124,0.722704887226585
cka_primary,21,2005,0.7697779204278035,0.7359176613169567
cka_primary,21,2010,0.7889180095784861,0.762076662799633
cka_primary,21,2015,0.8043476066373144,0.7795594002060194
cka_primary,21,2020,0.8013476788995368,0.7721799997610462
cka_primary,22,2000,0.6167155302822123,0.5498010089179285
cka_primary,22,2005,0.6127299106082498,0.5564535481550509
cka_primary,22,2010,0.6131541509205791,0.5551213915289585
cka_primary,22,2015,0.6316756128954264,0.57125068070976
cka_primary,22,2020,0.6414423952253533,0.5764808021737694
cka_primary,23,2000,0.6428180544098235,0.5993079802311805
cka_primary,23,2005,0.658627777455793,0.6150499989830377
cka_primary,23,2010,0.6481136730136107,0.5997348697539586
cka_primary,23,2015,0.6463092649938954,0.5972958621377575
cka_primary,23,2020,0.6423887898844527,0.5915241292417365
cka_primary,24,2000,0.6300321316278572,0.5895315800343199
cka_primary,24,2005,0.6281622593876756,0.5860399265179851
cka_primary,24,2010,0.642198960773385,0.5962970970386355
cka_primary,24,2015,0.6511883505221141,0.6013498581239757
cka_primary,24,2020,0.6581790164842882,0.6250069315166789
cka_primary,25,2000,0.6118783150590192,0.576182062743626
cka_primary,25,2005,0.6298305040447338,0.5983398710026926
cka_primary,25,2010,0.6330670531925189,0.5964084674011184
cka_primary,25,2015,0.6323036697239577,0.5902410450847749
cka_primary,25,2020,0.642531254189884,0.5935701299381809
cka_primary,26,2000,0.6423660626916535,0.6206619723192033
cka_primary,26,2005,0.6491249274678143,0.6319732180457285
cka_primary,26,2010,0.6599125698149872,0.6457601416288932
cka_primary,26,2015,0.6715288656267278,0.6471241182390167
cka_primary,26,2020,0.7338296381384525,0.7070442840926379
cka_primary,27,2000,0.5547025909569862,0.48276670900582935
cka_primary,27,2005,0.5426208576214301,0.4677128757218501
cka_primary,27,2010,0.5480115484665328,0.4682984597834372
cka_primary,27,2015,0.5570697990496078,0.47129325837403463
cka_primary,27,2020,0.5666052942228533,0.47419379434297587
cka_primary,28,2000,0.6596413666687266,0.6266250914667619
cka_primary,28,2005,0.6472592207891618,0.5957794406772643
cka_primary,28,2010,0.6652734365908661,0.6288822767668047
cka_primary,28,2015,0.6578113263684098,0.6221991403135205
cka_primary,28,2020,0.6508331040384466,0.6172590451388773
cka_primary,29,2000,0.6707910483840495,0.6218746653186342
cka_primary,29,2005,0.6600062717290178,0.611182006095048
cka_primary,29,2010,0.6643978375268735,0.6093889434774391
cka_primary,29,2015,0.6647907610398899,0.6012272248366569
cka_primary,29,2020,0.6811114647358966,0.6308959998307397
cka_primary,30,2000,0.6517368254294069,0.6133124946917166
cka_primary,30,2005,0.6303851484579177,0.5796445037944064
cka_primary,30,2010,0.636396475066724,0.5863399528486422
cka_primary,30,2015,0.663762274648963,0.6069115588457886
cka_primary,30,2020,0.6630232839640703,0.6157177971874376
cka_primary,31,2000,0.6645731490958806,0.6364650718316406
