field_id,model,input_condition,effect_full1000,median_effect500,absolute_median_change,central95_width500,passes_operational_screen
11,biobert,title,-0.28049506926780277,-0.28160882735230824,0.0011137580845054784,0.04548002819645336,False
11,biobert,abstract,0.3650122753834091,0.36111840305528137,0.003893872328127712,0.05411498300758755,False
12,specter,title,0.10226814942308948,0.10585478787438762,0.003586638451298141,0.04987437752806535,False
12,bert,title,-0.20584460937233806,-0.20463944240586898,0.001205166966469079,0.04298226458559165,False
12,pubmedbert,title,-0.22206988194191168,-0.2180210127912209,0.004048869150690776,0.06489742853302694,False
12,biobert,title,-0.2990691097478488,-0.3007635893833911,0.001694479635542312,0.045899070585664836,False
13,bert,title,0.04554258932430827,0.0473515018284176,0.0018089125041093335,0.04552023909313131,False
13,biobert,title,-0.23898067099608733,-0.24044824870271014,0.0014675777066228135,0.04695358290955795,False
14,pubmedbert,title,-0.22303749553946106,-0.22009864969355986,0.0029388458459012057,0.04399904098962176,False
14,biobert,title,-0.2996145378228917,-0.2971145006078154,0.0025000372150763006,0.040014811737014155,False
16,bert,title,-0.005419744586792619,-0.001453032526705228,0.003966712060087391,0.048497892154822295,False
16,pubmedbert,title,-0.08111420978727935,-0.08523223927779325,0.0041180294905139025,0.049246095862370526,False
16,biobert,title,-0.14201632698467603,-0.14317332827825352,0.0011570012935774865,0.04397991314188408,False
17,pubmedbert,title,-0.20238299631016332,-0.2045631125345558,0.0021801162243924865,0.04870388123124214,False
18,biobert,abstract,0.3542255842049819,0.36523582231980495,0.011010238114823045,0.06154923984932881,False
19,biobert,abstract,0.30156991209722733,0.30055952090637683,0.0010103911908505014,0.05098701150410123,False
20,pubmedbert,title,-0.22844524415754336,-0.22632455741323515,0.002120686744308209,0.04433569075975749,False
20,biobert,abstract,0.4030308977111697,0.3972517196061773,0.0057791781049924,0.06638340925952824,False
23,pubmedbert,title,-0.11974477923473714,-0.11876562552657774,0.0009791537081594026,0.04062816272784146,False
23,biobert,title,-0.30454937371892804,-0.3005433407503407,0.004006032968587314,0.04740753687144139,False
24,bert,title,0.01902130358222187,0.01623117677297589,0.0027901268092459797,0.04089029058089385,False
24,biobert,abstract,0.3869730115656329,0.3839120885933078,0.0030609229723251308,0.0907540776511988,False
25,pubmedbert,title,-0.1414958612611491,-0.1397429987896336,0.001752862471515515,0.04076181991481831,False
26,scibert,title,-0.16953915098258482,-0.17235404052695527,0.0028148895443704525,0.04043886799905394,False
26,pubmedbert,title,-0.22675470996533142,-0.22833627859901487,0.0015815686336834445,0.04356248140608024,False
26,biobert,abstract,0.3523612139086869,0.3520809814118203,0.0002802324968665948,0.04317140192713825,False
28,pubmedbert,title,-0.08132840432937627,-0.07882726311234134,0.00250114121703493,0.04133272885276941,False
29,biobert,abstract,0.31484310704473867,0.3079400749450662,0.006903032099672468,0.06166771191080078,False
33,pubmedbert,title,-0.20338576860935764,-0.20389213508897022,0.00050636647961258,0.05774422047643707,False
33,pubmedbert,abstract,0.4067788202046885,0.40573011579720336,0.0010487044074851126,0.04355514605167221,False
36,bert,title,-0.12598982865550484,-0.12668415634742475,0.0006943276919199048,0.04476161174024043,False
