metric,condition,reference,minimum_relative_difference,affected_models,field_pairs,reference_unanimous,reference_contradiction,reference_unresolved,changed_unanimous,changed_contradiction,changed_unresolved,model_direction_flips,affected_model_comparisons,pair_class_changes,original_persistent_contradictions,reference_supported_original_contradictions,same_original_witness_pair_retained,original_unanimous_retained_by_every_model
angle_p50,minilm512,primary,0.01,1,325,37,258,30,36,259,30,0,325,2,238,238,238,30
angle_p50,minilm512,primary,0.05,1,325,15,131,179,15,132,178,0,325,1,96,96,96,10
angle_p50,minilm512,primary,0.1,1,325,0,22,303,0,22,303,0,325,0,19,19,19,0
pr,minilm512,primary,0.0,1,325,80,245,0,80,245,0,10,325,0,221,221,221,54
pr,minilm512,primary,0.01,1,325,74,240,11,74,240,11,5,325,0,213,213,213,50
pr,minilm512,primary,0.05,1,325,54,219,52,53,219,53,0,325,1,177,177,177,36
pr,minilm512,primary,0.1,1,325,34,174,117,34,174,117,0,325,0,126,126,126,26
angle_p50,size500,primary,0.0,10,325,50,275,0,52,273,0,141,3250,6,262,262,262,42
angle_p50,size500,primary,0.01,10,325,37,258,30,41,252,32,1,3250,18,238,238,235,30
angle_p50,size500,primary,0.05,10,325,15,131,179,14,123,188,0,3250,23,96,96,94,10
angle_p50,size500,primary,0.1,10,325,0,22,303,0,23,302,0,3250,7,19,19,19,0
pr,size500,primary,0.0,10,325,80,245,0,79,246,0,142,3250,17,221,221,219,53
pr,size500,primary,0.01,10,325,74,240,11,73,239,13,70,3250,21,213,213,211,50
pr,size500,primary,0.05,10,325,54,219,52,54,225,46,1,3250,34,177,177,174,36
pr,size500,primary,0.1,10,325,34,174,117,35,175,115,0,3250,42,126,126,124,26
angle_p50,size4000,primary,0.0,10,325,50,275,0,55,270,0,41,3250,7,262,262,262,42
angle_p50,size4000,primary,0.01,10,325,37,258,30,40,257,28,0,3250,6,238,238,238,30
angle_p50,size4000,primary,0.05,10,325,15,131,179,15,128,182,0,3250,11,96,96,96,10
angle_p50,size4000,primary,0.1,10,325,0,22,303,0,22,303,0,3250,0,19,19,19,0
pr,size4000,primary,0.0,10,325,80,245,0,75,250,0,59,3250,13,221,221,221,54
pr,size4000,primary,0.01,10,325,74,240,11,70,242,13,3,3250,17,213,213,213,50
pr,size4000,primary,0.05,10,325,54,219,52,51,220,54,0,3250,12,177,177,177,36
pr,size4000,primary,0.1,10,325,34,174,117,37,177,111,0,3250,12,126,126,126,26
