metric,field_a,field_b,field_a_name,field_b_name,class,positive_count,negative_count,unresolved_count,positive_models,negative_models,unresolved_models,opposing_model_pairs,total_model_pairs,primary_point_class,minimum5pct_class,all_alternatives_class,median_absolute_primary_relative_difference,minimum_primary_relative_difference,maximum_primary_relative_difference
angle_p50,11,22,Agricultural and Biological Sciences,Engineering,contradiction,6,2,2,specter|specter2|scincl|mpnet|minilm|simcse,scibert|pubmedbert,bert|biobert,12,45,contradiction,unresolved,contradiction,0.019248220362890575,-0.020191600058635784,0.13925874285783102
angle_p50,11,23,Agricultural and Biological Sciences,Environmental Science,contradiction,5,1,4,scincl|bert|mpnet|minilm|simcse,specter,specter2|scibert|pubmedbert|biobert,5,45,contradiction,unresolved,contradiction,0.02965555238425828,-0.029819696917468275,0.05671941595809796
angle_p50,11,24,Agricultural and Biological Sciences,Immunology and Microbiology,unresolved,0,8,2,,specter2|scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,specter|scincl,0,45,contradiction,unresolved,unresolved,0.03052932424747717,-0.13537173670297978,0.002272096818532208
angle_p50,11,25,Agricultural and Biological Sciences,Materials Science,contradiction,1,7,2,minilm,specter|scincl|scibert|bert|pubmedbert|biobert|simcse,specter2|mpnet,7,45,contradiction,unresolved,contradiction,0.05357760577290133,-0.10388857340061174,0.016586632754752122
angle_p50,11,26,Agricultural and Biological Sciences,Mathematics,contradiction,6,3,1,scincl|bert|mpnet|minilm|pubmedbert|biobert,specter|specter2|simcse,scibert,18,45,contradiction,contradiction,contradiction,0.04444296189538052,-0.12920941142744707,0.06308394146668886
angle_p50,11,27,Agricultural and Biological Sciences,Medicine,contradiction,5,3,2,specter|specter2|scincl|mpnet|minilm,bert|biobert|simcse,scibert|pubmedbert,15,45,contradiction,contradiction,contradiction,0.04410900399215667,-0.07872211033686952,0.09444957473034327
angle_p50,11,28,Agricultural and Biological Sciences,Neuroscience,contradiction,4,6,0,specter2|scincl|mpnet|minilm,specter|scibert|bert|pubmedbert|biobert|simcse,,24,45,contradiction,contradiction,contradiction,0.021549882149637697,-0.0606046801849072,0.10302383687619522
angle_p50,11,29,Agricultural and Biological Sciences,Nursing,contradiction,3,3,4,specter|scincl|minilm,specter2|bert|biobert,scibert|mpnet|pubmedbert|simcse,9,45,contradiction,unresolved,contradiction,0.011416542503376412,-0.019728204231950874,0.02924668482965119
angle_p50,11,30,Agricultural and Biological Sciences,"Pharmacology, Toxicology and Pharmaceutics",contradiction,4,5,1,specter|scibert|pubmedbert|biobert,specter2|bert|mpnet|minilm|simcse,scincl,20,45,contradiction,unresolved,unresolved,0.016462073189288055,-0.04221456681875365,0.016392114706345162
angle_p50,11,31,Agricultural and Biological Sciences,Physics and Astronomy,contradiction,4,4,2,specter2|scincl|mpnet|minilm,specter|scibert|bert|simcse,pubmedbert|biobert,16,45,contradiction,unresolved,contradiction,0.03735687954748325,-0.0539375281943684,0.044342565269194764
angle_p50,11,32,Agricultural and Biological Sciences,Psychology,contradiction,5,3,2,scincl|mpnet|minilm|biobert|simcse,specter|specter2|bert,scibert|pubmedbert,15,45,contradiction,contradiction,contradiction,0.020201997985549676,-0.06512388601841801,0.09109084546106636
angle_p50,11,33,Agricultural and Biological Sciences,Social Sciences,contradiction,7,2,1,scincl|bert|mpnet|minilm|pubmedbert|biobert|simcse,specter|specter2,scibert,14,45,contradiction,contradiction,contradiction,0.03753852942798121,-0.0649685290630442,0.12938671438032195
angle_p50,11,34,Agricultural and Biological Sciences,Veterinary,unanimous,0,10,0,,specter|specter2|scincl|scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,,0,45,unanimous,unresolved,unresolved,0.03829794570468263,-0.09211809666878347,-0.010840799043329673
angle_p50,11,35,Agricultural and Biological Sciences,Dentistry,unanimous,0,10,0,,specter|specter2|scincl|scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,,0,45,unanimous,unanimous,unanimous,0.11829678850967715,-0.17156415440255704,-0.08379985818389546
angle_p50,11,36,Agricultural and Biological Sciences,Health Professions,contradiction,5,2,3,scincl|minilm|pubmedbert|biobert|simcse,specter|specter2,scibert|bert|mpnet,10,45,contradiction,unresolved,contradiction,0.021329970044744337,-0.030839788311493244,0.06598537321649477
angle_p50,12,13,Arts and Humanities,"Biochemistry, Genetics and Molecular Biology",contradiction,5,3,2,specter|specter2|scincl|scibert|mpnet,bert|biobert|simcse,minilm|pubmedbert,15,45,contradiction,contradiction,contradiction,0.07489483855885387,-0.17052466933912344,0.18025270961232534
angle_p50,12,14,Arts and Humanities,"Business, Management and Accounting",contradiction,3,7,0,specter|specter2|scincl,scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,,21,45,contradiction,contradiction,contradiction,0.04961766749410224,-0.11547091669950348,0.09458177847928474
