metric,field_a,field_b,field_a_name,field_b_name,class,positive_models,negative_models,unresolved_models,alternative_conditions
pr,19,20,Earth and Planetary Sciences,"Economics, Econometrics and Finance",unresolved,7,0,3,3
pr,19,21,Earth and Planetary Sciences,Energy,unresolved,0,4,6,3
pr,19,22,Earth and Planetary Sciences,Engineering,unresolved,8,0,2,3
pr,19,23,Earth and Planetary Sciences,Environmental Science,unresolved,8,0,2,3
pr,19,24,Earth and Planetary Sciences,Immunology and Microbiology,contradiction,5,3,2,3
pr,19,25,Earth and Planetary Sciences,Materials Science,unresolved,6,0,4,3
pr,19,26,Earth and Planetary Sciences,Mathematics,contradiction,4,2,4,3
pr,19,27,Earth and Planetary Sciences,Medicine,unresolved,7,0,3,3
pr,19,28,Earth and Planetary Sciences,Neuroscience,contradiction,7,2,1,3
pr,19,29,Earth and Planetary Sciences,Nursing,contradiction,4,5,1,3
pr,19,30,Earth and Planetary Sciences,"Pharmacology, Toxicology and Pharmaceutics",contradiction,3,2,5,3
pr,19,31,Earth and Planetary Sciences,Physics and Astronomy,contradiction,5,2,3,3
pr,19,32,Earth and Planetary Sciences,Psychology,unresolved,8,0,2,3
pr,19,33,Earth and Planetary Sciences,Social Sciences,unresolved,7,0,3,3
pr,19,34,Earth and Planetary Sciences,Veterinary,contradiction,4,3,3,3
pr,19,35,Earth and Planetary Sciences,Dentistry,contradiction,3,3,4,3
pr,19,36,Earth and Planetary Sciences,Health Professions,unresolved,8,0,2,3
pr,20,21,"Economics, Econometrics and Finance",Energy,unresolved,0,9,1,3
pr,20,22,"Economics, Econometrics and Finance",Engineering,contradiction,7,2,1,3
pr,20,23,"Economics, Econometrics and Finance",Environmental Science,contradiction,1,4,5,3
pr,20,24,"Economics, Econometrics and Finance",Immunology and Microbiology,contradiction,2,4,4,3
pr,20,25,"Economics, Econometrics and Finance",Materials Science,contradiction,2,4,4,3
pr,20,26,"Economics, Econometrics and Finance",Mathematics,unresolved,0,3,7,3
pr,20,27,"Economics, Econometrics and Finance",Medicine,contradiction,4,2,4,3
pr,20,28,"Economics, Econometrics and Finance",Neuroscience,contradiction,4,4,2,3
pr,20,29,"Economics, Econometrics and Finance",Nursing,unresolved,0,6,4,3
pr,20,30,"Economics, Econometrics and Finance","Pharmacology, Toxicology and Pharmaceutics",contradiction,1,4,5,3
pr,20,31,"Economics, Econometrics and Finance",Physics and Astronomy,contradiction,1,5,4,3
pr,20,32,"Economics, Econometrics and Finance",Psychology,contradiction,1,2,7,3
pr,20,33,"Economics, Econometrics and Finance",Social Sciences,contradiction,3,2,5,3
pr,20,34,"Economics, Econometrics and Finance",Veterinary,contradiction,1,6,3,3
pr,20,35,"Economics, Econometrics and Finance",Dentistry,unresolved,0,5,5,3
pr,20,36,"Economics, Econometrics and Finance",Health Professions,unresolved,3,0,7,3
pr,21,22,Energy,Engineering,unresolved,9,0,1,3
pr,21,23,Energy,Environmental Science,unanimous,10,0,0,3
pr,21,24,Energy,Immunology and Microbiology,unresolved,6,0,4,3
pr,21,25,Energy,Materials Science,unresolved,7,0,3,3
pr,21,26,Energy,Mathematics,contradiction,7,2,1,3
pr,21,27,Energy,Medicine,unanimous,10,0,0,3
pr,21,28,Energy,Neuroscience,unresolved,8,0,2,3
pr,21,29,Energy,Nursing,unresolved,8,0,2,3
pr,21,30,Energy,"Pharmacology, Toxicology and Pharmaceutics",unresolved,8,0,2,3
pr,21,31,Energy,Physics and Astronomy,unresolved,7,0,3,3
pr,21,32,Energy,Psychology,unresolved,9,0,1,3
pr,21,33,Energy,Social Sciences,unresolved,7,0,3,3
pr,21,34,Energy,Veterinary,unresolved,7,0,3,3
pr,21,35,Energy,Dentistry,unresolved,6,0,4,3
pr,21,36,Energy,Health Professions,unresolved,9,0,1,3
pr,22,23,Engineering,Environmental Science,contradiction,1,6,3,3
pr,22,24,Engineering,Immunology and Microbiology,unresolved,0,6,4,3
pr,22,25,Engineering,Materials Science,unresolved,0,6,4,3
pr,22,26,Engineering,Mathematics,unresolved,0,8,2,3
pr,22,27,Engineering,Medicine,contradiction,1,3,6,3
pr,22,28,Engineering,Neuroscience,unresolved,0,5,5,3
pr,22,29,Engineering,Nursing,unresolved,0,8,2,3
pr,22,30,Engineering,"Pharmacology, Toxicology and Pharmaceutics",unresolved,0,8,2,3
pr,22,31,Engineering,Physics and Astronomy,unresolved,0,8,2,3
pr,22,32,Engineering,Psychology,contradiction,1,6,3,3
pr,22,33,Engineering,Social Sciences,contradiction,2,7,1,3
pr,22,34,Engineering,Veterinary,unresolved,0,8,2,3
pr,22,35,Engineering,Dentistry,unresolved,0,8,2,3
pr,22,36,Engineering,Health Professions,contradiction,2,6,2,3
pr,23,24,Environmental Science,Immunology and Microbiology,contradiction,1,4,5,3
pr,23,25,Environmental Science,Materials Science,contradiction,1,2,7,3
pr,23,26,Environmental Science,Mathematics,contradiction,1,4,5,3
pr,23,27,Environmental Science,Medicine,contradiction,5,1,4,3
pr,23,28,Environmental Science,Neuroscience,contradiction,3,3,4,3
pr,23,29,Environmental Science,Nursing,unresolved,0,7,3,3
pr,23,30,Environmental Science,"Pharmacology, Toxicology and Pharmaceutics",contradiction,1,6,3,3
pr,23,31,Environmental Science,Physics and Astronomy,contradiction,1,3,6,3
pr,23,32,Environmental Science,Psychology,contradiction,2,1,7,3
pr,23,33,Environmental Science,Social Sciences,contradiction,4,3,3,3
pr,23,34,Environmental Science,Veterinary,contradiction,1,5,4,3
pr,23,35,Environmental Science,Dentistry,unresolved,0,7,3,3
pr,23,36,Environmental Science,Health Professions,contradiction,2,2,6,3
pr,24,25,Immunology and Microbiology,Materials Science,unresolved,6,0,4,3
pr,24,26,Immunology and Microbiology,Mathematics,contradiction,3,3,4,3
pr,24,27,Immunology and Microbiology,Medicine,unresolved,9,0,1,3
pr,24,28,Immunology and Microbiology,Neuroscience,contradiction,5,1,4,3
pr,24,29,Immunology and Microbiology,Nursing,contradiction,2,4,4,3
pr,24,30,Immunology and Microbiology,"Pharmacology, Toxicology and Pharmaceutics",contradiction,2,3,5,3
pr,24,31,Immunology and Microbiology,Physics and Astronomy,contradiction,2,2,6,3
pr,24,32,Immunology and Microbiology,Psychology,contradiction,4,1,5,3
pr,24,33,Immunology and Microbiology,Social Sciences,contradiction,4,3,3,3
pr,24,34,Immunology and Microbiology,Veterinary,contradiction,2,6,2,3
pr,24,35,Immunology and Microbiology,Dentistry,contradiction,1,4,5,3
pr,24,36,Immunology and Microbiology,Health Professions,contradiction,5,1,4,3
pr,25,26,Materials Science,Mathematics,contradiction,1,3,6,3
pr,25,27,Materials Science,Medicine,unresolved,6,0,4,3
pr,25,28,Materials Science,Neuroscience,contradiction,2,2,6,3
pr,25,29,Materials Science,Nursing,unresolved,0,6,4,3
pr,25,30,Materials Science,"Pharmacology, Toxicology and Pharmaceutics",unresolved,0,2,8,3
pr,25,31,Materials Science,Physics and Astronomy,unresolved,0,4,6,3
pr,25,32,Materials Science,Psychology,contradiction,4,2,4,3
pr,25,33,Materials Science,Social Sciences,contradiction,4,4,2,3
pr,25,34,Materials Science,Veterinary,contradiction,1,4,5,3
pr,25,35,Materials Science,Dentistry,unresolved,0,6,4,3
pr,25,36,Materials Science,Health Professions,contradiction,5,2,3,3
pr,26,27,Mathematics,Medicine,unresolved,6,0,4,3
pr,26,28,Mathematics,Neuroscience,contradiction,4,2,4,3
pr,26,29,Mathematics,Nursing,contradiction,3,3,4,3
pr,26,30,Mathematics,"Pharmacology, Toxicology and Pharmaceutics",contradiction,3,3,4,3
pr,26,31,Mathematics,Physics and Astronomy,contradiction,2,1,7,3
pr,26,32,Mathematics,Psychology,unresolved,4,0,6,3
pr,26,33,Mathematics,Social Sciences,unresolved,3,0,7,3
pr,26,34,Mathematics,Veterinary,contradiction,3,2,5,3
pr,26,35,Mathematics,Dentistry,contradiction,3,3,4,3
pr,26,36,Mathematics,Health Professions,unresolved,5,0,5,3
pr,27,28,Medicine,Neuroscience,unresolved,0,6,4,3
pr,27,29,Medicine,Nursing,unanimous,0,10,0,3
pr,27,30,Medicine,"Pharmacology, Toxicology and Pharmaceutics",unresolved,0,8,2,3
pr,27,31,Medicine,Physics and Astronomy,unresolved,0,6,4,3
pr,27,32,Medicine,Psychology,contradiction,1,6,3,3
pr,27,33,Medicine,Social Sciences,contradiction,4,5,1,3
pr,27,34,Medicine,Veterinary,unresolved,0,9,1,3
pr,27,35,Medicine,Dentistry,unresolved,0,8,2,3
pr,27,36,Medicine,Health Professions,contradiction,3,7,0,3
pr,28,29,Neuroscience,Nursing,unresolved,0,7,3,3
pr,28,30,Neuroscience,"Pharmacology, Toxicology and Pharmaceutics",contradiction,1,6,3,3
pr,28,31,Neuroscience,Physics and Astronomy,unresolved,0,4,6,3
pr,28,32,Neuroscience,Psychology,contradiction,3,4,3,3
pr,28,33,Neuroscience,Social Sciences,contradiction,5,4,1,3
pr,28,34,Neuroscience,Veterinary,contradiction,1,5,4,3
pr,28,35,Neuroscience,Dentistry,contradiction,2,8,0,3
pr,28,36,Neuroscience,Health Professions,contradiction,4,4,2,3
pr,29,30,Nursing,"Pharmacology, Toxicology and Pharmaceutics",contradiction,4,4,2,3
pr,29,31,Nursing,Physics and Astronomy,contradiction,4,1,5,3
pr,29,32,Nursing,Psychology,contradiction,4,1,5,3
pr,29,33,Nursing,Social Sciences,contradiction,6,2,2,3
pr,29,34,Nursing,Veterinary,unresolved,2,0,8,3
pr,29,35,Nursing,Dentistry,contradiction,2,3,5,3
pr,29,36,Nursing,Health Professions,contradiction,6,1,3,3
pr,30,31,"Pharmacology, Toxicology and Pharmaceutics",Physics and Astronomy,contradiction,3,2,5,3
pr,30,32,"Pharmacology, Toxicology and Pharmaceutics",Psychology,unresolved,5,0,5,3
pr,30,33,"Pharmacology, Toxicology and Pharmaceutics",Social Sciences,contradiction,4,1,5,3
pr,30,34,"Pharmacology, Toxicology and Pharmaceutics",Veterinary,contradiction,5,4,1,3
pr,30,35,"Pharmacology, Toxicology and Pharmaceutics",Dentistry,contradiction,1,4,5,3
pr,30,36,"Pharmacology, Toxicology and Pharmaceutics",Health Professions,unresolved,4,0,6,3
pr,31,32,Physics and Astronomy,Psychology,unresolved,5,0,5,3
pr,31,33,Physics and Astronomy,Social Sciences,contradiction,4,1,5,3
pr,31,34,Physics and Astronomy,Veterinary,contradiction,2,4,4,3
pr,31,35,Physics and Astronomy,Dentistry,contradiction,2,4,4,3
pr,31,36,Physics and Astronomy,Health Professions,unresolved,5,0,5,3
pr,32,33,Psychology,Social Sciences,contradiction,5,2,3,3
pr,32,34,Psychology,Veterinary,contradiction,2,5,3,3
pr,32,35,Psychology,Dentistry,unresolved,0,7,3,3
pr,32,36,Psychology,Health Professions,contradiction,3,1,6,3
pr,33,34,Social Sciences,Veterinary,contradiction,2,6,2,3
pr,33,35,Social Sciences,Dentistry,contradiction,2,5,3,3
pr,33,36,Social Sciences,Health Professions,contradiction,3,3,4,3
pr,34,35,Veterinary,Dentistry,contradiction,1,4,5,3
pr,34,36,Veterinary,Health Professions,contradiction,6,2,2,3
pr,35,36,Dentistry,Health Professions,unresolved,6,0,4,3
