outcome,model_a,model_b,observed,descriptive_fit,residual
cka_primary,specter,specter2,0.747969263227318,0.786391361278704,-0.03842209805138597
cka_primary,specter,scincl,0.807217616215905,0.786391361278704,0.020826254937201027
cka_primary,specter,scibert,0.5689129103673344,0.6076815795409687,-0.03876866917363431
cka_primary,specter,bert,0.5653965847759167,0.5746644209119158,-0.00926783613599913
cka_primary,specter,mpnet,0.7694841285744236,0.6812818024785497,0.08820232609587386
cka_primary,specter,minilm,0.7280959983675267,0.6812818024785497,0.04681419588897695
cka_primary,specter,pubmedbert,0.5184842834431743,0.5746644209119158,-0.05618013746874151
cka_primary,specter,biobert,0.5489668531732868,0.5746644209119158,-0.02569756773862908
cka_primary,specter,simcse,0.5449156381801454,0.45913417274748475,0.08578146543266069
cka_primary,specter2,scincl,0.8074390777523668,0.786391361278704,0.02104771647366277
cka_primary,specter2,scibert,0.5836856772439026,0.6076815795409687,-0.023995902297066052
cka_primary,specter2,bert,0.5316922109257339,0.5746644209119158,-0.0429722099861819
cka_primary,specter2,mpnet,0.7583846650982787,0.6812818024785497,0.07710286261972898
cka_primary,specter2,minilm,0.7098317009580413,0.6812818024785497,0.02854989847949152
cka_primary,specter2,pubmedbert,0.5090920409311159,0.5746644209119158,-0.0655723799807999
cka_primary,specter2,biobert,0.5383637470256759,0.5746644209119158,-0.03630067388623992
cka_primary,specter2,simcse,0.5057961182082769,0.45913417274748475,0.04666194546079211
cka_primary,scincl,scibert,0.560218095664343,0.6076815795409687,-0.04746348387662569
cka_primary,scincl,bert,0.5462974888671849,0.5746644209119158,-0.028366932044730953
cka_primary,scincl,mpnet,0.7863542221845136,0.6812818024785497,0.10507241970596382
cka_primary,scincl,minilm,0.7416343520446516,0.6812818024785497,0.06035254956610181
cka_primary,scincl,pubmedbert,0.5018560910037018,0.5746644209119158,-0.07280832990821406
cka_primary,scincl,biobert,0.5311143469365683,0.5746644209119158,-0.04355007397534749
cka_primary,scincl,simcse,0.5266915121577813,0.45913417274748475,0.06755733941029657
cka_primary,scibert,bert,0.7433250855159814,0.795206479086074,-0.05188139357009258
cka_primary,scibert,mpnet,0.5504238783561752,0.5657515543141187,-0.015327675957943487
cka_primary,scibert,minilm,0.538032368529965,0.5657515543141187,-0.027719185784153666
cka_primary,scibert,pubmedbert,0.8423717818255373,0.795206479086074,0.04716530273946329
cka_primary,scibert,biobert,0.8370444425706781,0.795206479086074,0.04183796348460411
cka_primary,scibert,simcse,0.6312873395461132,0.5746644209119158,0.05662291863419733
cka_primary,bert,mpnet,0.5618623885265127,0.542179681772069,0.019682706754443724
cka_primary,bert,minilm,0.5709499506862448,0.542179681772069,0.02877026891417578
cka_primary,bert,pubmedbert,0.746585406383269,0.795206479086074,-0.048621072702805024
cka_primary,bert,biobert,0.7747901506285032,0.8517955102571764,-0.07700535962867316
cka_primary,bert,simcse,0.7835937282350697,0.6076815795409687,0.175912148694101
cka_primary,mpnet,minilm,0.8329678383147527,0.8364197116742356,-0.0034518733594828266
cka_primary,mpnet,pubmedbert,0.5005454851808686,0.5657515543141187,-0.06520606913325011
cka_primary,mpnet,biobert,0.5362721812527547,0.5657515543141187,-0.029479373061364056
cka_primary,mpnet,simcse,0.5457608897210088,0.6577099299365001,-0.11194904021549135
cka_primary,minilm,pubmedbert,0.4931532997295127,0.5657515543141187,-0.072598254584606
cka_primary,minilm,biobert,0.527628386863076,0.5657515543141187,-0.03812316745104272
