field_id,metric,model_group,n,mean,median,min,max,p025,p975
11,cka_debiased,all,10,0.013629864847099016,0.01352503935072269,0.002366301503895274,0.02112879853138927,0.003969066684327918,0.020480471791033825
11,cka_debiased,without_biomedical,10,0.01541860833088915,0.01595021643160005,0.007980043749181598,0.020850520336356038,0.008979404569472068,0.02032523255474393
11,cka_debiased,one_biomedical,10,0.01086150619875027,0.012215654299592482,-0.0071891547092155506,0.022302763141204718,-0.004607057051629254,0.021531738824227306
11,cka_debiased,both_biomedical,10,0.00783878567455506,0.010342937841360589,-0.0019311819543416098,0.011353105036885136,-0.0003489010312610647,0.01130360573379619
11,neighbors_k10,all,10,0.004041775173611123,0.004032118055555561,0.000643446180555618,0.006144748263888888,0.001106825086805617,0.006059299045138896
11,neighbors_k10,without_biomedical,10,0.005623604910714297,0.005329241071428598,0.0036499023437499556,0.0076886858258928825,0.0037593732561383665,0.007621590750558064
11,neighbors_k10,one_biomedical,10,0.0015020751953125078,0.00220489501953125,-0.00396728515625,0.0043792724609375555,-0.0031577301025390524,0.004188385009765661
11,neighbors_k10,both_biomedical,10,0.0003857421875000155,0.0025146484375000444,-0.009765625,0.005859375,-0.008798828125000005,0.0056616210937500055
11,neighbors_k25,all,10,0.006411935763888893,0.0068565538194445,0.0010781249999999298,0.009431857638888819,0.0020969726562499336,0.009063693576388834
11,neighbors_k25,without_biomedical,10,0.008019461495535712,0.008223005022321483,0.0038748604910714413,0.009530552455357166,0.004566685267857152,0.009528355189732156
11,neighbors_k25,one_biomedical,10,0.003838134765625001,0.004094848632812509,-0.0034802246093750266,0.009570312500000011,-0.002174774169921896,0.008573028564453139
11,neighbors_k25,both_biomedical,10,0.002582031249999994,0.002832031249999978,-0.004296874999999978,0.008867187499999929,-0.003171874999999977,0.007874023437499959
11,neighbors_k50,all,10,0.0076416015625,0.007638454861111171,0.0030503472222222494,0.01026757812500001,0.0038398980034722433,0.010168652343750006
11,neighbors_k50,without_biomedical,10,0.009559361049107151,0.009844447544642893,0.0055747767857143304,0.011989746093750031,0.00626267787388394,0.011683855329241091
11,neighbors_k50,one_biomedical,10,0.0045148925781250075,0.004233398437500008,-0.0010241699218749845,0.009954223632812509,-0.00022724914550781294,0.00913890075683595
