outcome,omitted_model,feature,rank,columns,identified,coefficient,r_squared
cka_sep,minilm,same_architecture,7,7,True,-0.09130149776550367,0.21728916638643903
cka_sep,minilm,same_lineage,7,7,True,-0.04482188581432837,0.21728916638643903
cka_sep,minilm,same_final_corpus_group,7,7,True,0.40183896789270535,0.21728916638643903
cka_sep,minilm,same_objective,7,7,True,-0.028616019631980325,0.21728916638643903
cka_sep,minilm,same_domain,7,7,True,-0.06666016622993452,0.21728916638643903
cka_sep,minilm,same_pooling,7,7,True,0.007375558244974229,0.21728916638643903
cka_sep,pubmedbert,intercept,7,7,True,0.6405636585527884,0.46054068045937935
cka_sep,pubmedbert,same_architecture,7,7,True,-0.19986995357477202,0.46054068045937935
cka_sep,pubmedbert,same_lineage,7,7,True,0.15955402481720612,0.46054068045937935
cka_sep,pubmedbert,same_final_corpus_group,7,7,True,0.5280852961849968,0.46054068045937935
cka_sep,pubmedbert,same_objective,7,7,True,-0.18726610518992523,0.46054068045937935
cka_sep,pubmedbert,same_domain,7,7,True,-0.2373548386394849,0.46054068045937935
cka_sep,pubmedbert,same_pooling,7,7,True,0.08510738453738509,0.46054068045937935
cka_sep,biobert,intercept,7,7,True,0.6643635976763936,0.4647362626171804
cka_sep,biobert,same_architecture,7,7,True,-0.2046239680342547,0.4647362626171804
cka_sep,biobert,same_lineage,7,7,True,0.21965644802302633,0.4647362626171804
