field_id,period_start,model_a,model_b,full_cka,median_1024,median_2048,median_change,p025_2048,p975_2048,central95_width,median_minus_full,passes_original_screen,width_alert,size_shift_alert,status
11,2000,specter,specter2,0.7106489702168494,0.7095991755986821,0.7108786958763977,0.0012795202777156067,0.7095322246024627,0.7123999727206839,0.002867748118221214,0.00022972565954837432,True,False,False,original_screen_passed
11,2000,specter,scincl,0.8355608919338784,0.83589746526551,0.8357166814281354,0.00018078383737463177,0.8347851359989161,0.8365011054482839,0.0017159694493678046,0.00015578949425698596,True,False,False,original_screen_passed
11,2000,specter,scibert,0.5436471494610364,0.5427793378955557,0.5438303948422825,0.0010510569467268027,0.5406301818724456,0.5461515860445995,0.005521404172153854,0.0001832453812460333,True,False,False,original_screen_passed
11,2000,specter,bert,0.5434142807232268,0.5427519861656361,0.5437867066916169,0.001034720525980748,0.541213795620014,0.5457856542290552,0.004571858609041191,0.0003724259683900444,True,False,False,original_screen_passed
11,2000,specter,mpnet,0.7728974500185749,0.7721740432297473,0.7733403830326369,0.0011663398028896044,0.7718301877871321,0.7749246852225776,0.0030944974354455423,0.0004429330140619525,True,False,False,original_screen_passed
11,2000,specter,minilm,0.7076537872306045,0.7078037876672156,0.7077662651060016,3.7522561214031747e-05,0.7065723421589369,0.7100597432483924,0.003487401089455444,0.00011247787539714338,True,False,False,original_screen_passed
11,2000,specter,pubmedbert,0.4751538367312943,0.472058841506767,0.4754936489238788,0.0034348074171117737,0.4715504151062851,0.47981789835963645,0.00826748325335136,0.0003398121925844988,True,False,False,original_screen_passed
11,2000,specter,biobert,0.5114747170548818,0.5066117941265199,0.5120768370754073,0.005465042948887389,0.5076611747553926,0.5147735504687423,0.007112375713349661,0.0006021200205255095,True,False,False,original_screen_passed
11,2000,specter,simcse,0.4999972500722478,0.5004610967290879,0.5000803106746204,0.0003807860544674524,0.4975488266510087,0.5024967988501969,0.004947972199188244,8.306060237261992e-05,True,False,False,original_screen_passed
11,2000,specter2,scincl,0.7788275334523628,0.7780636946136039,0.7789166868650015,0.0008529922513975663,0.7781575800118842,0.7795592122373329,0.0014016322254487568,8.915341263870946e-05,True,False,False,original_screen_passed
