field_id,recipe,metric,model,input_condition,is_word_bert,mean_effect,alternative_effect,effect_change,input_change_difference,model_change_difference,sign_changed
11,cls,cka,specter,title,False,0.18662970381654087,0.24580399097773115,0.059174287161190275,0.0,0.059174287161190275,False
11,cls,cka,specter,abstract,False,0.3163745059536942,0.3755487931148845,0.059174287161190275,0.0,0.059174287161190275,False
11,cls,cka,specter2,title,False,0.21415826869440396,0.2754479050223837,0.061289636327979735,0.0,0.061289636327979735,False
11,cls,cka,specter2,abstract,False,0.3491900437103424,0.41047968003832214,0.061289636327979735,0.0,0.061289636327979735,False
11,cls,cka,scincl,title,False,0.18429223787501842,0.2457247223618685,0.06143248448685007,0.0,0.06143248448685007,False
11,cls,cka,scincl,abstract,False,0.3326527591878962,0.3940852436747463,0.06143248448685007,0.0,0.06143248448685007,False
11,cls,cka,scibert,title,True,-0.18384403163748048,-0.09178757459095044,0.09205645704653004,0.09136589928494598,0.18342235633147602,False
11,cls,cka,scibert,abstract,True,0.3506597684054557,0.4988665016542857,0.14820673324883,0.03521562308264603,0.18342235633147602,False
11,cls,cka,bert,title,True,-0.047572506424717886,-0.14833367991921598,-0.10076117349449809,0.28675534682546466,0.18599417333096657,False
11,cls,cka,bert,abstract,True,0.3561913566565378,0.46081429300801247,0.10462293635147468,0.08137123697949189,0.18599417333096657,False
11,cls,cka,mpnet,title,False,0.19734008060948555,0.25811382385685466,0.060773743247369116,0.0,0.060773743247369116,False
11,cls,cka,mpnet,abstract,False,0.3370877901578992,0.3978615334052683,0.060773743247369116,0.0,0.060773743247369116,False
11,cls,cka,minilm,title,False,0.14768332751657176,0.2136755033276278,0.06599217581105604,0.0,0.06599217581105604,False
11,cls,cka,minilm,abstract,False,0.3414207777753486,0.40741295358640467,0.06599217581105604,0.0,0.06599217581105604,False
11,cls,cka,pubmedbert,title,True,-0.1179490527347753,-0.15722380007614767,-0.039274747341372374,0.18498339299842526,0.14570864565705288,False
11,cls,cka,pubmedbert,abstract,True,0.39074576678653683,0.5205088344776676,0.12976306769113077,0.01594557796592211,0.14570864565705288,False
11,cls,cka,biobert,title,True,-0.28524954158567667,-0.2644690528218528,0.02078048876382388,0.06669533311155962,0.0874758218753835,False
11,cls,cka,biobert,abstract,True,0.3601910815711556,0.4350795434825035,0.0748884619113479,0.012587359964035594,0.0874758218753835,False
11,cls,cka,simcse,title,False,-0.0760607210842082,-0.021977703323311726,0.05408301776089647,0.0,0.05408301776089647,False
11,cls,cka,simcse,abstract,False,0.41061051190911374,0.4646935296700102,0.05408301776089647,0.0,0.05408301776089647,False
11,cls,neighbors10,specter,title,False,0.07987777777777783,0.12419999999999998,0.04432222222222215,0.0,0.04432222222222215,False
11,cls,neighbors10,specter,abstract,False,0.3402777777777778,0.38459999999999994,0.04432222222222215,0.0,0.04432222222222215,False
11,cls,neighbors10,specter2,title,False,0.11252777777777778,0.14761666666666673,0.03508888888888895,0.0,0.03508888888888895,False
11,cls,neighbors10,specter2,abstract,False,0.39092777777777776,0.4260166666666667,0.03508888888888895,0.0,0.03508888888888895,False
11,cls,neighbors10,scincl,title,False,0.10201111111111105,0.1402888888888889,0.038277777777777855,0.0,0.038277777777777855,False
