field_id,repeat,condition,metric,model_group,medicine,comparison_field,medicine_minus_other
21,0,equal_subfield_composition,cka_debiased,all,0.547947352784975,0.7735362215306824,-0.22558886874570738
21,0,equal_subfield_composition,cka_debiased,without_biomedical,0.5651872962753807,0.7750717626241601,-0.20988446634877944
21,0,equal_subfield_composition,cka_debiased,one_biomedical,0.4999535989821822,0.7623955999464729,-0.26244200096429066
21,0,equal_subfield_composition,cka_debiased,both_biomedical,0.8331289958982996,0.9087910162606617,-0.07566202036236214
21,0,equal_subfield_composition,neighbors_k10,all,0.25625976562499997,0.27313151041666667,-0.0168717447916667
21,0,equal_subfield_composition,neighbors_k10,without_biomedical,0.2635951450892858,0.27586844308035713,-0.012273297991071352
21,0,equal_subfield_composition,neighbors_k10,one_biomedical,0.2287017822265625,0.25501403808593753,-0.026312255859375022
21,0,equal_subfield_composition,neighbors_k10,both_biomedical,0.491796875,0.486376953125,0.005419921875000011
21,0,equal_subfield_composition,neighbors_k25,all,0.28959114583333334,0.3306736111111111,-0.04108246527777776
21,0,equal_subfield_composition,neighbors_k25,without_biomedical,0.29660853794642866,0.3320375279017856,-0.035428989955356927
21,0,equal_subfield_composition,neighbors_k25,one_biomedical,0.26225830078125,0.31460693359375,-0.05234863281250002
21,0,equal_subfield_composition,neighbors_k25,both_biomedical,0.5304296875,0.54955078125,-0.01912109375000004
21,0,equal_subfield_composition,neighbors_k50,all,0.31977300347222215,0.3864338107638888,-0.06666080729166662
21,0,equal_subfield_composition,neighbors_k50,without_biomedical,0.3262112862723214,0.3876440429687499,-0.0614327566964285
21,0,equal_subfield_composition,neighbors_k50,one_biomedical,0.29326538085937504,0.3709893798828125,-0.07772399902343746
21,0,equal_subfield_composition,neighbors_k50,both_biomedical,0.563623046875,0.599658203125,-0.03603515624999998
21,0,equal_subfield_composition,rsa_spearman,all,0.4534741594373521,0.692444113257743,-0.23896995382039093
21,0,equal_subfield_composition,rsa_spearman,without_biomedical,0.45047205567166226,0.6975376070677365,-0.24706555139607422
21,0,equal_subfield_composition,rsa_spearman,one_biomedical,0.43374864953171544,0.6710144322721605,-0.23726578274044507
