field_id,k,n,mean,median,min,max,p025,p975
11,10,90,-0.020433086419753086,-0.021377777777777746,-0.06382222222222222,0.025688888888888983,-0.05166333333333332,0.01727111111111111
11,25,90,-0.021720691358024707,-0.01772444444444443,-0.06481777777777792,0.025226666666666675,-0.05829911111111115,0.02119377777777771
11,50,90,-0.012977975308641974,-0.009275555555555537,-0.0557333333333333,0.023004444444444383,-0.05217711111111127,0.01932666666666667
12,10,120,-0.014942222222222223,-0.008066666666666694,-0.08448888888888884,0.0257777777777779,-0.08207222222222225,0.022973333333333457
12,25,120,-0.015177777777777774,-0.01040000000000002,-0.11079111111111106,0.045795555555555534,-0.10714844444444445,0.036504888888888906
12,50,120,-0.011651555555555559,-0.008244444444444415,-0.12742222222222216,0.06274666666666673,-0.12341777777777775,0.05124066666666668
13,10,100,-0.01750844444444445,-0.0026888888888888796,-0.12813333333333338,0.05022222222222228,-0.11860333333333341,0.04254000000000003
13,25,100,-0.009848888888888884,-0.0031111111111110645,-0.10519111111111101,0.0646755555555556,-0.09595555555555547,0.061999999999999965
13,50,100,0.0016483555555555573,0.001777777777777767,-0.054266666666666685,0.057342222222222294,-0.049421111111111055,0.05160755555555552
14,10,70,-0.004467301587301599,-0.003888888888888886,-0.04008888888888901,0.03257777777777782,-0.037691111111111,0.024813333333333316
14,25,70,0.002827174603174587,0.004186666666666589,-0.04031999999999997,0.03018666666666675,-0.030457777777777837,0.028865333333333344
14,50,70,0.007727619047619037,0.008288888888888901,-0.037217777777777794,0.03625777777777772,-0.024907333333333392,0.03463599999999999
15,10,60,-0.04594074074074073,-0.04226666666666665,-0.10222222222222221,0.015199999999999991,-0.09533666666666667,-0.0034777777777777984
15,25,60,-0.057012740740740746,-0.04476444444444447,-0.12831999999999993,-0.005102222222222286,-0.1267208888888888,-0.010093777777777747
15,50,60,-0.05010696296296295,-0.04905333333333331,-0.10321777777777785,0.024293333333333278,-0.10161822222222223,0.007771111111111071
16,10,60,-0.03515777777777778,-0.022377777777777857,-0.14364444444444452,0.02586666666666676,-0.13429444444444444,0.0234766666666666
16,25,60,-0.019947851851851852,-0.015751111111111105,-0.12211555555555553,0.049919999999999964,-0.10634933333333334,0.04637200000000001
16,50,60,-0.013632296296296286,-0.011897777777777785,-0.11584000000000017,0.054728888888888994,-0.09608288888888893,0.0482573333333334
17,10,110,-0.02544646464646466,-0.03037777777777781,-0.09471111111111102,0.04186666666666666,-0.07107888888888893,0.025685555555555496
17,25,110,-0.021633131313131326,-0.030373333333333252,-0.10152888888888895,0.04933333333333323,-0.07405600000000001,0.04268311111111107
17,50,110,-0.010701979797979804,-0.013595555555555583,-0.08264000000000005,0.08060444444444437,-0.06937333333333336,0.07584711111111105
18,10,40,-0.021551111111111104,-0.02331111111111106,-0.05062222222222229,0.017866666666666697,-0.050362222222222155,0.01695666666666669
18,25,40,-0.014591999999999999,0.0014933333333332632,-0.08222222222222203,0.04572444444444451,-0.08173688888888876,0.02622444444444441
18,50,40,-0.004868888888888886,0.005293333333333372,-0.07573333333333332,0.05476444444444439,-0.07472800000000011,0.04163444444444441
19,10,70,-0.0249568253968254,-0.025999999999999968,-0.08955555555555555,0.03555555555555551,-0.08685555555555566,0.02674999999999987
19,25,70,-0.013204063492063486,-0.007884444444444416,-0.08403555555555542,0.03415111111111113,-0.08296666666666676,0.03023199999999988
19,50,70,0.004190857142857123,0.012355555555555509,-0.07138666666666682,0.042524444444444365,-0.0670428888888889,0.04126399999999998
20,10,30,0.0035496296296296135,0.007599999999999968,-0.024355555555555575,0.039155555555555555,-0.02319555555555558,0.02691111111111104
20,25,30,0.00509866666666665,0.005493333333333267,-0.017439999999999956,0.02702222222222206,-0.014643111111111136,0.02557866666666662
20,50,30,0.005975703703703689,0.005693333333333217,-0.018826666666666658,0.03191999999999995,-0.01738955555555563,0.02392888888888887
