outcome,model_a,model_b,intercept,same_architecture,same_lineage,same_final_corpus_group,same_objective,same_domain,same_pooling
cka_equal2048,scincl,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_equal2048,scincl,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_equal2048,scincl,pubmedbert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_equal2048,scincl,biobert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_equal2048,scincl,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_equal2048,scibert,bert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_equal2048,scibert,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,1.0
cka_equal2048,scibert,minilm,1.0,0.0,0.0,0.0,0.0,0.0,1.0
cka_equal2048,scibert,pubmedbert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_equal2048,scibert,biobert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_equal2048,scibert,simcse,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_equal2048,bert,mpnet,1.0,0.0,0.0,0.0,0.0,1.0,1.0
cka_equal2048,bert,minilm,1.0,0.0,0.0,0.0,0.0,1.0,1.0
cka_equal2048,bert,pubmedbert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_equal2048,bert,biobert,1.0,1.0,1.0,0.0,1.0,0.0,1.0
cka_equal2048,bert,simcse,1.0,1.0,1.0,0.0,0.0,1.0,0.0
cka_equal2048,mpnet,minilm,1.0,0.0,0.0,1.0,1.0,1.0,1.0
cka_equal2048,mpnet,pubmedbert,1.0,0.0,0.0,0.0,0.0,0.0,1.0
cka_equal2048,mpnet,biobert,1.0,0.0,0.0,0.0,0.0,0.0,1.0
cka_equal2048,mpnet,simcse,1.0,0.0,0.0,0.0,0.0,1.0,0.0
cka_equal2048,minilm,pubmedbert,1.0,0.0,0.0,0.0,0.0,0.0,1.0
cka_equal2048,minilm,biobert,1.0,0.0,0.0,0.0,0.0,0.0,1.0
cka_equal2048,minilm,simcse,1.0,0.0,0.0,0.0,0.0,1.0,0.0
cka_equal2048,pubmedbert,biobert,1.0,1.0,0.0,0.0,1.0,1.0,1.0
cka_equal2048,pubmedbert,simcse,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_equal2048,biobert,simcse,1.0,1.0,1.0,0.0,0.0,0.0,0.0
cka_quality,specter,specter2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cka_quality,specter,scincl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cka_quality,specter,scibert,1.0,1.0,1.0,0.0,0.0,1.0,0.0
cka_quality,specter,bert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_quality,specter,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_quality,specter,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_quality,specter,pubmedbert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_quality,specter,biobert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_quality,specter,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_quality,specter2,scincl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cka_quality,specter2,scibert,1.0,1.0,1.0,0.0,0.0,1.0,0.0
cka_quality,specter2,bert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_quality,specter2,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_quality,specter2,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_quality,specter2,pubmedbert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_quality,specter2,biobert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_quality,specter2,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_quality,scincl,scibert,1.0,1.0,1.0,0.0,0.0,1.0,0.0
cka_quality,scincl,bert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_quality,scincl,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_quality,scincl,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_quality,scincl,pubmedbert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_quality,scincl,biobert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_quality,scincl,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_quality,scibert,bert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_quality,scibert,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,1.0
cka_quality,scibert,minilm,1.0,0.0,0.0,0.0,0.0,0.0,1.0
cka_quality,scibert,pubmedbert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_quality,scibert,biobert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_quality,scibert,simcse,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_quality,bert,mpnet,1.0,0.0,0.0,0.0,0.0,1.0,1.0
cka_quality,bert,minilm,1.0,0.0,0.0,0.0,0.0,1.0,1.0
cka_quality,bert,pubmedbert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_quality,bert,biobert,1.0,1.0,1.0,0.0,1.0,0.0,1.0
cka_quality,bert,simcse,1.0,1.0,1.0,0.0,0.0,1.0,0.0
cka_quality,mpnet,minilm,1.0,0.0,0.0,1.0,1.0,1.0,1.0
cka_quality,mpnet,pubmedbert,1.0,0.0,0.0,0.0,0.0,0.0,1.0
cka_quality,mpnet,biobert,1.0,0.0,0.0,0.0,0.0,0.0,1.0
cka_quality,mpnet,simcse,1.0,0.0,0.0,0.0,0.0,1.0,0.0
cka_quality,minilm,pubmedbert,1.0,0.0,0.0,0.0,0.0,0.0,1.0
cka_quality,minilm,biobert,1.0,0.0,0.0,0.0,0.0,0.0,1.0
cka_quality,minilm,simcse,1.0,0.0,0.0,0.0,0.0,1.0,0.0
