outcome,group,endpoint_change,slope,increasing_steps,decreasing_steps,minimum,maximum
cka_primary,11,0.031105872627600117,0.0089091607282622,2,2,0.6000258788837164,0.6422431854940881
cka_primary,12,0.06050738943763945,0.014728303156618638,4,0,0.5534094186707468,0.6139168081083862
cka_primary,13,0.024586620648497814,0.006420112471407969,4,0,0.5997223278977106,0.6243089485462084
cka_primary,14,0.0016112045829270727,0.0005461551583535451,2,2,0.5711725227966316,0.586971995478402
cka_primary,15,0.02206630882978855,0.006888661375096116,3,1,0.6883782200463102,0.7225219256557911
cka_primary,16,0.04270776333734427,0.00974918943183949,4,0,0.6516125382941648,0.694320301631509
cka_primary,17,0.01660090635485112,0.0027067946420895163,2,2,0.6148802109830935,0.6471306351513613
cka_primary,18,0.014875676633011703,0.004923011157901303,2,2,0.616327025182893,0.6419406330315578
cka_primary,19,0.026890644757552318,0.005315309907714005,3,1,0.6604492826000805,0.6873399273576328
cka_primary,20,-0.00865932672167502,-0.0026524675528937446,2,2,0.5917126996200134,0.6009187217056007
cka_primary,21,0.04986375139802446,0.013429718900555975,3,1,0.7514839275015124,0.8043476066373144
cka_primary,22,0.024726864943141025,0.006839943217345867,3,1,0.6127299106082498,0.6414423952253533
cka_primary,23,-0.0004292645253708427,-0.001317704151263932,1,3,0.6423887898844527,0.658627777455793
cka_primary,24,0.02814688485643102,0.007931986084730048,3,1,0.6281622593876756,0.6581790164842882
cka_primary,25,0.030652939130864754,0.006377904394095335,3,1,0.6118783150590192,0.642531254189884
cka_primary,26,0.09146357544679895,0.020533108905251153,4,0,0.6423660626916535,0.7338296381384525
cka_primary,27,0.011902703265867176,0.0038254347959912004,3,1,0.5426208576214301,0.5666052942228533
cka_primary,28,-0.008808262630280006,-0.0007064419681312107,1,3,0.6472592207891618,0.6652734365908661
cka_primary,29,0.010320416351847106,0.0025425322014566154,3,1,0.6600062717290178,0.6811114647358966
cka_primary,30,0.011286458534663368,0.005595004326037189,2,2,0.6303851484579177,0.663762274648963
cka_primary,31,0.007142491000110662,0.0025569404424882424,1,3,0.6599603449846594,0.6741022123692116
cka_primary,32,0.006114653259270297,0.000760497606434285,3,1,0.6040105319306519,0.6129819255692287
cka_primary,33,0.01521351622242939,0.003576023207463508,2,2,0.5998727218360507,0.6179307253068911
cka_primary,34,0.007425134717473414,0.0027738286953552737,3,1,0.6134808198896415,0.6283776865003123
cka_primary,35,0.0022497174575664136,-0.00032744168334382097,2,2,0.6275571154490005,0.6409642744591343
