source,control,measure,n,mean,median,min,max,p025,p975
shape_control_deltas.csv,raw,delta_cka,5850,-0.010867144454638319,-0.008408173692299292,-0.0841246725863537,0.021269923233476762,-0.03543420946059803,0.0007722979284896062
shape_control_deltas.csv,raw,absolute_delta_cka,5850,0.011017339167526544,0.008426606123188296,4.5404797196502145e-06,0.0841246725863537,0.00023658683497435607,0.03543420946059798
shape_control_deltas.csv,cls,delta_cka,5850,-0.09526718513384476,-0.10120657261655758,-0.31195735541657466,0.031045251034059973,-0.23634120256330496,0.0
shape_control_deltas.csv,cls,absolute_delta_cka,5850,0.09531320078451999,0.10120657261655758,0.0,0.31195735541657466,0.0,0.2363412025633049
shape_control_deltas.csv,sep,delta_cka,5850,-0.08615396951181481,0.0,-0.6719160811895218,0.2782674234690757,-0.5596842727456613,0.19263835445013028
shape_control_deltas.csv,sep,absolute_delta_cka,5850,0.1410455342502518,0.09002312842615437,0.0,0.6719160811895218,0.0,0.5596842727456612
shape_control_deltas.csv,quality,delta_cka,5850,0.016971982858501825,0.011986745739274496,-0.035932473651740016,0.1551090487140781,-0.005775485381790408,0.0672668987855652
shape_control_deltas.csv,quality,absolute_delta_cka,5850,0.017712023479905976,0.012361763114445257,1.3654034068055765e-05,0.1551090487140781,0.0008686378636085567,0.0672668987855652
common_text_shape_change.csv,same_text,delta_cka_debiased,1170,0.009706871128213267,0.002996340942765685,-0.023170841117468033,0.08841406416508168,-0.007151209297539524,0.06684045197218559
common_text_shape_change.csv,same_text,absolute_delta_cka_debiased,1170,0.01181129163826773,0.0049641919700847414,8.532517747905644e-08,0.08841406416508168,0.00020981279013550791,0.06684045197218559
common_text_shape_change.csv,same_text,delta_procrustes_similarity,1170,0.0004649595603428076,0.00028679250486646213,-0.0133100303284589,0.01844751943425671,-0.009280093179307336,0.011806909016717135
common_text_shape_change.csv,same_text,absolute_delta_procrustes_similarity,1170,0.0035499997869340104,0.0025411429748756764,2.2333033927735e-06,0.01844751943425671,0.00012474515031894452,0.012118740575295786
