field_id,period_start,model_a,model_b,full_cka,median_1024,median_2048,median_change,p025_2048,p975_2048,central95_width,median_minus_full,passes_original_screen,width_alert,size_shift_alert,status
11,2010,specter,biobert,0.49798297503435607,0.5012410803344509,0.49691482430980993,0.004326256024640984,0.4769158826426558,0.5243174048963148,0.04740152225365907,-0.0010681507245461352,False,True,False,original_alert_retained
11,2010,specter2,biobert,0.45639211051501016,0.46088911086888007,0.4547403470885675,0.006148763780312594,0.4354628310445991,0.4819846248662023,0.04652179382160321,-0.0016517634264426873,False,True,False,original_alert_retained
11,2010,scincl,biobert,0.47065209515144896,0.47689982853983803,0.4697495299468255,0.007150298593012527,0.4499948822922915,0.49694369679597106,0.04694881450367955,-0.0009025652046234511,False,True,False,original_alert_retained
11,2010,mpnet,biobert,0.48641578712024935,0.4927875337942471,0.48400883343881274,0.008778700355434377,0.4653111510217465,0.5128234851904436,0.0475123341686971,-0.002406953681436619,False,True,False,original_alert_retained
11,2010,minilm,biobert,0.4801131835652012,0.4817237276310098,0.47763364482485593,0.004090082806153861,0.461534963293639,0.5045821072682425,0.04304714397460346,-0.0024795387403452884,False,True,False,original_alert_retained
11,2020,specter,biobert,0.5518238212546582,0.5581010303073279,0.5524990361643629,0.005601994142965028,0.5280574749024385,0.5727993237536023,0.044741848851163835,0.00067521490970468,False,True,False,original_alert_retained
11,2020,scincl,biobert,0.5258138266594277,0.5298544015435163,0.5253454146740969,0.0045089868694193624,0.5042978576414407,0.5448992502526679,0.040601392611227194,-0.00046841198533076334,False,True,False,original_alert_retained
11,2020,mpnet,biobert,0.5449791757357175,0.5542713529332546,0.5453451970341797,0.008926155899074861,0.5236123847048365,0.5666049275987087,0.04299254289387222,0.00036602129846219356,False,True,False,original_alert_retained
11,2020,minilm,biobert,0.5330590849283141,0.5408440537521428,0.5325580228875952,0.0082860308645476,0.5126022185381678,0.5538680520620727,0.04126583352390489,-0.0005010620407188693,False,True,False,original_alert_retained
13,2005,specter,biobert,0.5396590901455314,0.5451780421782295,0.543576153272285,0.0016018889059444819,0.522455062110902,0.5660543901124211,0.04359932800151911,0.0039170631267536615,False,True,False,original_alert_retained
13,2005,scincl,biobert,0.5230992480976611,0.5303448532345346,0.5264767683584965,0.0038680848760380693,0.5063082712767388,0.5479883013848773,0.04168003010813848,0.003377520260835487,False,True,False,original_alert_retained
13,2005,mpnet,biobert,0.5069570121148222,0.5125551251913709,0.5110730728704873,0.001482052320883609,0.4897549882382679,0.5321449158351049,0.04238992759683702,0.004116060755665063,False,True,False,original_alert_retained
17,2010,specter,bert,0.51125886999447,0.5174526849656912,0.506867717714206,0.010584967251485167,0.48356143265760765,0.5245501444663336,0.040988711808725986,-0.004391152280263988,False,True,False,original_alert_retained
20,2020,specter,biobert,0.3823318875953052,0.38812640794196984,0.38497986548728264,0.0031465424546872067,0.363775109031145,0.40961035870855983,0.04583524967741481,0.00264797789197746,False,True,False,original_alert_retained
20,2020,specter2,biobert,0.41358400225009945,0.42032969467057735,0.4165774628167416,0.0037522318538357746,0.39314350374249113,0.4463234352354587,0.05317993149296757,0.0029934605666421255,False,True,False,original_alert_retained
20,2020,scincl,biobert,0.40583200330466357,0.41250747684348854,0.4073348823128488,0.005172594530639729,0.38713108416626674,0.43704284634629426,0.04991176218002752,0.0015028790081852428,False,True,False,original_alert_retained
20,2020,mpnet,biobert,0.4406035345497525,0.44978662087247007,0.4428704961465715,0.006916124725898587,0.4182170303563071,0.4741869360036073,0.0559699056473002,0.002266961596818995,False,True,False,original_alert_retained
20,2020,minilm,biobert,0.43784722897688966,0.4422900329291184,0.4402902897716822,0.0019997431574361735,0.4161671857640557,0.47037784890645046,0.054210663142394755,0.002443060794792562,False,True,False,original_alert_retained
20,2020,biobert,simcse,0.5494281937671247,0.5523772201294982,0.5529761717927778,0.0005989516632796121,0.5315507559831045,0.5798176831795542,0.04826692719644965,0.003547978025653098,False,True,False,original_alert_retained
22,2010,specter,bert,0.5522274817098588,0.5523839614534454,0.5530721111033408,0.0006881496498953865,0.5293164926351822,0.5712435240055536,0.04192703137037135,0.0008446293934819549,False,True,False,original_alert_retained
