population,measure,k,level,selection,recipe,n,mean,median,min,max,p025,p975
same_183_subfields,neighbors,10,subfield,256,sep,8235,0.33138054037644205,0.312109375,0.07265625,0.72109375,0.147265625,0.6008398437499999
same_183_subfields,neighbors,25,subfield,256,sep,8235,0.4156644467213114,0.40375,0.13828125,0.77046875,0.2248203125,0.6628359374999999
same_183_subfields,neighbors,50,subfield,256,sep,8235,0.502536799863388,0.497265625,0.22234375,0.818828125,0.3203125,0.71594921875
same_183_subfields,neighbors,10,subfield,512,mean,8235,0.3289304179948391,0.2818359375,0.115625,0.694921875,0.170478515625,0.582421875
same_183_subfields,neighbors,25,subfield,512,mean,8235,0.3959223683211901,0.354140625,0.15734375,0.73046875,0.23116015625,0.6379804687499999
same_183_subfields,neighbors,50,subfield,512,mean,8235,0.45904769087735275,0.423828125,0.2140234375,0.7596875,0.294703125,0.684224609375
same_183_subfields,neighbors,10,subfield,512,cls,8235,0.24971318590619312,0.1998046875,0.069921875,0.694921875,0.1009765625,0.5578710937499999
same_183_subfields,neighbors,25,subfield,512,cls,8235,0.31601196303885853,0.27125,0.108671875,0.73046875,0.15467578125,0.6184609375
same_183_subfields,neighbors,50,subfield,512,cls,8235,0.3826473797055252,0.343828125,0.1601953125,0.7596875,0.21837499999999999,0.6661777343749999
same_183_subfields,neighbors,10,subfield,512,sep,8235,0.28668279447480266,0.2638671875,0.0576171875,0.694921875,0.11328125,0.5591796875
same_183_subfields,neighbors,25,subfield,512,sep,8235,0.35294768897996354,0.335625,0.09625,0.73046875,0.1662265625,0.6186523437499999
same_183_subfields,neighbors,50,subfield,512,sep,8235,0.41754212204007285,0.4059765625,0.1402734375,0.7596875,0.225580078125,0.666796875
